Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Rodney Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Geno Atkins,,,,,,,,,,Q,,,,,,,,,
Cethan Carter,,,,,,,,,,,,O,,,,,,,
Darqueze Dennard,PUP,PUP,PUP,PUP,PUP,PUP,PUP,O,,,,,,Q,,,28,cb,1500000
Jeff Driskel,IR,IR,,,,,,,,,,,,,,,,,
O'Shea Dugas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Carlos Dunlap,,,,,,O,D,,,,,,,,,,30,LDE,3100000
Clayton Fejedelem,,Q,,,,,,,,,,,,,,,,,
Ryan Glasgow,,,O,O,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cordy Glenn,O,O,O,O,O,O,O,O,Q,,,,,,,,30,lt,7250000
A.J. Green,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,IR,,,
Bobby Hart,,,,,,,,,,Q,,,,,,,25,RT,900000
Sam Hubbard,,,,,,,,,,,,,O,,,,24,LOLB,640000
William Jackson III,,,,,,,O,,,,,,,,,IR,27,RCB,1773497
Michael Jordan,,,Q,,,,,,,,,,,,,,21,LG,495000
Dre Kirkpatrick,,,,,,,O,O,O,O,IR,IR,IR,IR,IR,IR,30,lcb,9150000
Carl Lawson,,,D,D,,,O,O,,,,,,,,,,,
John Miller,,,,,,,O,Q,,,,,,,O,,26,G,900000
Joe Mixon,,Q,,,,,,,,,,,,,,,23,RB,960470
Stanley Morgan Jr.,,,,,,,,,,,Q,,,,,D,,,
Darius Phillips,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Alex Redmond,,,,,,,,,O,O,,O,IR,IR,IR,IR,,,
John Ross,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,24,WR,2020988
Drew Sample,,,,,,,,,,O,O,O,IR,IR,IR,IR,,,
Niles Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Andre Smith,,,Q,,,O,O,Q,,,,,,,,,32,LT,1030000
Auden Tate,D,,,,,,,,,,Q,,,IR,IR,IR,22,WR,570000
Nick Vigil,,,,,,,,,,,,Q,,,,,26,LILB,2000000
B.W. Webb,,,O,,,,,,,,,,,,,,29,CB,1000000
Jonah Williams,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,
Shawn Williams,,,,,,Q,,,,,,,,,,,28,SS,3500000
Trayveon Williams,O,Q,,,,,,,,,,,,,,,,,
Brandon Wilson,,,,,,,,,,,,,IR,IR,IR,IR,,,
Renell Wren,,,,,,,,,,,,,,IR,IR,IR,,,
Kerry Wynn,,,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
