Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Nigel Bradham,,,,,,,,,,,,O,O,O,O,O,26,RLB,1656356
Ron Brooks,,,,,,P,,,,,,,O,O,P,IR,,,
Preston Brown,,,,P,,,,,,,,,,P,,,23,MLB,702000
Dan Carpenter,,,P,P,,,,,,,,,,,,,,,
Alex Carrington,,,,,,,,,,,,IR,IR,IR,IR,IR,,,
Stefan Charles,,,,,,,,,,,,,,,P,,,,
Charles Clay,P,,,,P,P,,,,,,,P,IR,IR,IR,26,TE,5000000
Ronald Darby,,,,,,,,,,,,,,,Q,P,21,LCB,830853
Marcell Dareus,,,,,,P,,,,,P,,,,,P,25,RDT,7823530
Anthony Dixon,,,,,,,,,,,,,,,P,,,,
Marcus Easley,,,Q,,,O,Q,,,,O,P,,,,,,,
Jerome Felton,,,,,,,,,,,,,,P,,,29,RB,1750000
Stephon Gilmore,,,,,,,,,,,,,IR,IR,IR,IR,25,RCB,3844959
Cordy Glenn,,,,,P,P,,,,,,P,,,,,26,LT,1548012
Marquise Goodwin,O,O,O,O,P,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Corey Graham,,P,,,P,,P,P,,,,,,,,,30,SS,4450000
MarQueis Gray,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Percy Harvin,P,P,P,P,P,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,27,wr,4000000
Seantrel Henderson,,,,,,,O,P,Q,,,IR,IR,IR,IR,IR,23,RT,522720
Chris Hogan,P,,,,P,P,,,,,,,P,,,P,,,
Jerry Hughes,,,P,,,,,,,,,,,,,,27,RDE,6175000
Richie Incognito,,,,,,,,,,Q,,,,,,,,,
Randell Johnson,,,,,,P,,,,,,,,,IR,IR,,,
Cyrus Kouandjio,,,,,,P,,,Q,P,,,,,,,,,
LeSean McCoy,P,Q,P,O,O,P,P,,P,,,,,,O,O,,,
Leodis McKelvin,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,30,rcb,4900000
John Miller,,,,O,P,P,O,,,,O,O,Q,P,P,P,22,RG,605030
Ty Powell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Walt Powell,,,,,,,,,,,,,,,P,,,,
Bacarri Rambo,,,,,O,P,,,,,P,P,,Q,P,P,25,FS,585000
Colton Schmidt,,,P,,,,,,,,,,,,,,,,
Tony Steward,O,O,Q,,,,,,,,,,IR,IR,IR,IR,,,
A.J. Tarpley,,,,,,,,P,,,,,,,,,,,
Tyrod Taylor,,,P,P,,Q,O,P,,,P,P,,,,P,,,
Sammy Watkins,P,,,O,Q,Q,O,Q,P,,,,,,,,22,WR,4530819
Aaron Williams,,,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Karlos Williams,,,,,O,O,O,P,,,,O,O,Q,P,,,,
Kyle Williams,,,,,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,32,LDT,6950000
Mario Williams,P,,,,,,,P,P,,O,P,P,Q,P,P,30,LDE,19400000
Cierre Wood,,,,,,O,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Eric Wood,,,,,,,,,,,,,,,P,,,,
Robert Woods,P,,,,,,,,,,,,,P,IR,IR,23,WR,1327302
Jarius Wynn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
