Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Lorenzo Alexander,,,,,,,,,Q,,Q,Q,,,,,,,,Bills,2016
Colt Anderson,O,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Blake Annen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Robert Blanton,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Preston Brown,,,,,,,,,,,,,,,Q,Q,24,RILB,793750,Bills,2016
Sergio Brown,,,,,,,,,,,,Q,,,,,,,,Bills,2016
Corbin Bryant,,,,,,Q,,Q,O,IR,IR,IR,IR,IR,IR,IR,28,nt,1671000,Bills,2016
Reggie Bush,,,,,,,,,Q,,,,,,,,,,,Bills,2016
Charles Clay,,Q,Q,Q,Q,Q,Q,Q,Q,,Q,Q,Q,Q,Q,Q,27,TE,6000000,Bills,2016
Ronald Darby,,,Q,Q,,,,,,,,O,,,,,22,LCB,1038566,Bills,2016
Marcell Dareus,,,,,Q,D,D,Q,O,Q,,Q,,,,,26,NT,11514705,Bills,2016
Jonathan Dowling,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Marcus Easley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
IK Enemkpali,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Jerome Felton,,,,,Q,,Q,,,,,,,,Q,,,,,Bills,2016
Mike Gillislee,,,,,,,,Q,,,O,Q,,,,,,,,Bills,2016
Cordy Glenn,,O,O,Q,Q,Q,Q,Q,Q,,Q,Q,Q,D,D,O,27,LT,6200000,Bills,2016
Chris Gragg,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Ryan Groy,Q,,,,,,,,,,,,,,,,26,c,600000,Bills,2016
Percy Harvin,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Seantrel Henderson,,,,,,,O,,,,Q,,,,,,,,,Bills,2016
Jerry Hughes,,,,,,,,Q,Q,Q,,,,,,,28,LOLB,7575000,Bills,2016
James Ihedigbo,,,,,,,,,,,,Q,,IR,IR,IR,,,,Bills,2016
Richie Incognito,,,,,,,,,,,,Q,,,,,,,,Bills,2016
Randell Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,Bills,2016
Cardale Jones,Q,Q,Q,Q,,,,,,,,,,,,,,,,Bills,2016
Cyrus Kouandjio,,,,O,O,Q,,,,,,,,,,,23,lt,1311497,Bills,2016
Shaq Lawson,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,,Bills,2016
Patrick Lewis,,,,O,O,Q,Q,,,,,,,,,,,,,Bills,2016
Kolby Listenbee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
LeSean McCoy,,,,,Q,,Q,D,Q,,Q,,,,,,,,,Bills,2016
Jonathan Meeks,,,,Q,Q,,,,,,,,,,,,,,,Bills,2016
John Miller,,,,,,,,Q,,,,Q,,,Q,Q,23,RG,725030,Bills,2016
Walt Powell,,,,,,,,,,Q,,IR,IR,IR,IR,IR,,,,Bills,2016
Reggie Ragland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Greg Salas,,,IR,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Colton Schmidt,,,,,,Q,,,,,,,,,,,,,,Bills,2016
Kevon Seymour,O,Q,,,,,Q,,,,,,,,,,,,,Bills,2016
Brandon Tate,,,,,,,,,O,,,,,,,,,,,Bills,2016
Sammy Watkins,,Q,IR,IR,IR,IR,IR,IR,IR,IR,,Q,Q,Q,Q,Q,23,WR,5436983,Bills,2016
Corey White,,,,,O,Q,,,,,,,,,,,,,,Bills,2016
James Wilder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2016
Aaron Williams,,,,Q,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,26,SS,6100000,Bills,2016
Jonathan Williams,Q,,,,,,,,,,,,,,,,,,,Bills,2016
Kyle Williams,,,,,,,Q,,,,,,Q,Q,Q,Q,,,,Bills,2016
Eric Wood,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,30,C,6725000,Bills,2016
Jerel Worthy,,Q,,,,,,,,,,,,,Q,,,,,Bills,2016
