Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Mario Addison,,,,Q,,,,,,,,,,33,DE,5250000,Biils,2020
Isiah Brown,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Bills,2020
John Brown,,,,,Q,Q,O,,,,IR,IR,IR,,,,Biils,2020
Vernon Butler,Q,,,,,,,Q,Q,,,,,26,DT,2800000,Bills,2020
Tyrel Dodson,,,,,,,IR,IR,IR,IR,IR,IR,IR,22,LB,474116,Biils,2020
Tremaine Edmunds,,O,Q,,,,,,,,,,,22,ILB,1630868,Bills,2020
Jon Feliciano,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,28,OG,2650000,Biils,2020
Cody Ford,,,,,Q,,O,O,Q,Q,O,IR,IR,,,,Bills,2020
Jake Fromm,,,,,Q,,,,,,,,,22,QB,610000,Biils,2020
E.J. Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Bills,2020
Isaiah Hodgins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Biils,2020
Jerry Hughes,,,,,,,,Q,,,,,,32,DE,6650000,Bills,2020
Micah Hyde,,,,,,,,Q,,Q,,,,30,CB,4000000,Biils,2020
Quinton Jefferson,,,,,,,,Q,,,,,,27,DT,3750000,Bills,2020
Darryl Johnson,,,,,,,,,Q,,,,,23,DE,675000,Biils,2020
Taron Johnson,,,Q,,,,,,,,,,,24,CB,750000,Bills,2020
Taiwan Jones,,,,,,,,,O,O,,,,32,RB,1050000,Biils,2020
Dawson Knox,,,O,,,O,C19,C19,Q,,,,,24,TE,513236,Bills,2020
Tyler Kroft,,,,,,,,,,C19,,,,28,TE,3400000,Biils,2020
Cameron Lewis,,,,,,,Q,IR,IR,IR,IR,IR,IR,,,,Bills,2020
Star Lotulelei,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Biils,2020
Dean Marlowe,,,,,,,,,,C19,,,,28,S,1000000,Bills,2020
Matt Milano,,O,Q,,O,Q,Q,Q,O,IR,IR,IR,,26,OLB,2133000,Biils,2020
Mitch Morse,,,,,,,,,O,,,,,28,OT,6775000,Bills,2020
Zack Moss,,,O,Q,Q,,,,,,,,,23,RB,610000,Biils,2020
Josh Norman,IR,IR,IR,IR,,,O,O,O,C19,C19,,,33,CB,2800000,Bills,2020
Del'Shawn Phillips,,O,O,O,IR,IR,IR,IR,IR,O,IR,IR,IR,,,,Biils,2020
Andre Roberts,,,,,Q,,,,,,,,,32,WR,1300000,Bills,2020
Niles Scott,//,,,,,,,,,,,,,,,,Biils,2020
Lee Smith,,,,,,,C19,C19,,,,,,33,TE,2650000,Bills,2020
Quinton Spain,,,,,,Q,,,,,,,,,,,Biils,2020
Tommy Sweeney,PUP,PUP,PUP,PUP,PUP,PUP,PUP,C19,C19,C19,C19,C19,C19,,,,Bills,2020
Levi Wallace,,,,,IR,IR,IR,IR,,C19,,,,25,CB,697059,Biils,2020
Tre'Davious White,,,,,Q,Q,Q,,,,,,,25,CB,8250000,Bills,2020
Brian Winters,,,,,Q,,,Q,,,,,,29,OG,2000000,Biils,2020
T.J. Yeldon,,,,,,,,,O,,,,,27,RB,1400000,Bills,2020
