Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Shaquil Barrett,,,,,,,,,,,,O,O,O,,,,,
Kenny Bell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tramaine Brock,,,,D,,,,,,,,O,O,,,,30,rcb,2000000
Jake Butt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jamal Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Su'a Cravens,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,IR,IR,IR,,,
Todd Davis,,,,,Q,,,,,,,,,,,,26,LILB,3000000
Nico Falah,,,,,,,,Q,,,,,,,,,,,
Royce Freeman,,,,,,,,O,Q,,,,,,,,22,RB,480000
Troy Fumagalli,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Max Garcia,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Jerrol Garcia-Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Adam Gotsis,,,,,Q,,,,,,,,,,,,26,RDE,807991
DaeSean Hamilton,,,,,,,,O,O,,,,,,,,23,wr,480000
Chris Harris Jr.,,,,,,,,,,,,,IR,IR,IR,IR,,,
Carlos Henderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jeff Heuerman,,,,,,,,,,,,IR,IR,IR,IR,IR,26,TE,705000
Andre Holmes,,,,,,,,,,,,,,,,IR,,,
Adam Jones,,,Q,Q,,Q,O,,,,,,,,,,,,
Marquette King,,,,,D,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt LaCosse,,,,,,,,,,,,,,,Q,,26,te,555000
Brendan Langley,,,,,,,,,,,,,,,O,,,,
Ronald Leary,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,29,lg,7650000
Phillip Lindsay,,,,,,,,,,,,,,,,IR,,,
Brandon Marshall,,,Q,Q,,,,Q,O,O,O,Q,Q,,,,29,rilb,5000000
Von Miller,,,,,,,,Q,,,,,,,,,,,
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Paradis,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,29,C,2914000
Shane Ray,,,,,,,O,D,,,,,,,Q,,,,
Bradley Roby,,,,,,,,,O,,Q,,,,,,26,LCB,8526000
Emmanuel Sanders,,,,,,,,,,,,,IR,IR,IR,IR,31,WR,8250000
Darian Stewart,,,,,,,,O,O,,,,,,,,30,SS,4500000
Jordan Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dymonte Thomas,,,Q,Q,,,O,,,O,O,,,,,,,,
Jared Veldheer,,,Q,,O,Q,O,O,,,,,,,,,31,RT,6500000
Menelik Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Wolfe,,,,,,,,,,,,,,Q,,,28,LDE,8000000
Isaac Yiadom,,,,,,,,,,,,,,O,,,,,
