Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Jeremiah Attaochu,,,,O,O,O,Q,,,,,,,27,OLB,1000000,Broncos,2020
Mark Barron,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,31,LB,1750000,Broncos,2020
Essang Bassey,,,,,,,,,,,,,IR,,,,Broncos,2020
Andrew Beck,,,,,,Q,O,IR,IR,IR,IR,IR,,24,TE,552942,Broncos,2020
LeVante Bellamy,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,,Broncos,2020
Garett Bolles,,Q,,,,,,,,,,,,28,OT,1969351,Broncos,2020
A.J. Bouye,,IR,IR,IR,IR,IR,,O,,,,,,29,CB,13000000,Broncos,2020
Jake Butt,,,,,,Q,Q,,IR,,,,,,,,Broncos,2020
Austin Calitro,,,,IR,IR,IR,IR,,,,,,,26,RILB,679412,Broncos,2020
Bryce Callahan,,,,,,,,Q,Q,Q,Q,,,,,,Broncos,2020
Jurrell Casey,,,,IR,IR,IR,IR,IR,C19,C19,IR,IR,IR,,,,Broncos,2020
Tyrie Cleveland,,Q,,,,,,,,,,,,23,WR,610000,Broncos,2020
Demar Dotson,,,,,,,,,Q,,Q,,,35,T,1150000,Broncos,2020
Jeff Driskel,,,,,,,,,,,C19,C19,C19,27,QB,1000000,Broncos,2020
Noah Fant,,,,,Q,,,,,Q,,,,23,TE,1067306,Broncos,2020
Austin Fort,,,,,,,,,IR,,,,,,,,Broncos,2020
Graham Glasgow,,,,,,,C19,C19,C19,Q,Q,,,28,OG,2500000,Broncos,2020
Melvin Gordon,,,,,Q,,,,,,,,,27,RB,1000000,Broncos,2020
KJ Hamler,Q,,,,O,,,,,,,,,21,WR,610000,Broncos,2020
Davontae Harris,,,O,Q,,,,,,,,,,,,,Broncos,2020
Jonathan Harris,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Shelby Harris,,,,,,,,C19,C19,C19,C19,,,29,DE,2000000,Broncos,2020
Joel Heath,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Ja'Wuan James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Jerry Jeudy,,,Q,,,,,,Q,,Q,,,21,WR,610000,Broncos,2020
Dre'Mont Jones,,,IR,IR,IR,IR,,,,,,,,23,DL,685400,Broncos,2020
Joseph Jones,,,,,,,,,O,O,Q,,,26,OLB,825000,Broncos,2020
Phillip Lindsay,,O,D,Q,,,Q,Q,,,,,,26,RB,750000,Broncos,2020
Drew Lock,,,O,O,Q,,,,,Q,,,,24,QB,813674,Broncos,2020
Trey Marshall,,,,,,,,Q,,,O,,,24,S,750000,Broncos,2020
Brandon McManus,,,,,,,,,,,,,,,,,Broncos,2020
Von Miller,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Albert Okwuegbunam,,,,,,,,,IR,IR,IR,IR,IR,,,,Broncos,2020
Tim Patrick,,,,,,,Q,Q,,,,,,27,WR,750000,Broncos,2020
Kyle Peko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Mike Purcell,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Dalton Risner,,,,,,Q,,,,,,,,25,OL,819649,Broncos,2020
Jake Rodgers,,,,,,,,,Q,Q,,,,,,,Broncos,2020
Brett Rypien,,,,,,,,,,,C19,,,24,QB,595590,Broncos,2020
Diontae Spencer,,,,,,O,O,D,Q,,C19,C19,C19,28,WR,675000,Broncos,2020
Justin Strnad,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Courtland Sutton,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Broncos,2020
Derrek Tuszka,,,,,,,IR,IR,IR,IR,IR,IR,IR,24,DL,378824,Broncos,2020
Nick Vannett,,,,,,,,Q,,,,,,27,TE,1000000,Broncos,2020
DeMarcus Walker,,,IR,IR,IR,IR,,,,,,,,26,DE,1156890,Broncos,2020
Elijah Wilkinson,,,,IR,IR,IR,IR,IR,IR,IR,,,,25,OT,3259000,Broncos,2020
DeShawn Williams,,,,,,,,,,Q,,,,28,DT,595590,Broncos,2020
Sylvester Williams,,,,,,,,,,,Q,,,32,DT,535294,Broncos,2020
