Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Johnson Bademosi,,,,,P,,,,,,,,,P,,,,,
Gary Barnidge,,,,,,,P,,,,,,Q,,,,,,
Travis Benjamin,,,,P,,,,,,,,,Q,,,Q,26,WR,779250
Joel Bitonio,,P,,,,,,,,O,Q,Q,IR,IR,IR,IR,24,LG,1241295
Dwayne Bowe,Q,Q,,,,,,,,,,,,,,,,,
Michael Bowie,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Armonty Bryant,,,,,,,,,,,,P,,,,,,,
Desmond Bryant,,Q,Q,O,Q,Q,,,,,,,,,P,P,30,LDE,7000000
Ibraheim Campbell,,,,,,,,,,Q,,,,,,,,,
Tank Carder,,,,,,,Q,,,,,,,,,,,,
Travis Coons,,,,,,,,,,,,,,Q,P,,,,
Isaiah Crowell,,,,,,Q,,P,,,,,,,P,,22,RB,513333
Karlos Dansby,,Q,,P,Q,Q,,,,,,,,,,Q,34,LILB,5500000
Pierre Desir,P,,,,,,,,,,,,,,,,25,LCB,611903
Shaun Draughn,,,,Q,D,Q,,,,,,,,,,,,,
Ifo Ekpre-Olomu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Erving,,,,,,,,,,,,,P,,Q,,,,
Taylor Gabriel,,,,,,,,,,,O,O,Q,,P,,,,
Charles Gaines,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,IR,,,
Justin Gilbert,Q,Q,Q,P,,,,,,,,O,O,Q,,,,,
Tashaun Gipson,,,,Q,O,O,D,Q,Q,Q,,,,,,,25,FS,2356000
John Greco,,,,,,,,,,,,,,,IR,IR,30,RG,2825000
Joe Haden,P,,,P,Q,O,O,P,IR,IR,IR,IR,IR,IR,IR,IR,26,lcb,11700000
Brian Hartline,,,,,Q,P,,,O,P,,,Q,IR,IR,IR,,,
Andrew Hawkins,,,,,,,,O,O,P,IR,IR,IR,IR,IR,IR,29,WR,5000000
Rob Housler,,,,,,,IR,IR,IR,IR,IR,IR,,,,,,,
John Hughes,,,,,,,Q,P,,,,,,,,,,,
Malcolm Johnson,,,,,,,,,,,,,IR,IR,IR,IR,23,rb,464862
Christian Kirksey,P,,,,,,,,,,,,,,,,23,rilb,707625
Paul Kruger,,,,,,,,P,,,,,,,,,29,LOLB,8200000
Alex Mack,,,,,,,,,,,,,,,Q,,,,
Johnny Manziel,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,O,23,qb,1874681
Josh McCown,,O,P,P,,P,,Q,O,Q,P,IR,IR,IR,IR,IR,36,QB,3916666
Barkevious Mingo,Q,,P,,,,,,,,,,,,,,,,
Marlon Moore,P,,,,,Q,Q,P,,,,,Q,Q,Q,O,,,
Raheem Mostert,,,,,,,,,,,,,,,,Q,,,
Nate Orchard,Q,P,,,,,P,,Q,,Q,Q,,,,,22,ROLB,812055
Jordan Poyer,,,,,,,,O,O,Q,,,,,,,,,
Craig Robertson,,,,O,O,O,Q,Q,Q,,,,,,,,27,RILB,2356000
Mitchell Schwartz,P,P,P,P,P,P,,,,,,,,,,,26,RT,1645267
Connor Shaw,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Danny Shelton,,,,,,,Q,,,,,,,,,,22,NT,2127939
Scott Solomon,,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Randy Starks,,,,,,,,,,,O,Q,,,,,32,LDT,2968750
Randall Telfer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Thomas,,,,,,,,,,,,,,P,Q,Q,,,
Robert Turbin,O,O,O,O,Q,Q,,,,,,,,,,,,,
Donte Whitner,,,,,P,,,,O,O,P,,,,,,30,SS,6750000
K'Waun Williams,Q,,O,O,P,,,P,,,,,,Q,Q,Q,24,db,510000
Tramon Williams,,,,,,,,,,,,,,,,O,32,RCB,6500000
Glenn Winston,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,,O,O,O,,,
