Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Odell Beckham Jr.,,,,,,Q,,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Andrew Billings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Joel Bitonio,,,,Q,,,,,,,,,,29,OT,8500000,Browns,2020
Nick Chubb,,,,,IR,IR,IR,IR,,,,,,25,RB,1151190,Browns,2020
Adrian Clayborn,,,Q,O,Q,,,,,,,,,32,DL,1750000,Browns,2020
Jack Conklin,,Q,,,,,,,,C19,,,,26,OT,5000000,Browns,2020
Tae Davis,,,,O,O,,,,,,,,,24,LB,750000,Browns,2020
Grant Delpit,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Drake Dorbeck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Drew Forbes,,,,,,,IR,,,,IR,IR,IR,,,,Browns,2020
Myles Garrett,,,,,,,,,,C19,C19,,,25,DE,862126,Browns,2020
Jamie Gillan,,,,,,Q,,,,,,,,23,P,675000,Browns,2020
Colby Gossett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Porter Gustin,,,,,,,,,,,C19,C19,,23,LB,675000,Browns,2020
Nick Harris,,,,Q,,,,,,,Q,,,22,OL,610000,Browns,2020
Ronnie Harrison,,,,,,O,,,,,IR,IR,IR,,,,Browns,2020
KhaDarel Hodge,,,,,IR,IR,IR,IR,,,,,,25,WR,697059,Browns,2020
Austin Hooper,,,,,,,O,O,,,,,,26,TE,1500000,Browns,2020
Chris Hubbard,O,Q,,,,,,,C19,C19,C19,,,29,G,2150000,Browns,2020
Kareem Hunt,,,,Q,,,,,,,,,,25,RB,4009000,Browns,2020
Joe Jackson,,,,,,,,,,,C19,C19,,24,EDGE,675000,Browns,2020
Andy Janovich,,,,,,,,,,C19,C19,,,27,FB,1150000,Browns,2020
Kevin Johnson,O,O,,,,,,,,,,,,28,CB,1500000,Browns,2020
Karl Joseph,,,,,Q,O,Q,,,,,,,27,SS,1500000,Browns,2020
Jarvis Landry,,Q,,,,Q,,,,,,,,28,WR,13000000,Browns,2020
Baker Mayfield,,,,,,Q,,,C19,,,,,25,QB,750000,Browns,2020
Jojo Natson,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
David Njoku,,IR,,,,,,,,,,,,24,TE,1763877,Browns,2020
George Obinna,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Larry Ogunjobi,,,,,O,Q,,,,,,,,26,DT,2133000,Browns,2020
Cody Parkey,,,,,,,,,,C19,,,,28,K,856471,Browns,2020
Jacob Phillips,,O,O,Q,,O,O,O,Q,,,,,21,LB,610000,Browns,2020
Malcolm Pridgeon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Sheldrick Redwine,,,,,,,,,,,O,,,24,S,675000,Browns,2020
Sheldon Richardson,,,,,,,Q,,,,,,,30,DT,11900000,Browns,2020
Andrew Sendejo,,,,,,,,,,,Q,,,33,DB,1050000,Browns,2020
M.J. Stewart,Q,,,,,,,,,,,,,25,CB,942101,Browns,2020
Sione Takitaki,,,,,,,,,,,C19,C19,,25,LB,675000,Browns,2020
Alex Taylor,IR,IR,,,,,,,,,,,,,,,Browns,2020
Taywan Taylor,,,,,,,,,,,,,IR,,,,Browns,2020
Wyatt Teller,,,,,,O,O,O,,Q,Q,,C19,26,OG,750000,Browns,2020
J.C. Tretter,Q,Q,,,,,,,,,,,,29,OG,4000000,Browns,2020
Olivier Vernon,,Q,O,Q,,Q,,,,,,,,30,DE,6750000,Browns,2020
Denzel Ward,,,Q,Q,,,,,,,O,,,23,CB,750000,Browns,2020
Curtis Weaver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Greedy Williams,O,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
Jedrick Wills Jr.,,Q,,,,,,,,,,,,21,OL,,Browns,2020
Mack Wilson,O,O,Q,,,,,,,Q,,,,22,LB,675000,Browns,2020
Trevon Young,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Browns,2020
