Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Jude Adjei-Barimah,,,,,,Q,,,,,,,,,,IR,,,
Robert Ayers,,Q,O,O,Q,O,Q,,,,,,,,,,31,LDE,5000000
Devante Bond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Brate,,,,,,,,,,,,,,,,IR,25,TE,600000
Gosder Cherilus,,,,,,,,,,,,,,,O,Q,,,
Chris Conte,,,,,,,,,,,,O,O,Q,,,27,SS,1500000
Lavonte David,,Q,Q,,,,,,,,,,,Q,,,26,RLB,10000000
Evan Dietrich-Smith,,,,,Q,,,,,O,O,O,Q,,,,,,
Demar Dotson,,,,,,,,,,,,,O,O,O,,31,RT,1750000
Donteea Dye,,,,,,,,,,,,,,,IR,IR,,,
William Gholston,,,,,,,,Q,,,,,,,O,O,25,RDE,1671000
Ben Gottschalk,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Brent Grimes,,,,,Q,,,,,,Q,,,,,,33,RCB,3500000
Vernon Hargreaves III,,,,,,,,,,,,,,,,Q,21,LCB,450000
Joe Hawley,,,,Q,,Q,Q,,D,Q,,,,,,,28,C,2500000
Adam Humphries,,,,,,,,,,,,,O,,,,23,wr,525000
Vincent Jackson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33,wr,9777777
Mike James,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,IR,,,
George Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Howard Jones,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Doug Martin,,,O,O,D,O,O,O,Q,,,,,,,,27,RB,4000000
Gerald McCoy,,,,,D,Q,Q,,,,,Q,Q,Q,Q,,,,
Clinton McDonald,,,,,D,O,O,O,Q,,,,,,,,29,RDT,2750000
Louis Murphy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Myers,,,,,Q,,,,,,,Q,,,,,31,TE,1750000
Kevin Pamphile,,,,,,,,,O,O,,,,,,,26,LG,600000
Jacquizz Rodgers,,,,,,,,O,O,O,Q,Q,,,,,26,rb,715294
Cecil Shorts,,,,,,Q,,,,,,,IR,IR,IR,IR,29,wr,800000
Sealver Siliga,,,,,,,,,,,,,,Q,,,,,
Charles Sims,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,IR,,,
Antone Smith,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Donovan Smith,,,Q,,,,,,,,,,,,,,23,LT,710857
Jacquies Smith,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Smith,Q,Q,Q,,,,,,,,,Q,,,,,,,
Noah Spence,,,,,Q,,,,,,,,,,,,,,
Luke Stocker,Q,,O,O,D,Q,,,,Q,Q,,O,Q,,,28,TE,1600000
J.R. Sweezy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Keith Tandy,,,,,Q,,,,,,,,,,,,27,ss,760000
Adarius Taylor,,Q,,,,,,,,,,,,,,,,,
Alterraun Verner,,,,,,,,,,,Q,,,,,,,,
