Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jude Adjei-Barimah,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
Kwon Alexander,Q,O,O,O,O,Q,,,,,,,,,,,,,,Buccaneers,2017
Robert Ayers,,,Q,,Q,Q,,Q,Q,,O,O,,,O,D,32,LDE,4000000,Buccaneers,2017
Chris Baker,,D,,,,,Q,Q,,,,,,,,,30,RDT,3000000,Buccaneers,2017
Kendell Beckwith,,,,,,,,Q,,,,,,,,,23,MLB,465000,Buccaneers,2017
Devante Bond,O,Q,,,,,,,,,,,,,,D,,,,Buccaneers,2017
Cameron Brate,,,,,,,,,,,,Q,,,Q,Q,26,TE,690000,Buccaneers,2017
Lavonte David,,,D,D,Q,Q,,,,,,,,O,Q,,27,RLB,6000000,Buccaneers,2017
Evan Dietrich-Smith,Q,,,,,,,,,,O,,,,,,,,,Buccaneers,2017
Demar Dotson,,,,,,,,,Q,,,IR,IR,IR,IR,IR,32,RT,4250000,Buccaneers,2017
Justin Evans,,,,,,,,,,,,,,,IR,IR,22,FS,465000,Buccaneers,2017
Nick Folk,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
William Gholston,,,,,,,,,O,O,Q,,,,,,26,RDE,3000000,Buccaneers,2017
Ryan Griffin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
Brent Grimes,,Q,Q,,,,O,O,Q,,,,,,,,34,RCB,6000000,Buccaneers,2017
Vernon Hargreaves III,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,22,LCB,1094439,Buccaneers,2017
O.J. Howard,,,,,,,,,,,,,,,IR,IR,23,TE,465000,Buccaneers,2017
Adam Humphries,,,,,,,,Q,,,,,,,,,,,,Buccaneers,2017
DeSean Jackson,,,,,,,,,,,,Q,,,O,Q,31,WR,6500000,Buccaneers,2017
DaVonte Lambert,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
Ali Marpet,,,,,Q,,,,,,,IR,IR,IR,IR,IR,24,C,703054,Buccaneers,2017
Doug Martin,,,,,,,,,,,,O,,,,,28,RB,5764706,Buccaneers,2017
Robert McClain,,,,,,,O,,D,,,,,,,,29,CB,775000,Buccaneers,2017
Gerald McCoy,,Q,Q,,,,,,Q,,,,,O,Q,,,,,Buccaneers,2017
Clinton McDonald,,,,,,,,,,,,O,O,Q,,,,,,Buccaneers,2017
Kevin Pamphile,,Q,,,,,,,,,,,,,,,27,LG,1797000,Buccaneers,2017
Josh Robinson,,,,,O,O,O,,,,,O,O,Q,,,,,,Buccaneers,2017
Ryan Russell,,,,,O,O,Q,,,,,,Q,,Q,Q,,,,Buccaneers,2017
Donovan Smith,,,,,,,,,Q,,,,,Q,,,24,LT,986715,Buccaneers,2017
Jacquies Smith,IR,D,,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
Ryan Smith,,,,,,,,,,,,,,,D,,24,LCB,540000,Buccaneers,2017
Noah Spence,,,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
J.R. Sweezy,,,Q,,,,,,Q,,,,,Q,IR,IR,28,RG,3750000,Buccaneers,2017
Keith Tandy,,,,D,O,Q,,,,,,,,,,,,,,Buccaneers,2017
Adarius Taylor,,,,,,Q,,,,,,,,,IR,IR,27,llb,690000,Buccaneers,2017
Justin Trattou,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
Stevie Tu'ikolovatu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2017
T.J. Ward,,,D,D,Q,Q,,,,,,O,O,,,,,,,Buccaneers,2017
Leonard Wester,,,,,,,,,,,,Q,,,,,,,,Buccaneers,2017
Jameis Winston,,,,,,Q,Q,Q,O,O,O,Q,,,,,23,QB,615000,Buccaneers,2017
