Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Andrew Adams,,,,,,,Q,,,,,,,28,S,910000,Buccaneers,2020
Antony Auclair,,O,IR,IR,IR,IR,IR,IR,,,,,,27,TE,825000,Buccaneers,2020
Jack Cichy,,,,,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020
Carlton Davis,,,,,,Q,,,,Q,,,,24,CB,879374,Buccaneers,2020
Khalil Davis,,,,,,Q,,,,,,,,24,DL,610000,Buccaneers,2020
Jamel Dean,,,,,,,,,,,,O,,24,CB,675000,Buccaneers,2020
Justin Evans,PUP,,,,,,PUP,,,,,,,,,,Buccaneers,2020
Mike Evans,D,,,,Q,,,,,,,,,27,WR,4000000,Buccaneers,2020
Leonard Fournette,,,,O,D,Q,,,,,,,,25,RB,2000000,Buccaneers,2020
John Franklin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
William Gholston,,,,,,,,,C19,,,,,29,DE,4750000,Buccaneers,2020
Chris Godwin,,D,,O,O,,,O,Q,,,,,24,WR,2133000,Buccaneers,2020
O.J. Howard,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
Tanner Hudson,,,,,,,,,,,O,O,,26,TE,595588,Buccaneers,2020
John Hurst,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Buccaneers,2020
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,IR,,,,Buccaneers,2020
Ali Marpet,,,,,,,,,O,Q,D,Q,,27,C,5125000,Buccaneers,2020
LeSean McCoy,,,,,O,,,,,,,,,32,RB,1050000,Buccaneers,2020
Jaydon Mickens,,,,,,,,,,Q,C19,C19,,,,,Buccaneers,2020
Scott Miller,,,,Q,Q,,,,,,,,,23,WR,675000,Buccaneers,2020
John Molchon,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Buccaneers,2020
Brad Seaton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
A.Q. Shipley,,,,,,,,,,,,O,IR,,,,Buccaneers,2020
Donovan Smith,,,,,,,,,,,,Q,,27,OT,14500000,Buccaneers,2020
Vita Vea,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Buccaneers,2020
Justin Watson,,,O,,O,,,,,,,,,24,WR,750000,Buccaneers,2020
