Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Antoine Bethea,,,,,,,,,,,,,,,Q,IR,,,
Alex Boone,,,,O,Q,,,,,,,,,,,,30,LG,1400000
Tyvon Branch,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,31,SS,1000000
Aaron Brewer,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
John Brown,,O,O,Q,Q,,,,,Q,O,O,O,O,Q,,27,wr,1797000
Deone Bucannon,O,D,Q,,,,,,,,,O,,,,,25,LILB,1471255
Josh Bynes,,,,,,,,,,,,,,,O,Q,,,
Karlos Dansby,,,,,,Q,Q,Q,,,,,,,Q,,36,RILB,1000000
Aaron Dobson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Andre Ellington,,,,,,,Q,Q,,,,,,,,,,,
Rudy Ford,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Alani Fua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brittan Golden,,,,,,,,Q,Q,,Q,,,,IR,IR,,,
Markus Golden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jermaine Gresham,,Q,Q,,,,,,,,,,,Q,,,29,TE,2000000
D.J. Humphries,,O,O,Q,O,,,,,IR,IR,IR,IR,IR,IR,IR,24,LT,1245192
Mike Iupati,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
David Johnson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jarvis Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Logan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Gabe Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,O,Q,,,,
Josh Mauro,,,,,,,,,,,Q,Q,Q,Q,,,26,LDE,750000
Ifeanyi Momah,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Daniel Munyer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
JJ Nelson,,,Q,Q,Q,,,,,,,,Q,,,,25,wr,615000
Troy Niklas,,Q,,,,,,,,,,Q,,,O,Q,25,TE,968632
Robert Nkemdiche,Q,Q,,O,O,Q,Q,,,,,,,,,,,,
Carson Palmer,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,38,QB,15500000
Elijhaa Penny,,,,,,,,,,,Q,,,,,Q,,,
Corey Peters,,,,,,Q,,,,O,O,O,Q,Q,,,29,NT,2750000
Adrian Peterson,,,,,,,,,,,,IR,IR,O,IR,IR,32,RB,1000000
Patrick Peterson,,,,,,Q,,,,,,,Q,,,,,,
Olsen Pierre,,,,,,O,Q,,,,,,,,Q,,26,lde,540000
Frostee Rucker,,,,,,,,Q,,,,,,,,,34,RDE,1000000
A.Q. Shipley,,,,,,,,,,Q,,,,,,,31,C,775000
Drew Stanton,,,,,,,,,,Q,Q,,,,,,,,
Jared Veldheer,,,,,,Q,,,,,,,Q,IR,IR,IR,30,RT,6500000
Earl Watford,,,,,,,,,,,,,,O,O,Q,27,RG,592647
John Wetzel,,,,,,,,,,Q,,,,,,,26,LT,540000
Chad Williams,,,,,,,,Q,Q,,,,,,Q,,,,
Kerwynn Williams,,,,,,,,,,,,,,,Q,Q,,,
Xavier Williams,,,,,,,Q,,,,,,,,,,,,
Ronald Zamort,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
