Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Robert Alford,,,,,,,,,,,IR,,,,,,Cardinals,2020
Zach Allen,,,,,,,,IR,IR,,IR,,,23,DL,690171,Cardinals,2020
Budda Baker,,,,O,,,,,Q,,,,,24,FS,1000000,Cardinals,2020
Chris Banjo,,,,O,Q,,,,,,,,,30,S,1050000,Cardinals,2020
Kelvin Beachum,,,,,,,Q,,,,,,,31,T,1050000,Cardinals,2020
De'Vondre Campbell,,,,,,,,,,Q,,,,27,OLB,1000000,Cardinals,2020
Mason Cole,,O,O,Q,,,,,,,,,,24,C,750000,Cardinals,2020
Darrell Daniels,,,,,Q,,,,,Q,O,IR,IR,,,,Cardinals,2020
Kenyan Drake,,,,,,,,O,Q,,,,,26,RB,8483000,Cardinals,2020
Kylie Fitts,,Q,,,,O,Q,,,,,,,26,DE,750000,Cardinals,2020
Larry Fitzgerald,,,,,,,,,,,C19,C19,,37,WR,11000000,Cardinals,2020
Leki Fotu,,,,,,,,,O,IR,IR,IR,,22,DL,610000,Cardinals,2020
Dennis Gardeck,,,,Q,,Q,Q,,,,,,,26,LB,750000,Cardinals,2020
Marcus Gilbert,IR,,,,,,,,,,IR,,,,,,Cardinals,2020
DeAndre Hopkins,,,,Q,,,Q,,,,,,,28,WR,1500000,Cardinals,2020
D.J. Humphries,,,,,,Q,,,,,,,,27,OT,910000,Cardinals,2020
Isaiah Irving,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Cardinals,2020
Chandler Jones,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cardinals,2020
Josh Jones,O,Q,,,,,,,,,,,,23,OL,610000,Cardinals,2020
Johnathan Joseph,,,,,,,,,,,,,IR,,,,Cardinals,2020
Devon Kennard,,,,Q,O,Q,,C19,C19,,,,,29,OLB,1000000,Cardinals,2020
Christian Kirk,,,O,Q,,,,,,,,,,24,WR,1015897,Cardinals,2020
Dre Kirkpatrick,,,Q,Q,,,Q,O,Q,,,,,31,CB,1050000,Cardinals,2020
Rashard Lawrence,,,,,,IR,IR,IR,IR,IR,IR,,,22,DL,461763,Cardinals,2020
Josh Mauro,,,,,,,,,,,O,IR,IR,,,,Cardinals,2020
Byron Murphy,,,,,,,,C19,C19,,,,,22,CB,858159,Cardinals,2020
Justin Murray,,,,,,,,,O,O,Q,,,27,T,750000,Cardinals,2020
Corey Peters,,,,,,,,,,IR,IR,IR,IR,,,,Cardinals,2020
Kevin Peterson,,,,,,,,,IR,IR,IR,IR,IR,26,CB,750000,Cardinals,2020
Jordan Phillips,,,Q,,Q,,Q,Q,O,O,IR,IR,IR,28,DT,2000000,Cardinals,2020
Trent Sherfield,,,,,,,,,,,C19,,,24,WR,750000,Cardinals,2020
J.R. Sweezy,,,,,,IR,IR,IR,IR,,,,,31,G,3500000,Cardinals,2020
Deionte Thompson,,,,,,,,,Q,,C19,C19,,23,S,675000,Cardinals,2020
Jalen Thompson,,IR,IR,IR,IR,IR,IR,IR,,,O,,,,,,Cardinals,2020
Brett Toth,IR,IR,IR,IR,IR,,,,,,,,,,,,Cardinals,2020
Zeke Turner,,,,,,,,Q,,,,,,24,S,,Cardinals,2020
Tanner Vallejo,,,,Q,,,,,,,,,,26,ILB,825000,Cardinals,2020
Charles Washington,,,,,,,,,,Q,Q,,,27,DB,825000,Cardinals,2020
Maxx Williams,,O,IR,IR,IR,IR,IR,IR,Q,Q,,,,26,TE,2850000,Cardinals,2020
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dave Zastudil,,,,P,P,,,,,,,,,,,,,
