Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jahleel Addae,,,O,O,O,O,O,D,D,D,,,,,,,26,SS,2553000,Chargers,2016
Keenan Allen,,,,,,,,,,,,,,,,,,,,Chargers,2016
Jeremiah Attaochu,,,,,,,O,O,D,,,O,IR,IR,IR,IR,,,,Chargers,2016
Rasheed Bailey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Joe Barksdale,,,,Q,Q,Q,,,,,,,,,,,28,RT,4550000,Chargers,2016
Travis Benjamin,,,,,,,Q,Q,Q,D,Q,,,,,,27,WR,4000000,Chargers,2016
Joey Bosa,,O,O,O,,,,,,,,,,,,,21,LDE,4704306,Chargers,2016
Jatavis Brown,,,,Q,,,,,O,O,O,O,Q,,,,22,LILB,496096,Chargers,2016
Zamir Carlis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Terrell Chestnut,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Donavon Clark,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Asante Cleveland,,,,,,,,,,,O,Q,,,,,,,,Chargers,2016
Jeff Cumberland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Matt Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
King Dunlap,,,,D,Q,,,,,,,,,,Q,D,31,LT,5143750,Chargers,2016
Nick Dzubnar,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Kenneth Farrow,,,,,,,,,,,,,,,,IR,,,,Chargers,2016
Brandon Flowers,,,,O,O,O,O,,,,IR,IR,IR,IR,IR,IR,30,LCB,9750000,Chargers,2016
Orlando Franklin,,Q,Q,Q,,Q,,,,Q,,,Q,Q,Q,Q,29,LG,7200000,Chargers,2016
Antonio Gates,,,D,D,Q,,,,,,,,,,,,36,TE,5500000,Chargers,2016
Melvin Gordon,,,,,,,,,,,,,,O,O,O,,,,Chargers,2016
Chris Hairston,,,,,,Q,,,,,,,,,,,27,lt,1100000,Chargers,2016
Hunter Henry,,,,,,,,Q,O,Q,,,,,,,22,TE,1160055,Chargers,2016
Javontee Herndon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Steve Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Tyler Johnstone,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Sean Lissemore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Craig Mager,,,,,Q,Q,,O,O,Q,,,,IR,IR,O,24,LCB,708144,Chargers,2016
Tyler Marcordes,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Robert McClain,,,,,,,,Q,,,,,,,,,,,,Chargers,2016
Dexter McCluster,,,,,,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Brandon Mebane,,,,,,,,,,,IR,IR,IR,IR,IR,IR,31,NT,3500000,Chargers,2016
Branden Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Tenny Palepoi,,,,,,,,,,,,Q,,,,,,,,Chargers,2016
Denzel Perryman,,,,,Q,Q,,Q,D,O,,,,,,,24,RILB,1085562,Chargers,2016
Shaq Petteway,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Caraun Reid,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Manti Te'o,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Jason Verrett,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Chris Watt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Tourek Williams,,,,,,,,,,,Q,,,,,,,,,Chargers,2016
Tyrell Williams,,,,,,,,Q,Q,Q,,Q,,,,,24,WR,525000,Chargers,2016
Danny Woodhead,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
Carlos Wray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chargers,2016
