Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Keenan Allen,,,,,,,Q,,,,,,,,,,,,
Jeremiah Attaochu,Q,Q,,,,,,,,,,,,,,,,,
Joe Barksdale,,,Q,Q,Q,Q,Q,D,Q,O,Q,,,,Q,,29,RT,4500000
Travis Benjamin,,,,,,,,,,,Q,,,,,,,,
Tre Boston,Q,,,,,,,,,,,,,,,,25,FS,700000
Jatavis Brown,,,,,Q,Q,,,,,,,,,,,23,rlb,540000
Asante Cleveland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Austin Ekeler,,,,,,,,,,,,,,,Q,,,,
Melvin Gordon,,,Q,Q,,,Q,Q,,,,,,,,Q,24,RB,1404980
Chris Hairston,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Casey Hayward,,,,,,,,,,,,Q,,Q,,,,,
Hunter Henry,,,,,,,,,,,,,,,IR,IR,23,TE,740014
Dontrelle Inman,Q,Q,,,,,,,,,,,,,,,,,
Rayshawn Jenkins,,O,,,,,,,,,,,,,,,,,
Forrest Lamp,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Landrum,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Corey Liuget,,,,,,,Q,Q,,,Q,Q,Q,,O,Q,27,RDT,8000000
Chris McCain,,,,,,,,,,Q,,,,,,,,,
Sean McGrath,Q,Q,,Q,Q,,,,,,,,,,,,30,TE,615000
Charmeachealle Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nick Novak,,,,,,,,,,,,Q,IR,IR,IR,IR,,,
Russell Okung,,,,,,,,,,,Q,,,,Q,Q,,,
Branden Oliver,,,,,O,Q,,,,,,,,,,,,,
James Onwualu,,,,,,,,,,D,Q,,,,,,,,
Denzel Perryman,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,O,Q,25,RLB,831724
Adrian Phillips,,,,,,,Q,,,,,,,,,O,,,
Hayes Pullard,,,Q,Q,,,,,Q,D,Q,,,,,,25,MLB,615000
Philip Rivers,,,,,,,,,,Q,,,,,,,,,
Matt Slauson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,31,lg,2000000
Darrell Stuckey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jason Verrett,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Andre Williams,,,,,,,,,,,,,,IR,IR,IR,,,
Mike Williams,IR,O,O,O,O,Q,,,,,Q,O,Q,,,,,,
Tyrell Williams,,,,,Q,,,,,,,,,,,,25,RCB,615000
