Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,
Sam Acho,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Prince Amukamara,,,,O,,,,,,,,,,,,,,29,RCB,3500000
Ben Braunecker,,,,,,,,O,,,,,,,,,,,,
Daniel Brown,D,,,,,,,,,,,,,,,,,,,
Marlon Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Deon Bush,,,,,,,,,,,,,D,,,,,,,
Bryce Callahan,,,,,,Q,,,,,,,,IR,IR,IR,IR,27,DB,1907000
Marcus Cooper,,,O,O,O,D,,,,,,,,,,,,,,
Benny Cunningham,,,,,,,,,,,,D,,,,,,,,
Akiem Hicks,,,,,,,,,,,,Q,,,,,,,,
DeAndre Houston-Carson,O,O,O,,,,,,,,,,,,,,,,,
Eddie Jackson,,,,,,,,,,,,,Q,Q,D,D,,,,
Eric Kush,,,,,,,O,,,,,,,,,,,29,lg,1400000
Kyle Long,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,30,RG,2248158
Aaron Lynch,,,,,,,,,,,O,,,,D,D,,,,
Khalil Mack,,,,,,Q,Q,Q,,,,,,,,,,,,
Sherrick McManis,,,,,,,,,,,,D,,,,,,,,
Anthony Miller,,,,O,,,,,,,,,,,,,,,,
Zach Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bilal Nichols,,,,,,,,Q,Q,Q,,Q,Q,Q,Q,Q,,22,rde,480000
Allen Robinson,,,,,,Q,Q,Q,,,,,,Q,,D,,25,WR,4000000
Adam Shaheen,IR,IR,IR,IR,IR,IR,IR,IR,IR,,O,,,,,,,,,
Dion Sims,,,,,,,,,IR,O,IR,IR,IR,IR,IR,IR,IR,,,
Mitchell Trubisky,,,,,,,,,,,D,D,,,,,,,,
Andrew Trumbetti,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Javon Wims,,,,,,,,,,Q,,,,,,,,,,
