Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Prince Amukamara,,,,,,,,,,,,,D,,Q,Q,30,CB,8500000
Blake Blackmar,IR,IR,IR,,,,,,,,,,,,,,,,
Ben Braunecker,,,,,,,,,,,,O,O,O,IR,IR,,,
Trey Burton,Q,Q,Q,Q,,,,,,O,IR,IR,IR,IR,IR,IR,28,te,6700000
T.J. Clemmings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rashaad Coward,Q,,,,,,,,,,,,,,,D,25,RG,645000
Taylor Gabriel,,,,O,O,,,,,,,O,O,O,O,O,28,wr,5500000
Eddie Goldman,,Q,,,,,,,Q,,,,,,,O,25,NT,2250000
Akiem Hicks,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,O,30,lde,8000000
Isaiah Irving,,,,,,,,O,O,O,Q,,,,,,,,
Joel Iyiegbuniwe,,,,,D,,,,,,,,,,,,,,
Eddie Jackson,,,Q,,,,,,,,,,,,,,,,
Nick Kwiatkoski,,Q,,,,,,,,,,,,,,,26,IL,2025000
Ted Larsen,,,,,O,Q,,,,,,,,,,,,,
Kyle Long,,,Q,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bobby Massie,,,,,,,,,,,,O,O,O,O,D,30,RT,2400000
Sherrick McManis,,,,,,,,,,,,O,IR,IR,IR,IR,,,
David Montgomery,,,,,,,,,,Q,,,,,,,22,RB,495000
Bilal Nichols,Q,Q,O,O,O,Q,Q,,,,,,,,,,23,RDE,570000
Eddy Pineiro,,,Q,Q,,,,,,,,,,,,,,,
Dax Raymond,IR,IR,,,,,,,,,,,,,,,,,
Roy Robertson-Harris,,,,,,,,,,,,,,Q,,,26,LDE,645000
Adam Shaheen,,,,,,,,,,O,O,O,IR,IR,IR,IR,,,
Joshua Simmons,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Roquan Smith,,,,,,,,,,,,,,IR,IR,IR,22,RILB,1319871
Danny Trevathan,,,,,,,,,,O,O,O,O,O,IR,IR,29,LILB,5800000
Mitchell Trubisky,,,,,O,Q,,,,,,,,,,,25,QB,645000
Javon Wims,,,,,,,,,,,,,,Q,,,25,wr,570000
