Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Allen Bailey,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27,rde,5212500,Chiefs,2016
Jamaal Charles,D,D,D,Q,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2016
Jordan Devey,,,,,,,O,,,,,,,,,,,,,Chiefs,2016
Laurent Duvernay-Tardif,,O,Q,,,,,,,,,,,,,,25,RG,633575,Chiefs,2016
Parker Ehinger,,O,O,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2016
Dee Ford,,,,,,,,,,,O,Q,,,,,25,LOLB,2225100,Chiefs,2016
Phillip Gaines,,,Q,Q,,Q,,,,Q,,Q,,O,O,Q,25,rcb,755778,Chiefs,2016
Tamba Hali,,,,Q,,,,,,,,,,,,,,,,Chiefs,2016
Justin Houston,IR,IR,IR,IR,IR,IR,IR,IR,O,Q,,Q,,Q,Q,O,27,lolb,19100000,Chiefs,2016
Jaye Howard,,,,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2016
Derrick Johnson,,,,,,,,,Q,Q,Q,,,O,IR,IR,34,LILB,3500000,Chiefs,2016
Jeremy Maclin,,,,,,,,Q,O,O,O,Q,,,,,28,WR,12400000,Chiefs,2016
Justin March-Lillard,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,rilb,453333,Chiefs,2016
Josh Mauga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2016
Trey Millard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2016
Steven Nelson,,,,,,,,,,,Q,,,,,,23,RCB,682988,Chiefs,2016
Dadi Nicolas,,,,,,,,,,,,,,,,,,,,Chiefs,2016
Marcus Peters,,,,,,,,,,Q,Q,,,,,,,,,Chiefs,2016
Jah Reid,,,O,O,,,,,,,,,,,,,,,,Chiefs,2016
Kendall Reyes,,O,O,Q,,,,,,,Q,Q,Q,Q,,,,,,Chiefs,2016
Mitchell Schwartz,,,,,,,Q,,,,,,,,,,27,RT,2400000,Chiefs,2016
Alex Smith,,,,,,,,O,,,,,,,,,,,,Chiefs,2016
Spencer Ware,,,,,,,,O,,,,,,,,Q,25,RB,958333,Chiefs,2016
Charcandrick West,,,,O,,,,,,,,,,,,,,,,Chiefs,2016
D.J. White,,,,,,,O,O,D,,,,,,,,,,,Chiefs,2016
James Winchester,,,,,,,,,,Q,,,,,,,,,,Chiefs,2016
