Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mike Adams,,,,,Q,,O,P,,O,D,P,,,,P,,,,Colts,2015
Daniel Adongo,,,,,,,,,,,,,O,,,,,,,Colts,2015
Dwayne Allen,,,O,Q,P,,,,,,,,,,,IR,25,TE,1717826,Colts,2015
Colt Anderson,,,,,,,,,,,,,Q,O,Q,Q,,,,Colts,2015
Henry Anderson,,,,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,24,RDT,588419,Colts,2015
Vick Ballard,O,,,,,,,,,,,,,,,,,,,Colts,2015
Ahmad Bradshaw,,,,,,,,,,,,IR,IR,IR,IR,IR,,,,Colts,2015
Jalil Brown,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Colts,2015
Darius Butler,,O,O,P,,,,,P,,,,,,,P,,,,Colts,2015
Anthony Castonzo,,,,,,,,,,,O,O,O,P,,,27,LT,7438000,Colts,2015
Trent Cole,,,Q,P,,P,,,,,,,,,,O,33,rlb,6953125,Colts,2015
Vontae Davis,,,Q,P,Q,,,,,,P,P,,P,,,,,,Colts,2015
Phillip Dorsett,,,,,,,,O,O,O,O,O,P,,,,,,,Colts,2015
Jack Doyle,,,,,,,,,,,,,,P,P,P,,,,Colts,2015
Jerrell Freeman,,,,,O,Q,P,,,,P,O,O,P,P,P,29,MLB,2356000,Colts,2015
Clayton Geathers,,,,,,,D,P,,,,,,,,,,,,Colts,2015
Frank Gore,,,,,P,,,,,,P,,,,,,32,RB,4500000,Colts,2015
Winston Guy,,,,,,,,D,P,,,,,,O,Q,,,,Colts,2015
Matt Hasselbeck,,,,,Q,,,,,,,,P,P,P,O,40,QB,3000000,Colts,2015
Todd Herremans,,P,,,,,,,,,,,,,,,,,,Colts,2015
Dan Herron,IR,IR,IR,IR,IR,,,IR,IR,IR,,,,,,,,,,Colts,2015
T.Y. Hilton,,Q,,P,,P,,,Q,,,,,,,P,,,,Colts,2015
Khaled Holmes,,,,,,,,O,P,,,Q,Q,,,,25,c,690027,Colts,2015
Nate Irving,P,,,,,Q,P,O,O,P,,,IR,IR,IR,IR,,,,Colts,2015
D'Qwell Jackson,P,P,P,P,,,,,,P,,P,Q,P,P,,32,LLB,5750000,Colts,2015
Andre Johnson,,,P,P,,,,,,,,,,,,,34,WR,7500000,Colts,2015
Arthur Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2015
Kendall Langford,,,,,P,,,,,,,,,,,,29,LDE,4250000,Colts,2015
Lance Louis,,,P,,,,,,,,,,,,,,,,,Colts,2015
Andrew Luck,,,,Q,Q,Q,,,P,O,O,O,O,O,O,O,26,qb,7034363,Colts,2015
Robert Mathis,Q,Q,P,P,,,,,,,,,,,,,34,RLB,7470586,Colts,2015
Josh McNary,,,,,,,,,,Q,,,,,IR,IR,,,,Colts,2015
Jack Mewhort,,,,,,,,,,,,,,,,P,24,LG,812228,Colts,2015
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2015
Donte Moncrief,,,,,,,,,,,,,,Q,Q,P,22,WR,660880,Colts,2015
Sio Moore,,,,,,,,,,,P,,,,,Q,,,,Colts,2015
Jonathan Newsome,,Q,P,,,,,,,,,,,,,,,,,Colts,2015
Sheldon Price,P,,Q,,,,,,,,,,,,,,,,,Colts,2015
Josh Robinson,,,,P,,,,,,,,,,,,,,,,Colts,2015
D'Joun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,,P,,,O,IR,IR,,,,Colts,2015
Hugh Thornton,,,,P,,,,,,,P,O,P,P,,,24,RG,731345,Colts,2015
Greg Toler,O,O,O,O,P,,,,,,Q,P,Q,Q,,,30,LCB,5833334,Colts,2015
Tyler Varga,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Colts,2015
Erik Walden,,,,,,,,,,,Q,P,D,P,P,P,30,RDE,4250000,Colts,2015
Bjoern Werner,P,P,P,P,O,P,,,,,,,,,,,,,,Colts,2015
Griff Whalen,,,,,,,,,,,,,P,,IR,IR,,,,Colts,2015
Charlie Whitehurst,,,,,,,,,,,,,,,,IR,,,,Colts,2015
Billy Winn,,,,,,P,,,,,,,,,IR,IR,,,,Colts,2015
