Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age ,Pos,Salary
Kamar Aiken,,,Q,,,,,Q,,O,,,,,,,28,wr,1000000
Henry Anderson,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,26,LDE,629500
Deyshawn Bond,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jonathan Bostic,,,,,,Q,,,,,,,,,IR,IR,26,RILB,690000
Quan Bray,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Chris Briggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Darius Butler,,O,Q,,,,,Q,,,,,,,,,,,
Anthony Castonzo,,,,,,,,,Q,,,,,,,,29,LT,1000000
Chris Culliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Darrell Daniels,,,,,,,Q,,,,O,O,O,O,,,,,
Vontae Davis,O,O,D,,,,,,,,,,,,,,29,RCB,9000000
Pierre Desir,,,,,,,,,,,,,IR,IR,IR,IR,27,rcb,690000
Jack Doyle,,,,,O,,,,,,,,,,,,,,
Matthias Farley,,,,Q,,,,,,,,,,,,,25,SS,540000
Clayton Geathers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,
Denzelle Good,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Q,,O,O,,,
T.J. Green,,,,,,,Q,Q,,,,,,,,,22,fs,639420
Nate Hairston,,,,,O,,,,,,,,,O,,,,,
Johnathan Hankins,,,,,,,,,,,,,,,,O,25,RDE,3000000
T.Y. Hilton,,,,,,,,,,Q,,,,,,,,,
Krishawn Hogan,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Malik Hooker,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,21,FS,465000
Margus Hunt,,,,,,,,,,,Q,,,,,,30,lde,1100000
Edwin Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Jones,,,,,D,,,,O,,,,,,,,,,
Kyle Kalis,,,,,,,,,,,Q,,,,,,,,
Ryan Kelly,O,O,O,O,,,Q,Q,,,,IR,IR,IR,IR,IR,24,C,925045
Kendall Langford,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,IR,IR,,,
Andrew Luck,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marlon Mack,,,O,O,,,,,,,,,,,,,,,
Rashaan Melvin,,,,,Q,,,O,,,,IR,IR,IR,IR,IR,28,LCB,775000
Jack Mewhort,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,26,RG,907337
Christine Michael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Christopher Milton,,,Q,Q,,,,,,,,,Q,,,,,,
Tevin Mitchel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Donte Moncrief,,,,,,,,,,,,Q,O,O,O,Q,24,WR,1797000
Darryl Morris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,
Antonio Morrison,,O,,,,,,,,,,,,,,,23,LILB,540000
Deiontrez Mount,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,
Blake Muir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Person,,,,,,,,,,,,,Q,,,,,,
Hassan Ridgeway,,,,,,,,,,,O,O,,,,,,,
Chester Rogers,O,Q,O,O,Q,,,,,,,,,,,,,,
Brian Schwenke,,,,,,,,IR,,,,,,IR,IR,,,,
Ian Silberman,O,,,,,,,,,,,,,,,,,,
John Simon,,,,,,,,O,O,O,,,IR,IR,IR,IR,27,LOLB,1500000
Tevaun Smith,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Erik Swoope,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Turbin,,,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Anthony Walker,,O,O,O,,O,O,,,,,,,,,,,,
Brandon Williams,,,Q,,,,,,,,,,,,O,IR,30,WR,775000
Frankie Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Quincy Wilson,,,O,O,,,,,O,Q,,,,,,,,,
George Winn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Earl Wolff,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
