Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Mo Alie-Cox,,,,,,,,,,Q,Q,Q,,,,,,,
Denico Autry,,,,,,,,,,,,,,,O,D,29,DT,3500000
Jacoby Brissett,,,,,,,,,Q,,,,,,,,27,QB,2000000
Billy Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Parris Campbell,,,,,O,O,Q,,O,O,O,Q,,IR,IR,IR,,,
Carl Davis,,,,,,,O,,,,,,,,,,,,
Pierre Desir,,,,Q,,Q,Q,D,Q,D,,,,Q,,,29,CB,1000000
Jack Doyle,,,,,,,Q,,,,,,,,,,,,
Eric Ebron,,,,,,,,,,,Q,IR,IR,IR,IR,IR,,,
Daurice Fountain,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Devin Funchess,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Clayton Geathers,,,,,O,,,,,,,,,,,,27,SS,1250000
Penny Hart,IR,,,,,,,,,,,,,,,,,,
T.Y. Hilton,,,Q,D,Q,,,O,O,O,Q,O,O,Q,,,30,WR,13000000
Malik Hooker,,,,O,O,D,,Q,,,,,Q,,Q,,23,FS,1610446
Justin Houston,,,,,,Q,,Q,,,,,,,,,30,LDE,1000000
Steve Ishmael,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Iseoluwapo Jegede,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Isaiah Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marcus Johnson,IR,IR,,,,,,,,,,,,,,,25,WR,570000
Darius Leonard,,,O,O,O,,,,,,,,,,,,,,
Tyquan Lewis,,,,O,O,O,Q,,,,,,,,,,,,
Marlon Mack,,,Q,,Q,,,,,,O,O,,,,,23,RB,645000
Rolan Milligan,,,,,Q,,,,,,,,,,IR,IR,,,
Kenny Moore,,,,,,O,Q,,,,,,O,O,O,Q,24,LCB,645000
Al-Quadin Muhammad,,,,Q,,,,,,,,,,,,Q,,,
Kai Nacua,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Quenton Nelson,,,,,,Q,,,,,,,,,,,,,
Javon Patterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chester Rogers,,,,,,,,,,,,,IR,IR,IR,IR,25,wr,3095000
Jabaal Sheard,O,O,O,Q,,,,,,,,,,,,,30,DE,7500000
Shakial Taylor,IR,,,,,,,,,,O,,,,,,,,
Ahmad Thomas,IR,IR,,,,,,,,,,,,,,,,,
Kemoko Turay,Q,D,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Adam Vinatieri,,,,,,,,,,,,,O,IR,IR,IR,,,
Anthony Walker,,,,,Q,,,,,,,,,,,,24,MLB,645000
Spencer Ware,PUP,PUP,PUP,,,,,,,,,,,,,,,,
Jordan Wilkins,Q,,,,,,,,,Q,,,,,,O,,,
Jonathan Williams,O,O,Q,,,,,,,,,,,,,,,,
Khari Willis,,,,,,,,,,,O,Q,,,,D,23,SS,495000
Quincy Wilson,,,,,,,,,Q,,,,,,O,O,,,
Rock Ya-Sin,,,,,Q,,,,,,Q,Q,Q,,,,23,LCB,495000
