Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Matthew Adams,Q,,O,IR,IR,IR,IR,IR,C19,C19,,,,25,LB,644118
Mo Alie-Cox,,,,,,O,Q,Q,Q,,,,,27,TE,750000
Bruce Anderson,IR,IR,IR,IR,,,,,,,,,,,,
Denico Autry,,,,,,Q,,,,C19,C19,C19,,30,DE,5300000
Julian Blackmon,O,Q,,,,,,,,,,,,22,S,610000
DeForest Buckner,,,,,,,,,,,C19,C19,,26,DT,12378000
Trey Burton,IR,IR,IR,IR,,,,,,,,,,29,TE,910000
Parris Campbell,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Carrie,,,,O,,,,,,,,,,30,CB,910000
Anthony Castonzo,,,,,O,Q,,,,,,,,32,LT,7000000
Le'Raven Clark,,,,,,,,,,,,,IR,,,
Sheldon Day,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Jack Doyle,,O,Q,,,,,,O,Q,,,,30,TE,1250000
Ashton Dulin,,,,,,,,O,IR,IR,IR,,,23,WR,542648
Jordan Glasgow,,,,,,,,,,,,,,,,
Chaz Green,,,,,,O,,,,,,,,28,OT,910000
T.Y. Hilton,,,,,,,,D,,,,,,31,WR,14542000
Malik Hooker,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Justin Houston,,Q,,,,Q,,,,,,,,31,LOLB,8000000
Marcus Johnson,,,,,,,,Q,,,,,,26,WR,582353
Ryan Kelly,,,,,,,Q,,,,Q,,,27,C,5350000
Darius Leonard,,,,,O,D,,,,,,,,25,LB,1138891
Marlon Mack,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Skai Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Quenton Nelson,,,,,,,,,,,Q,,,24,OG,750000
Bobby Okereke,,,,,,,,,,,O,,,24,LB,675000
Zach Pascal,,Q,,,,,,,,,Q,,,26,WR,750000
Michael Pittman Jr.,,Q,,IR,IR,IR,IR,,,,,,,23,WR,
Philip Rivers,,,,,,,,,,,Q,,,39,QB,13000000
Isaiah Rodgers,,Q,,,,,,,,Q,Q,,,22,CB,610000
Braden Smith,,,,,,,,,,Q,,,,24,OG,1133972
Jonathan Taylor,,,,,,,,,,,C19,,,21,RB,610000
Marvell Tell III,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Noah Togiai,,,,,,,,,,Q,,IR,IR,,,
Kemoko Turay,PUP,PUP,PUP,PUP,PUP,PUP,,,,Q,,,,25,OLB,954400
Anthony Walker,,,,,Q,,,,,,Q,,,25,MLB,2133000
Jordan Wilkins,,,,,,Q,,,,,,,,26,RB,750000
Khari Willis,,,,,,,,,,,Q,,,24,S,675000
Rock Ya-Sin,,,O,,,,,,,,,,,24,CB,854839
