Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Tavon Austin,,,,,,,O,O,O,O,O,O,O,Q,Q,,,,
Chidobe Awuzie,Q,,,,Q,Q,Q,,,,,,,,,,23,LCB,659709
Cole Beasley,,,Q,Q,,,,,,,,,,,,,,,
Anthony Brown,,,,,,,,,,,,,,,Q,Q,25,DB,630000
Noah Brown,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,
Brice Butler,,,,,,Q,,,,,,,,,,,,,
Maliek Collins,,,O,O,Q,Q,,,,Q,Q,Q,,,,,23,LDT,755000
Tyrone Crawford,,,,,,,,,,,,,,,,O,29,RDE,6000000
Parker Ehinger,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kavon Frazier,Q,,,,,,,,,,,,,,,,,,
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Michael Gallup,,,,,,,,,,,,,Q,,,,22,WR,480000
C.J. Goodwin,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,
Randy Gregory,,D,,,,Q,,Q,Q,,,,,Q,,,,,
Allen Hurns,,,,,,,,,,,,,,,,,27,wr,2500000
David Irving,,,,,,,,O,O,O,O,O,O,O,O,O,,,
Blake Jarwin,,,,,,,,,,,,,,,,,,,
Datone Jones,IR,IR,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeMarcus Lawrence,,,,,,Q,,,,,,,,,,,,,
Sean Lee,,,Q,O,O,O,,,O,O,O,O,O,Q,Q,Q,32,rlb,7000000
Lance Lenoir,,,,,,,,,,,,,,Q,,,,,
Marcus Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Zack Martin,,,,,,,,Q,,Q,Q,Q,,O,Q,Q,,,
Adam Redmond,,,,,,,,,,,O,,,,,,,,
Daniel Ross,,,,,,,,,,O,,,,,,,,,
Jameill Showers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tyron Smith,,,,,,,,,,,Q,Q,Q,Q,,Q,,,
Xavier Su'a-Filo,,,,,,,,,,,,Q,,,,,27,LG,743529
Geoff Swaim,,,,,,,,D,Q,,IR,IR,IR,IR,O,IR,25,TE,705000
Joe Thomas,,,,,,O,O,O,O,Q,Q,,,,,,,,
Darian Thompson,,,,,,,,,,,,,,,,,,,
Deonte Thompson,,,,,,Q,,,,,,,,,,,,,
Connor Williams,,,,,,,,,O,Q,Q,,,,,,21,LG,480000
Terrance Williams,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cedrick Wilson Jr.,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Antwaun Woods,,,,Q,Q,,,,,D,Q,,,,,,25,RDT,480000
Xavier Woods,O,O,Q,,,,,,,,,,,,,,23,FS,555000
