Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Dorance Armstrong Jr.,,,,,,,Q,,,,,,,,,,,,,Cowboys,2019
Tavon Austin,,O,O,,,,,,,,,,,,,,,,,Cowboys,2019
Anthony Brown,,,,,,,O,Q,,,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Noah Brown,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Cowboys,2019
Ventell Bryant,,,,,,,,,,,,,,Q,,,,,,Cowboys,2019
Randall Cobb,,,,,,Q,Q,,,,,,,,,,29,wr,2000000,Cowboys,2019
La'el Collins,,,,,Q,Q,Q,,,Q,,,,,,,26,RT,6516750,Cowboys,2019
Amari Cooper,,,,,,,Q,,Q,,,,,,,,,,,Cowboys,2019
Tyrone Crawford,,,O,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Cameron Fleming,,,,,,,,O,O,,,,,,,,,,,Cowboys,2019
Kavon Frazier,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Michael Gallup,,,O,O,Q,,,,,,,,,,,,23,WR,629000,Cowboys,2019
Luke Gifford,O,O,O,Q,,,,,,,,,,,IR,IR,,,,Cowboys,2019
C.J. Goodwin,,,,,,,,,,,,,,,Q,,,,,Cowboys,2019
Jeff Heath,,,,,,,,,,Q,,Q,O,,,,28,SS,2000000,Cowboys,2019
Jalen Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Jon'Vea Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Byron Jones,,,,,,,Q,,,,,,,,,Q,27,CB,6266000,Cowboys,2019
Sean Lee,,,,,,,,,,,,,,Q,,,33,LLB,2000000,Cowboys,2019
Lance Lenoir,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Joe Looney,,,,,,,Q,,,,,,,,,,,,,Cowboys,2019
Zack Martin,,,,,,,Q,,,,,,,,,,,,,Cowboys,2019
Connor McGovern,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Tony Pollard,,,,,,,,,,,,,Q,,,,,,,Cowboys,2019
Tyvis Powell,IR,,,,,,,,,,,,,,,,,,,Cowboys,2019
Derrick Puni,IR,IR,IR,IR,,,,,,,,,,,,,,,,Cowboys,2019
Adam Redmond,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Daniel Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Jameill Showers,IR,IR,,,,,,,,,,,,,,,,,,Cowboys,2019
Devin Smith,,,,,,,,,,,,,,,Q,,,,,Cowboys,2019
Tyron Smith,,,,,O,Q,Q,,,,,,,,,Q,,,,Cowboys,2019
Xavier Su'a-Filo,,,,,,,,,,,,,,,,IR,,,,Cowboys,2019
Joe Thomas,,,,,,,,,,,Q,,,,Q,O,,,,Cowboys,2019
Darian Thompson,O,,,,,,,,,,,,,,,,,,,Cowboys,2019
Leighton Vander Esch,,,,,,,,Q,,,O,O,O,O,O,IR,23,RLB,1018535,Cowboys,2019
Chris Westry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Cody Wichmann,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2019
Connor Williams,,,,,,,,,,O,Q,,IR,IR,IR,IR,22,LG,729500,Cowboys,2019
Cedrick Wilson Jr.,,,,,,,,,,,,,,IR,IR,IR,,,,Cowboys,2019
Donovan Wilson,O,,,,,,,,,,Q,,,,,,,,,Cowboys,2019
Antwaun Woods,,,O,O,Q,,,,,,,O,O,,,Q,26,RDT,570000,Cowboys,2019
Xavier Woods,,,O,,,,,,,,,,,,,,24,FS,645000,Cowboys,2019
