Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Chidobe Awuzie,,,O,IR,IR,IR,IR,IR,IR,IR,,,C19,25,CB,1049126,Cowboys,2020
Tyler Biadasz,,,,,,,,,,O,IR,IR,IR,23,OL,610000,Cowboys,2020
Anthony Brown,,IR,IR,IR,IR,,,,,,Q,,,27,CB,1750000,Cowboys,2020
Ventell Bryant,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Cowboys,2020
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
La'el Collins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Andy Dalton,,,,,,,,O,C19,C19,,,,33,QB,1000000,Cowboys,2020
Trevon Diggs,,,,Q,,,,,,IR,IR,IR,IR,,,,Cowboys,2020
Ezekiel Elliott,,,,,,,,,Q,,,,,25,RB,6800000,Cowboys,2020
Cameron Erving,,IR,IR,IR,IR,IR,IR,,,,,,IR,,,,Cowboys,2020
Travis Frederick,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Cowboys,2020
Randy Gregory,,,,,,,,,,Q,,,,28,DE,825000,Cowboys,2020
Stephen Guidry,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Trysten Hill,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Mitch Hyatt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Blake Jarwin,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Chris Jones,,,,,,,,,IR,IR,IR,IR,IR,,,,Cowboys,2020
Azur Kamara,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Brandon Knight,,,,,,,IR,IR,IR,IR,,,,23,T,513236,Cowboys,2020
DeMarcus Lawrence,,,Q,,,,,,,Q,,,,28,DE,1900000,Cowboys,2020
Sean Lee,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,34,MLB,2000000,Cowboys,2020
Jourdan Lewis,O,,,,,,,,,,,,,25,CB,2133000,Cowboys,2020
Joe Looney,,,,,IR,IR,IR,IR,,,,,,30,G,2300000,Cowboys,2020
Zack Martin,,,,,,,O,,,,,IR,IR,,,,Cowboys,2020
Jamize Olawale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Steven Parker,,,,,,,,,,,,IR,IR,,,,Cowboys,2020
Dak Prescott,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Aldon Smith,,,,,,,,,Q,,,,,31,DE,910000,Cowboys,2020
Tyron Smith,,Q,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020
Joe Thomas,,,,,,,,,Q,,,,,29,LB,1000000,Cowboys,2020
Leighton Vander Esch,,IR,IR,IR,IR,IR,,,,,,,,24,OLB,1557071,Cowboys,2020
Greg Zuerlein,,,,,,,,,,,Q,,,33,K,1250000,Cowboys,2020
