Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary
Walt Aikens,,,,,,,,,,,P,,,,,,,,
Jay Ajayi,IR,IR,IR,IR,IR,IR,IR,,,,P,P,,,,,,,
Branden Albert,P,,D,D,Q,P,,,,,P,P,P,,P,,,,
Zackary Bowman,,,,,P,P,P,,,,,,,,,,,,
Jordan Cameron,,,Q,Q,,,,Q,P,,,,,,,,27,TE,4562500
Louis Delmas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Denney,,,,,,,,,,,,,P,,,,,,
Jamil Douglas,,,,,,,,,,P,,,,,,Q,23,rg,564641
Jason Fox,D,,,,,,,,,,,,,,,,27,RT,957500
A.J. Francis,,,,,Q,P,,,,,,,,,,,,,
Shamiel Gary,,,,,,,,,,,,P,,,,,,,
Jonas Gray,,,,Q,,,,,,,,,,,,,,,
Brent Grimes,,,,,Q,P,P,P,,,,,,,,,,,
Neville Hewitt,,,,,,,,Q,,,,,,,,,,,
Ja'Wuan James,,,,,,,,O,O,O,O,O,O,O,D,Q,23,rt,1915545
LaMichael James,P,,,,,,,,,,,,,,,,,,
Jelani Jenkins,,,,,,,,,P,D,Q,P,P,D,Q,D,23,RLB,703172
Reshad Jones,,Q,P,,,P,,P,,,P,,,,,,,,
Jordan Kovacs,,,,,,,,D,P,,,,,,,,,,
Jarvis Landry,,,,,,,,,,,Q,P,P,P,P,P,,,
Rishard Matthews,,,,,,,,,,,,IR,IR,IR,IR,Q,26,WR,673403
Bobby McCain,,,,,,,,,,,,,,Q,,,,,
Brice McCain,,,,,,D,Q,P,P,Q,P,,,,,,29,RCB,2000000
Chris McCain,,,,,P,,P,,,,D,P,,,,IR,,,
Lamar Miller,,,Q,,,,,,,,,,,P,P,,24,RB,1663500
Koa Misi,,,,,,,,P,P,Q,Q,P,,,IR,IR,28,LLB,4438000
Earl Mitchell,,,Q,P,,,,,,,,O,Q,O,D,Q,28,RDT,4500000
Matt Moore,,,,,,P,P,P,,,,,,,,,,,
DeVante Parker,P,,,,,,,D,Q,,,,,,P,,,,
Spencer Paysinger,,,,,,,P,P,D,D,Q,,,,,,,,
Jordan Phillips,,,,,,P,P,Q,P,,,P,P,,,,,,
Mike Pouncey,,,P,,,P,P,,,,,Q,P,,Q,D,,,
Derrick Shelby,,Q,,,,,,,,,,,,,,,26,LDE,2356000
Kelvin Sheppard,,,,,,,,,,,Q,P,,,,,27,MLB,2000000
Dion Sims,,O,D,O,P,,,,,,,P,,,,,,,
Kenny Stills,,,,,,P,,,,,,Q,P,,,Q,23,WR,585000
Jake Stoneburner,,,,,,,,,,,,,,,P,,,,
Ryan Tannehill,,,P,,,,,,,,,,,,,P,27,QB,4873364
Jamar Taylor,P,,,,,,,,,,,,,,,,25,rcb,988950
Michael Thomas,,,,,,,,,,P,,,,,,,25,SS,585000
Robert Thomas,,,,,,,,,,,,,IR,IR,IR,IR,,,
Billy Turner,,,,,,,,,Q,,,,,P,P,P,24,RG,723000
Olivier Vernon,,P,,,,,,,,,,,,,,,25,RDE,1701520
Cameron Wake,,Q,P,,P,P,,IR,IR,IR,IR,IR,IR,IR,IR,IR,33,lde,10450000
Brandon Williams,,,,,,,,,,,,,O,IR,IR,IR,,,
Damien Williams,,,,,,,,Q,P,P,,,,P,,,,,
