Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Salary,,
Josh Adams,,,,,,,,,,,,Q,,,,,22,rb,1050000
Jay Ajayi,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
D.J. Alexander,,,,,,O,O,,,,,,,,Q,O,,,
Derek Barnett,,,,,O,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,lde,1049126
Michael Bennett,,,,,,,,,,,,Q,Q,Q,Q,Q,33,LDE,1650000
Elie Bouka,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Corey Clement,,,Q,Q,Q,,,,,,,,,IR,IR,IR,,,
Ronald Darby,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,24,RCB,1008139
Rasul Douglas,,,,,,,,,,,Q,,,,,,24,lcb,580000
Shelton Gibson,,Q,,,,,,,,,,,,Q,,,,,
Corey Graham,,,,,,O,O,O,,,,,,,,,33,SS,1015000
Kamu Grugier-Hill,,,Q,,,,,,,,,,,,,,24,LLB,630000
Jordan Hicks,,,,,,,,,,,O,O,O,O,,Q,26,MLB,1907000
Mack Hollins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Alshon Jeffery,O,O,Q,Q,,,,,,,,,,,,,28,WR,1000000
Timmy Jernigan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,Q,O,Q,,,,
Lane Johnson,,,,,,Q,,,Q,Q,,,,,,,,,
Sidney Jones,,,,,,,O,O,O,,O,,,O,O,O,,,
Jason Kelce,,,,,,,,,,,,,,,,Q,,,
Cre'von LeBlanc,,,,,,,,,,,,,,,Q,,,,
Avonte Maddox,,,,,,,,,,,O,O,Q,Q,,,22,RCB,480000
Jordan Mailata,,,,,,,,,,,,,,IR,IR,IR,,,
Chris Maragos,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rodney McLeod,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jalen Mills,,,,,,,,,IR,IR,IR,IR,O,IR,IR,IR,24,LCB,630000
Haloti Ngata,,,,,Q,O,Q,Q,,Q,,,,,,,34,LDT,1015000
Joshua Perkins,,,,,,,,,,O,IR,IR,IR,IR,IR,IR,,,
Jason Peters,,,Q,,,,,,,,,,,,,Q,36,LT,6750000
Richard Rodgers,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Isaac Seumalo,,,,,,,,,,,,,,O,O,O,25,LG,664000
Darren Sproles,,O,O,O,O,O,O,O,O,O,O,Q,,,,,,,
Josh Sweat,,,,,,,,,Q,,,,,IR,IR,IR,,,
Bryce Treggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Destiny Vaeao,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike Wallace,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,,,
Toby Weathersby,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Carson Wentz,O,O,,,,,,,,,,,,D,O,O,26,QB,630000
Paul Worrilow,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Adam Zaruba,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
