Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Nelson Agholor,,,,,,,,,,,Q,,Q,Q,Q,O,26,WR,9387000,Eagles,2019
Derek Barnett,,,,,,,,,,,,,Q,Q,Q,,23,LDE,1633252,Eagles,2019
Nigel Bradham,,,,,,,O,O,O,O,,,,,,,30,MLB,930000,Eagles,2019
Brandon Brooks,,,,,,,,,,,,,,,,,,,,Eagles,2019
Corey Clement,,,O,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
Ronald Darby,,,,O,O,O,Q,,,,,,,Q,,IR,25,CB,1000000,Eagles,2019
Alex Ellis,,,,,O,IR,IR,,,,,,,,,,,,,Eagles,2019
Zach Ertz,,,,,,,,,,,,Q,,,,O,,,,Eagles,2019
Rudy Ford,,,,,,,,,,,O,IR,IR,IR,IR,IR,,,,Eagles,2019
Dallas Goedert,,,Q,,,,,,,,,,,,,,24,TE,735649,Eagles,2019
Kamu Grugier-Hill,O,O,D,,,,,,,,,,O,,IR,IR,25,LLB,720000,Eagles,2019
Daeshon Hall,,,,,,,,,,,,,,,,,,,,Eagles,2019
Jordan Howard,,,,,,,,,,Q,Q,Q,Q,Q,Q,,,,,Eagles,2019
DeSean Jackson,,,O,O,O,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
Malik Jackson,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
Alshon Jeffery,,,Q,,,,,,,O,Q,,,IR,IR,IR,29,WR,11750000,Eagles,2019
Timmy Jernigan,,,O,O,O,O,O,O,Q,,,,,,,,27,DT,1000000,Eagles,2019
Charles Johnson,IR,,,,,,,,,,,,,,,,,,,Eagles,2019
Lane Johnson,,,,,,,,,,,O,,,O,O,Q,,,,Eagles,2019
Sidney Jones,,,,,Q,,,,,,,,,,,,,,,Eagles,2019
Cre'von LeBlanc,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,Eagles,2019
Avonte Maddox,,,,,O,O,O,O,,,,,,,Q,,23,lcb,570000,Eagles,2019
Jordan Mailata,O,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
Jalen Mills,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,Q,25,LCB,2025000,Eagles,2019
Joe Ostman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
Jason Peters,,,,,,,O,O,O,,,,,,,,37,LT,3500000,Eagles,2019
Hassan Ridgeway,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,25,ldt,720000,Eagles,2019
Richard Rodgers,IR,IR,,,,,,,,,,,,,,,,,,Eagles,2019
Andrew Sendejo,,,,,,,,,Q,,,,,,,,,,,Eagles,2019
Aziz Shittu,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,Eagles,2019
Darren Sproles,,,,,,O,O,O,,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2019
