Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
JJ Arcega-Whiteside,,,,D,,,,,,C19,C19,,,24,WR,720056,Eagles,2020
Genard Avery,,,,,,,,IR,IR,IR,IR,,,25,LB,573532,Eagles,2020
Derek Barnett,O,Q,,,,,,,,,,,,24,DE,2217378,Eagles,2020
Brandon Brooks,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Eagles,2020
Jatavis Brown,S,IR,IR,IR,IR,IR,IR,,,,,,,,,,Eagles,2020
Fletcher Cox,,,Q,,,,,,,,,,,30,DT,4035000,Eagles,2020
Vinny Curry,,IR,IR,IR,IR,IR,,,,C19,C19,,,32,DE,1300000,Eagles,2020
Andre Dillard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Jack Driscoll,,,,,,,O,O,,,,,,23,OL,610000,Eagles,2020
T.J. Edwards,,,,,IR,IR,IR,IR,,,,,,24,LB,,Eagles,2020
Marcus Epps,,,,,,O,,,C19,C19,,,,24,S,675000,Eagles,2020
Zach Ertz,,,,,,,O,IR,IR,IR,IR,,,30,TE,6660000,Eagles,2020
Rudy Ford,,,O,,IR,IR,IR,IR,,O,O,,,26,S,825000,Eagles,2020
Nathan Gerry,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Dallas Goedert,,,,IR,IR,IR,IR,IR,,,,,,25,TE,991297,Eagles,2020
Marquise Goodwin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Brandon Graham,,Q,,,,,,,,,,,,32,DE,1360000,Eagles,2020
Daeshon Hall,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,Eagles,2020
Javon Hargrave,O,,,,,,,,,,,,,27,DT,1000000,Eagles,2020
DeSean Jackson,,,,O,O,O,,IR,IR,,,,,,,,Eagles,2020
Malik Jackson,,,,,,,O,,,,,,,30,DT,1050000,Eagles,2020
Craig James,,IR,IR,IR,IR,,,O,O,IR,IR,IR,IR,,,,Eagles,2020
Alshon Jeffery,O,O,O,O,O,O,O,O,,,,,,30,WR,9910000,Eagles,2020
Lane Johnson,Q,,,,,O,,,,,O,IR,IR,,,,Eagles,2020
Cre'von LeBlanc,,,,,,,,O,,,,,IR,,,,Eagles,2020
Avonte Maddox,,,,O,O,O,,,,,,,,24,CB,750000,Eagles,2020
Iosua Opeta,,,,,,,,,,,O,IR,IR,,,,Eagles,2020
Will Parks,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Eagles,2020
Joshua Perkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Eagles,2020
Jason Peters,,,,Q,IR,IR,IR,IR,,,Q,,IR,,,,Eagles,2020
Matt Pryor,,,,,,C19,C19,,,,,,,26,OT,732353,Eagles,2020
Jalen Reagor,,,O,IR,IR,IR,IR,IR,,,,,,21,WR,560588,Eagles,2020
Hassan Ridgeway,,,,,,,,,IR,,,,,,,,Eagles,2020
Duke Riley,,,,,,O,,,,,,,,26,OLB,825000,Eagles,2020
Miles Sanders,O,,,,,,O,O,,,,,,23,RB,738647,Eagles,2020
Isaac Seumalo,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,27,OG,910000,Eagles,2020
Darius Slay,,,,,,Q,,,,,,,,29,CB,1050000,Eagles,2020
Davion Taylor,,,,,,,,,,,,,IR,,,,Eagles,2020
K'Von Wallace,,,,,,,O,,,,,,,23,S,610000,Eagles,2020
Quez Watkins,IR,IR,IR,IR,IR,,,,,,,,,22,WR,560587,Eagles,2020
Trevor Williams,,,,O,IR,IR,IR,,,,,,,,,,Eagles,2020
