Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Matthew Bosher,,,,,,,,,,,Q,,,,,,,,,Falcons,2016
De'Vondre Campbell,,O,O,O,O,,,,,,,,,,O,,23,ROLB,591382,Falcons,2016
Adrian Clayborn,,,,,,,,,,,,O,O,O,,,28,lde,3000000,Falcons,2016
Tevin Coleman,,,,,,,,O,O,O,,,,,,,,,,Falcons,2016
Jalen Collins,,,,,,,,,,,,,,O,,,23,rcb,521315,Falcons,2016
Dwight Freeney,,,,,,,,Q,O,,,,,,,,,,,Falcons,2016
Devin Fuller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Taylor Gabriel,,,,,,,O,,,,,,,,,O,,,,Falcons,2016
Dashon Goldson,Q,,,,,,,,,,,,,,,,,,,Falcons,2016
C.J. Goodwin,,,,,,,O,,,,,,,,,,,,,Falcons,2016
Austin Hooper,,,,,,,,,,,,,,,O,O,,,,Falcons,2016
Kemal Ishmael,,,,,,,,,,,,,,IR,IR,IR,,,,Falcons,2016
Deion Jones,,,,,O,,,,,,,,,,,,22,RILB,826479,Falcons,2016
Julio Jones,,,Q,,,,,,,,,,Q,O,,,,,,Falcons,2016
Akeem King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Jake Matthews,,,,,,,,,,,,,Q,,,,24,LT,4480773,Falcons,2016
Chris Mayes,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Keanu Neal,O,O,,,,,,,,,,,,,,,21,FS,1952299,Falcons,2016
Brooks Reed,,Q,,,,,,,,,,,,,,,29,LDE,3440000,Falcons,2016
Mohamed Sanu,,,,,,,,,,,,,O,,,,27,WR,2400000,Falcons,2016
Derrick Shelby,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Tyler Starr,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Jacob Tamme,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,31,te,2584375,Falcons,2016
Desmond Trufant,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,26,RCB,2598303,Falcons,2016
DeMarcus Van Dyke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Terron Ward,Q,,,,,,,,,,,,,,,,,,,Falcons,2016
Sean Weatherspoon,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Falcons,2016
Nick Williams,,,,,,,,,,,,,,O,,,,,,Falcons,2016
