Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Kenneth Acker,,,,P,,,,,Q,P,,,,,,,23,RCB,465150,Fourty-niners,2015
Derek Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,,IR,IR,,,,,Fourty-niners,2015
Dres Anderson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2015
Arik Armstead,,,,,,,,,,,P,P,P,P,P,P,,,,Fourty-niners,2015
Blake Bell,,,P,,,,,,,,,P,,,,,24,te,561283,Fourty-niners,2015
Antoine Bethea,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,31,ss,4750000,Fourty-niners,2015
Desmond Bishop,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2015
Anquan Boldin,,,,,,,Q,Q,D,Q,P,P,P,P,,,35,WR,6909000,Fourty-niners,2015
Alex Boone,,,P,P,P,P,P,P,P,,P,P,P,IR,O,IR,28,LG,3723000,Fourty-niners,2015
NaVorro Bowman,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,Fourty-niners,2015
Tramaine Brock,P,,,,,,,,Q,P,,,Q,Q,P,P,27,LCB,2790000,Fourty-niners,2015
Ahmad Brooks,,,,P,D,Q,P,P,P,P,Q,P,,P,P,P,31,LOLB,7055000,Fourty-niners,2015
Trent Brown,,,,,,,,,,,,,,,,P,,,,Fourty-niners,2015
Reggie Bush,,O,D,P,,D,P,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2015
Garrett Celek,,,,,,,,,Q,,,IR,IR,IR,IR,IR,27,TE,710000,Fourty-niners,2015
Marcus Cromartie,,,,,,,,,,,,,,P,,,,,,Fourty-niners,2015
Mike Davis,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,Fourty-niners,2015
Vernon Davis,,,,D,O,Q,P,,,,,,,,,,31,te,6967920,Fourty-niners,2015
Quinton Dial,,,,,,,,,,,,P,P,P,P,O,25,RDE,630413,Fourty-niners,2015
Shaun Draughn,,,,,,,,,,,,,,,IR,IR,28,rb,,Fourty-niners,2015
Bruce Ellington,,Q,Q,P,,Q,P,,,,,P,,,,,,,,Fourty-niners,2015
Kendall Gaskins,,,,,,,,,,,,,P,P,,,,,,Fourty-niners,2015
Eli Harold,,,,,,Q,,,,,,,P,P,P,P,,,,Fourty-niners,2015
Kendall Hunter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,,Fourty-niners,2015
Carlos Hyde,,,P,,,Q,Q,IR,IR,IR,IR,IR,O,IR,IR,IR,25,RB,836745,Fourty-niners,2015
Tony Jerod-Eddie,,,,,,,,P,,,P,P,,,,,,,,Fourty-niners,2015
Dontae Johnson,,,,,,,,,,,,P,,,P,P,,,,Fourty-niners,2015
Colin Kaepernick,,,,,,,,P,,P,IR,IR,IR,IR,IR,IR,28,QB,15265750,Fourty-niners,2015
Daniel Kilgore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Fourty-niners,2015
Aaron Lynch,,,,,,,,,,,,,Q,Q,P,,22,ROLB,559500,Fourty-niners,2015
Marcus Martin,,,,,,,,,,,,,P,P,O,D,22,C,712812,Fourty-niners,2015
L.J. McCray,,,,P,P,,,,O,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2015
Vance McDonald,,,Q,P,P,P,P,,,,,,O,P,,,25,TE,981594,Fourty-niners,2015
Bruce Miller,,,,,,,,,,,,,,,,P,28,rb,1746500,Fourty-niners,2015
Quinton Patton,,,,,Q,,,,,,,,,,,,,,,Fourty-niners,2015
Erik Pears,,,,,,,Q,P,,,P,P,P,P,P,P,33,RT,3350000,Fourty-niners,2015
Bradley Pinion,,,,,,,,,P,,,,,,,,,,,Fourty-niners,2015
Mike Purcell,,,,,,,,,,,,,P,P,,,,,,Fourty-niners,2015
Keith Reaser,,,,,,,,,Q,P,P,P,,,,,,,,Fourty-niners,2015
Eric Reid,,,,P,,,P,P,P,P,,,,P,,P,24,FS,2312931,Fourty-niners,2015
Jerome Simpson,,,,,,,,,,,,,,P,,,,,,Fourty-niners,2015
DeAndre Smelter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2015
Torrey Smith,,,P,,,,,,,,,P,Q,Q,P,P,26,WR,3600000,Fourty-niners,2015
Joe Staley,,,,,Q,P,P,P,P,,,,P,P,P,P,,,,Fourty-niners,2015
Jaquiski Tartt,,,,,,,,,,,P,P,P,P,P,D,23,SS,915821,Fourty-niners,2015
Brandon Thomas,,,,,,Q,P,,,,,,,,,,,,,Fourty-niners,2015
Andrew Tiller,,,,,,,,,,,,,P,P,,,26,rg,112200,Fourty-niners,2015
Jimmie Ward,,,,,,,,,,,,,,P,,,24,DB,1616485,Fourty-niners,2015
Michael Wilhoite,,,,,,,,,,,,P,IR,IR,IR,O,29,RILB,660000,Fourty-niners,2015
