Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
C.J. Beathard,,,,,,,,,Q,,,,,,,,25,qb,625393
Matt Breida,,,,Q,Q,Q,,Q,Q,,,,O,Q,,O,23,RB,555000
Aaron Burbridge,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Garrett Celek,,,,,,,,,,,,,,,,O,,,
Adrian Colbert,,Q,,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,25,FS,555000
Jonathan Cooper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brock Coyle,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Antone Exum,,,,Q,,,,,O,,,,,,,,27,fs,705000
JP Flynn,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Reuben Foster,,,,,,,,,O,O,Q,,,,,,24,RLB,772684
Pierre Garcon,,,,,,Q,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,32,WR,6625000
Joshua Garnett,,O,O,O,,,,,,,O,O,,,,,,,
Jimmy Garoppolo,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marquise Goodwin,,O,Q,,Q,,,,,,,O,,Q,,O,28,WR,1450000
Marcell Harris,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,24,ss,363000
George Kittle,,,,,,Q,,,,,,,,,,,,,
Erik Magnuson,O,O,,,,,,,,,,,,,,,,,
Cassius Marsh,,,,,,,,,,,,,,Q,,,,,
Mike McGlinchey,,,,,Q,,,,,,,,,,,,23,RG,480000
Jerick McKinnon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tarvarius Moore,,,,,,,,,,,,,,,,Q,,,
Alfred Morris,,,,Q,,,,,,,,,,,,,,,
Emmanuel Moseley,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Raheem Mostert,,,,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,
Mark Nzeocha,,,,,,,,,,,,,,Q,,,,,
Michael Person,,Q,,,,Q,,,,,,,,,,,30,RG,915000
Dante Pettis,,,,,O,O,O,,,,,,,Q,,O,23,wr,480000
D.J. Reed,,,,,,,,,,,,O,,,,,,,
Weston Richburg,,,,,Q,Q,,Q,Q,,,,,,,,27,C,3000000
Richard Sherman,,,,O,Q,,Q,Q,Q,,,,,,,,30,LCB,2000000
Malcolm Smith,D,Q,,,,,,,,,,,IR,,IR,,29,rlb,3000000
Joe Staley,,,,,Q,Q,,,,,,,,,,,34,LT,8025000
Kentavius Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jaquiski Tartt,,,Q,D,,,,,O,O,,,IR,IR,O,IR,26,SS,1021865
Trent Taylor,,,,,,D,Q,,IR,,,,,,,,,,
Jimmie Ward,,,,,Q,,D,,,,,IR,IR,IR,IR,IR,27,fs,8526000
Dekoda Watson,O,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,,,
K'Waun Williams,,,,,,Q,Q,,,,,,Q,Q,,,27,DB,1250000
Ahkello Witherspoon,,,,,,,,,,,,,,,IR,IR,23,RCB,638325
