Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Brandon Aiyuk,Q,,,,,,,,C19,C19,C19,,,22,WR,610000,Fourty-niners,2020
Azeez Al-Shaair,,,,,,,,,,,Q,,,23,LB,675000,Fourty-niners,2020
Kwon Alexander,,,,,,O,O,D,,,,,,,,,Fourty-niners,2020
Kiko Alonso,,,,,,,,,PUP,PUP,,,,,,,Fourty-niners,2020
Ezekiel Ansah,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2020
Arik Armstead,,,,,,,,,,,C19,,,27,DE,2500000,Fourty-niners,2020
Tavon Austin,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Fourty-niners,2020
Travis Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2020
Ronald Blair,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,Fourty-niners,2020
Nick Bosa,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2020
Kendrick Bourne,,,,,,,,,C19,C19,,,,25,WR,3259000,Fourty-niners,2020
Jake Brendel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2020
Shon Coleman,,,,IR,,,,,,,,,,,,,Fourty-niners,2020
Tevin Coleman,,,IR,IR,IR,IR,IR,IR,O,O,O,,,27,RB,4550000,Fourty-niners,2020
Tom Compton,,,,,,,,,,,O,,IR,,,,Fourty-niners,2020
River Cracraft,,,,,,,,,,Q,,,,26,WR,317647,Fourty-niners,2020
Johnathan Cyprien,,,,,,,,,,,IR,IR,IR,,,,Fourty-niners,2020
Demetrius Flannigan-Fowles,,,,,,,,,O,O,O,,,24,DB,610000,Fourty-niners,2020
Dee Ford,,Q,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Fourty-niners,2020
