Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Danny Aiken,,,,,,,,,,,,,,,,IR,,,
Prince Amukamara,,,,,,O,O,O,O,O,P,,,,,,26,LCB,6898000
Robert Ayers,,,Q,O,O,Q,P,,,,,P,Q,,,,30,LDE,2437500
Jon Beason,O,D,P,,,Q,P,IR,O,IR,IR,IR,IR,IR,IR,IR,,,
Will Beatty,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Odell Beckham Jr.,,,,,,Q,Q,P,,,,,,,,,,,
Nat Berhe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jay Bromley,,,P,,,,,,,,,,,,,,,,
Jonathan Casillas,P,,,,Q,Q,Q,,,,,,,,,,28,rlb,1666666
Victor Cruz,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jerome Cunningham,,,O,O,P,,,,,,,,,,,,,,
Craig Dahl,,,,,,,,,P,,,,,,,O,,,
Orleans Darkwa,,,,P,,,,,P,,,,,,P,,,,
Zak DeOssie,,,,,,,,,,,,,IR,IR,IR,IR,,,
Larry Donnell,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,27,TE,585000
Daniel Fells,,O,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ereck Flowers,,P,D,Q,P,,,,,,,,Q,Q,P,,21,LT,2616676
Josh Gordy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Johnathan Hankins,,,,,,,P,,,IR,IR,IR,IR,IR,IR,IR,23,RDT,1099278
Dwayne Harris,,,,,,,,,,,,,,Q,Q,Q,28,wr,1800000
Mark Herzlich,,,,,,,,,,,,,,,,,,,
Jayron Hosley,,,,,Q,,,,,,,,,,,,25,rcb,796250
Bennett Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cullen Jenkins,P,,P,,,,,,,,,,,,,,34,LDT,2091668
Brett Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Devon Kennard,,,,,O,O,P,,,,,O,O,O,O,,24,LLB,546140
Markus Kuhn,,O,O,O,P,,,,,,,,,IR,O,IR,29,LDT,671474
Trumaine McBride,,,,,Q,Q,Q,,,,,,,,,,,,
Leon McFadden,,,,,,,,,Q,Q,P,,,,,,,,
Brandon McGee,,,,,,,Q,,,,,,,,,,,,
Brandon Meriweather,,,,,,,,,,,,O,Q,,,,31,SS,585000
Damontre Moore,,,,,,,,,,,P,,,,,,,,
James Morris,,,,,,,,,,,,,,,O,IR,,,
Marshall Newhouse,,,,,,,,,,,,Q,P,,,O,27,RT,1300000
Owamagbe Odighizuwa,P,O,O,P,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jason Pierre-Paul,,,,,,,,,,,,P,,,,Q,26,RDE,14813000
Justin Pugh,,,,,,P,,,,P,O,P,,,,,25,LG,2276154
Rueben Randle,,,,,,P,P,,Q,,,,,,,,24,WR,1047432
Weston Richburg,,,,,,,,,,,D,Q,,,,,24,C,1108489
Dominique Rodgers-Cromartie,,,O,P,,,,,,,,,,,,,,,
Geoff Schwartz,,,P,,,,,P,P,P,P,IR,IR,IR,IR,IR,29,RG,2845833
George Selvie,,,,,O,P,,,,,,,,O,P,,,,
Cooper Taylor,,,,,,,,,,,,,,,O,O,,,
J.T. Thomas,,,,,,,,O,O,O,Q,,,Q,,IR,27,RLB,2000000
Mykkele Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Trevin Wade,,,,,,,P,,,,,,,,,,,,
Nikita Whitlock,,,,,,,,,,,,P,,,IR,IR,24,te,435000
