Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Saquon Barkley,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Sam Beal,,,,,,,,,,,IR,IR,IR,,,,Giants,2020
C.J. Board,,,,,,,O,Q,,,,,,27,WR,675000,Giants,2020
Lorenzo Carter,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Adrian Colbert,,O,D,,Q,Q,O,O,IR,IR,IR,IR,IR,,,,Giants,2020
Cody Core,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Carter Coughlin,,Q,,,,,,,,,,,,23,LB,610000,Giants,2020
Tae Crowder,Q,,,,,,IR,IR,IR,IR,IR,,,23,,474116,Giants,2020
Kyler Fackrell,,,,,Q,,,,,,IR,IR,IR,,,,Giants,2020
Devonta Freeman,,,,,,,,O,O,O,IR,IR,C19,,,,Giants,2020
Graham Gano,,,,,,,,,,,C19,,,33,K,1050000,Giants,2020
Madre Harper,,,,,,,,,,,,,IR,,,,Giants,2020
Will Hernandez,,,,,,,,C19,C19,C19,,,,25,OG,1157340,Giants,2020
Darnay Holmes,,,,,,,Q,,,,,,,22,CB,610000,Giants,2020
Jaquarius Landrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Dexter Lawrence,,,,,,Q,,,,,,,,23,DL,1097184,Giants,2020
Ryan Lewis,,,,,,,,,O,IR,IR,IR,IR,,,,Giants,2020
Julian Love,,,,Q,,,,,,,,,,22,CB,675000,Giants,2020
David Mayo,IR,IR,IR,IR,IR,IR,,,,,,,,27,ILB,1500000,Giants,2020
Xavier McKinney,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,21,S,400000,Giants,2020
Matt Peart,,,,,,,,,,,C19,,,23,OL,610000,Giants,2020
Jabrill Peppers,,,,O,Q,,,,,,,,,25,SS,1875271,Giants,2020
Dante Pettis,,,,,,,,,,,C19,,,25,WR,1061869,Giants,2020
Da'Mari Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Sterling Shepard,,,IR,IR,IR,IR,IR,,,,,,,27,WR,6475000,Giants,2020
David Sills,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Darius Slayton,,,,,,Q,,,,,,,,23,WR,675000,Giants,2020
Kaden Smith,,,,,,,,,,,C19,,,23,TE,675000,Giants,2020
Nate Solder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Golden Tate,Q,Q,,,,,,,,Q,,,,32,WR,7975000,Giants,2020
Shakial Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Levine Toilolo,Q,,,,,,,,,,,,,29,TE,1225000,Giants,2020
Brandon Williams,,,Q,IR,IR,IR,IR,IR,IR,,Q,,,,,,Giants,2020
Nate Wozniak,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Giants,2020
Oshane Ximines,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Giants,2020
Isaac Yiadom,,,,,,,,,,Q,,,,24,CB,750000,Giants,2020
