Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Arrelious Benn,,,,,,,,,,,Q,,,,O,,,,
Michael Bennett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Luke Bowanko,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
Aaron Colvin,,,,,,,,Q,,,Q,,,,IR,IR,,,
Tashaun Gipson,,,Q,,,,,,Q,,,,,,,,26,FS,4206250
Corey Grant,,,,,Q,,,,,,,,,,,,,,
Rashad Greene,,,,,Q,,,,,,,IR,IR,IR,IR,IR,,,
Allen Hurns,,,,,,,,,Q,,,O,O,O,O,Q,25,WR,9001668
Chris Ivory,Q,O,Q,,,,,,,,,O,Q,,,Q,,,
Luke Joeckel,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Abry Jones,,,,,,,,,,,Q,,,,,,25,RDT,2553000
Ben Koyack,,,O,O,,,,,,,,,,,,,23,te,450000
Marqise Lee,,,,,,,,,,,,,,,,Q,25,wr,1411097
Marcedes Lewis,,,,,,,,,,,IR,IR,IR,IR,IR,IR,32,TE,4000000
Brandon Linder,,,Q,,,,,,,,,,Q,,,,24,C,745400
Jeff Linkenbach,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Roy Miller,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,29,rdt,3975000
Yannick Ngakoue,,,,,,,,,,,,Q,,,,,21,LDE,664044
Jared Odrick,Q,,Q,O,,Q,Q,O,,,IR,IR,IR,IR,IR,IR,29,rde,8000000
Patrick Omameh,,,,,,,,,,,IR,IR,IR,IR,IR,IR,27,LG,675000
Sean Porter,,,,,,,,,,,,,,,O,,,,
Jeremiah Poutasi,,,,,,,,,,,,,,,IR,IR,,,
Chris Reed,,,,,,,,,,,,,,IR,IR,IR,,,
Denard Robinson,,,,,,,,,,,,,O,O,O,,,,
James Sample,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dan Skuta,,,,Q,,,,,,Q,O,,Q,,,,,,
Chris Smith,,,,,,,,,Q,O,O,,,,,,,,
Neal Sterling,,,,,Q,Q,,,,Q,,,,,O,Q,,,
Julius Thomas,,,,,,,,,,,IR,IR,IR,IR,IR,IR,28,TE,7300000
Peyton Thompson,,,,,,,,,,,,,O,,,,,,
Bryan Walters,,,,,,,,,O,Q,,,,,,,,,
Josh Wells,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,
Jonathan Woodard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Shane Wynn,,,,,,,,,,,,,,Q,,,,,
T.J. Yeldon,,,,,,,,,,,Q,,,,,IR,23,RB,1344040
