Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Wek 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
D.J. Alexander,,,O,O,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Dakota Allen,,,,,,,,,,,,,,,,Q,,,,Jags,2019
Alfred Blue,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,Jags,2019
A.J. Bouye,,Q,Q,,,,,,,,,,,,,O,28,CB,13000000,Jags,2019
Cody Brown,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Jags,2019
DJ Chark,,,,,,,,,,,,,,O,Q,,,,,Jags,2019
Marcell Dareus,Q,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29,rdt,2835000,Jags,2019
Seth Devalve,,,,,,,,,,D,O,O,D,,,,26,te,,Jags,2019
Nick Foles,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Jags,2019
Leonard Fournette,,,,,,,,,,,,,,,,D,24,RB,2933258,Jags,2019
Najee Goode,,,,,,,,O,,,,IR,IR,IR,IR,IR,,,,Jags,2019
Donnell Greene,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Ronnie Harrison,,,,,,,,,,,,O,Q,,,,22,SS,617500,Jags,2019
D.J. Hayden,,,,,Q,,,,Q,,,,,,,,29,DB,5750000,Jags,2019
Tre Herndon,,,,,,,,,,,,Q,,,,,23,LCB,570000,Jags,2019
Ben Ijalana,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Myles Jack,,,,,,,,,,,,Q,IR,IR,IR,IR,24,MLB,1313787,Jags,2019
Leon Jacobs,,,,,,,,O,O,,,,,,,,24,RLB,570000,Jags,2019
Marqise Lee,,Q,,,,,O,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Devante Mays,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Lerentee McCray,,,,,Q,Q,,,,,IR,IR,IR,IR,IR,IR,,,,Jags,2019
KC McDermott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Taj McGowan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Gardner Minshew II,,,,,,,,,,,,,,,,Q,23,QB,495000,Jags,2019
Yannick Ngakoue,,O,,,,,,,,,,,,,,,24,LDE,2025000,Jags,2019
Nick O'Leary,,,,,,,,,,,,,,,,Q,,,,Jags,2019
James O'Shaughnessy,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27,TE,805000,Jags,2019
Cedric Ogbuehi,O,O,,,,,,,,,,,,,,,,,,Jags,2019
Josh Oliver,O,O,O,O,O,O,,,,,IR,IR,IR,IR,IR,IR,,,,Jags,2019
James Onwualu,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Jalen Ramsey,,,,Q,O,Q,,,,,,,,,,,,,,Jags,2019
Cam Robinson,D,Q,,,,,,,,,,,,,,,24,LT,1103015,Jags,2019
Josh Robinson,,,Q,,,,,,,,,,,,,,,,,Jags,2019
Jake Ryan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,,Jags,2019
Marcus Simms,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Jags,2019
Geoff Swaim,,,,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jags,2019
Brandon Thomas,,,,,,,,,,,,,,IR,IR,IR,,,,Jags,2019
Michael Walker,,,,,,,,,,,,,,,,IR,,,,Jags,2019
Dede Westbrook,,,,,,,Q,Q,Q,,,,,,,Q,26,WR,645000,Jags,2019
Leonard Wester,IR,,,,,,,,,,,,,,,,,,,Jags,2019
Quincy Williams,,,,,,,,O,O,,,,,IR,IR,IR,23,LLB,495000,Jags,2019
