Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Dakota Allen,,,,,,Q,,O,O,,,,,25,LB,675000
Josh Allen,,,,,Q,Q,,,,,IR,IR,IR,,,
Ryquell Armstead,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,C19,,,
A.J. Cann,,,,,,,Q,,,,,,,29,OG,4675000
DJ Chark,,,Q,,,Q,,,,,O,,,24,WR,884294
Chris Claybrooks,,,,,,,,,,,IR,IR,IR,,,
Chris Conley,,,,,,,,,,,O,,,28,WR,2275000
Doug Costin,,,,,,,,,O,,,,,23,DT,610000
Tyler Davis,O,O,,,,,,,,,,,,23,TE,610000
Tyler Eifert,,,,,,Q,O,,,,,,,30,TE,1000000
Daniel Ekuale,,,,O,Q,,,,,,,,,26,DL,595588
Ben Ellefson,,,,,,,,,,,,IR,IR,,,
Rodney Gunter,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
DaVon Hamilton,,,,,,,,,,,,IR,IR,,,
Stephen Hauschka,,,,Q,,,,,,,,,,,,
D.J. Hayden,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Henderson,,,,,Q,,,,,IR,IR,IR,IR,,,
Myles Jack,,,,,Q,,O,,,,,,,25,OLB,12750000
Leon Jacobs,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Collin Johnson,,,,,,,,,,Q,,,,23,WR,610000
Abry Jones,,,,,,Q,IR,IR,IR,IR,IR,IR,IR,,,
Josh Jones,,,,,,,,,IR,IR,IR,IR,,26,S,825000
Sidney Jones,,,,,,,,,,Q,O,,,24,CB,776471
Josh Lambo,,,O,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,
Brandon Linder,,,O,O,,,,,Q,,,,,,,
Aaron Lynch,IR,IR,IR,IR,IR,IR,IR,,,,,,,27,DE,588824
Josh Mauro,,,,,,C19,C19,,,,,,,,,
Lerentee McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Chase McLaughlin,,,,,,,,,,,C19,,,,,
Rashaan Melvin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Gardner Minshew II,,,,,,,,O,O,Q,Q,,,24,QB,850000
Andrew Norwell,,,,,,,,,,,IR,IR,IR,,,
James O'Shaughnessy,,,,,,,,,,O,,,,28,TE,910000
Dare Ogunbowale,,,,,,,,,,,Q,,,26,RB,675000
Josh Oliver,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Devine Ozigbo,IR,IR,IR,IR,IR,IR,IR,O,O,,,,,24,RB,544706
Shaquille Quarterman,,,,,,,,IR,IR,IR,IR,IR,,23,LB,498821
Dontavius Russell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Laviska Shenault Jr.,,,,,,,,,O,O,,,,22,WR,
Daniel Thomas,,,,,,,,,,,IR,IR,IR,,,
Chris Thompson,,,,,,,C19,C19,,IR,IR,IR,IR,,,
Dede Westbrook,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Quincy Williams,IR,IR,IR,IR,IR,,,,,,,,,24,,616176
Jarrod Wilson,,IR,IR,IR,IR,,O,,,,,,,26,S,2450000
Andrew Wingard,,,,,IR,IR,IR,IR,IR,,,,,24,S,498530
Al Woods,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Wright,,,,IR,,,,,,,,,,,,
