Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jamal Adams,,,,,,,,,,,,,D,D,Q,Q,,,,Jets,2019
Henry Anderson,,,,,D,D,Q,,Q,Q,Q,Q,Q,Q,Q,Q,28,LDE,2000000,Jets,2019
Robby Anderson,Q,,,,,,,,,,,,,,Q,Q,26,WR,3095000,Jets,2019
Blessuan Austin,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,23,rcb,495000,Jets,2019
Kelvin Beachum,,Q,Q,,,D,O,Q,Q,Q,Q,Q,Q,Q,Q,Q,30,LT,8000000,Jets,2019
Le'Veon Bell,,Q,,,,,,,Q,Q,,,O,,,,27,RB,2000000,Jets,2019
Josh Bellamy,,,Q,Q,Q,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Braxton Berrios,Q,Q,,,,,Q,Q,,,,,,,,,,,,Jets,2019
Daniel Brown,,,,Q,,,,,,,,,,,,,27,wr,805000,Jets,2019
Kyron Brown,,,,,,,,,,,,,,IR,IR,IR,,,,Jets,2019
Brandon Bryant,IR,IR,,,,,,,,,,,,,,,,,,Jets,2019
Maurice Canady,,,,,,,,,,,,,Q,,,,,,,Jets,2019
Trenton Cannon,,,Q,,D,D,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Blake Cashman,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,lb,495000,Jets,2019
Tom Compton,,,,,,,,,,,,,,,D,IR,30,g,1410000,Jets,2019
Brandon Copeland,,,,,,,,,,Q,Q,,,,,,,,,Jets,2019
Sam Darnold,,O,O,O,,,,,,,,,,,,,22,QB,570000,Jets,2019
Kenneth Dixon,,,,,,,,,,,,,,,,Q,,,,Jets,2019
Chuma Edoga,,,,,,,,,,,Q,O,D,O,IR,IR,22,RT,495000,Jets,2019
Quincy Enunwa,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Matthias Farley,,,,,,,,,,O,D,Q,D,Q,,,,,,Jets,2019
John Franklin-Myers,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Ryan Griffin,,,,,,,,,,,,,Q,O,IR,IR,29,TE,1000000,Jets,2019
Nate Hairston,,,,,Q,Q,,,,,,,,,,,25,LCB,,Jets,2019
Chris Herndon,,,,,,D,D,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Neville Hewitt,,,,,,D,D,D,D,Q,Q,,,,,,26,RLB,1000000,Jets,2019
Jordan Jenkins,,,O,O,Q,,,,Q,,,,,,,,25,LLB,2025000,Jets,2019
Trumaine Johnson,Q,,,,,,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,29,cb,8000000,Jets,2019
Ryan Kalil,,,,,,Q,,O,D,O,IR,IR,IR,IR,IR,IR,34,c,2400000,Jets,2019
Alex Lewis,,Q,,,,Q,,,,Q,Q,Q,,,,O,27,LG,2025000,Jets,2019
Arthur Maulet,,,,,,,,,,,,,D,D,Q,,26,rcb,645000,Jets,2019
Albert McClellan,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Steve McLendon,,Q,Q,,,Q,,Q,Q,Q,Q,Q,Q,Q,Q,Q,33,LDT,1500000,Jets,2019
Rontez Miles,,,Q,,,,,O,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Ty Montgomery,,,,,,,,,,,,,,Q,,,,,,Jets,2019
Jalin Moore,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
C.J. Mosley,,O,D,D,D,Q,O,O,O,O,O,O,IR,IR,IR,IR,,,,Jets,2019
Mark Myers,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,Jets,2019
Kelechi Osemele,,,Q,D,D,D,D,,,,,,,,,,,,,Jets,2019
Brian Poole,,,Q,,,,,,,,,,O,O,Q,Q,27,DB,1000000,Jets,2019
Bilal Powell,,,,,,,,,,,,,,O,Q,,,,,Jets,2019
Brent Qvale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,Jets,2019
Darryl Roberts,,,,,,Q,,,D,D,D,Q,,,,,29,CB,1000000,Jets,2019
Nathan Shepherd,,,,,,,,,,,,,,Q,,,,,,Jets,2019
Trevor Siemian,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Jeff Smith,,,,,,,,,,,,,,,IR,IR,,,,Jets,2019
Charles Tapper,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Demaryius Thomas,,Q,D,Q,Q,Q,,Q,Q,Q,Q,Q,Q,D,D,Q,32,WR,,Jets,2019
Quinnen Williams,,O,D,Q,,,,,,,,,,D,Q,,22,RDT,495000,Jets,2019
Avery Williamson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2019
Brian Winters,,Q,Q,,,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,28,RG,6000000,Jets,2019
Paul Worrilow,,,,,,,,,,O,D,O,Q,,,,,,,Jets,2019
