Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Josh Andrews,,,,,,,,Q,Q,,,,,29,G,750000,Jets,2020
Blessuan Austin,,,,,Q,Q,,,,Q,IR,IR,IR,24,CB,675000,Jets,2020
Tarell Basham,,Q,,,,,,,,,,,,26,DE,825000,Jets,2020
Mekhi Becton,,,,Q,D,D,Q,,,,,,,21,OL,610000,Jets,2020
Le'Veon Bell,,IR,IR,IR,IR,,,,,,,,,,,,Jets,2020
Braxton Berrios,,,Q,,,,,,,,,,,25,WR,750000,Jets,2020
Kyron Brown,//;90,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Jets,2020
Blake Cashman,,IR,IR,IR,IR,IR,,O,O,D,Q,,,,,,Jets,2020
Cameron Clark,IR,IR,IR,IR,IR,IR,IR,O,,,,,,23,OL,535880,Jets,2020
Jamison Crowder,,O,O,Q,,,Q,D,Q,,,,,27,WR,8500000,Jets,2020
Sam Darnold,,,,,O,D,Q,,D,D,,,,23,QB,750000,Jets,2020
Ashtyn Davis,,,O,D,Q,,,,,,,,IR,,,,Jets,2020
Josh Doctson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Chuma Edoga,,,,,,,Q,,,,D,,,23,OL,675000,Jets,2020
George Fant,,,O,,,,Q,,,,D,,,28,T,4600000,Jets,2020
Sam Ficken,,,,,,,D,D,D,Q,IR,IR,IR,,,,Jets,2020
Joe Flacco,O,O,,,,,,,,,,,,35,QB,1050000,Jets,2020
John Franklin-Myers,,,,Q,Q,Q,,,Q,,,,,24,DE,750000,Jets,2020
Frank Gore,,,,,,,,Q,,,,,,37,RB,1050000,Jets,2020
Nate Hairston,,,Q,,,,,,,,,,,,,,Jets,2020
Bryce Hall,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,23,CB,511173,Jets,2020
Chris Hogan,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,,,,,Jets,2020
Bennett Jackson,,,,,,,,,,,,,IR,,,,Jets,2020
Jordan Jenkins,,,,Q,Q,,,Q,,,,,,,,,Jets,2020
Leo Koloamatangi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Alex Lewis,Q,,,,,Q,D,,,,Q,IR,IR,,,,Jets,2020
Frankie Luvu,,,,,,,IR,IR,IR,IR,,,,24,LB,513236,Jets,2020
Arthur Maulet,,,IR,IR,IR,IR,IR,IR,,,,,,27,CB,825000,Jets,2020
Marcus Maye,Q,,,,,,,,,,,,,27,FS,1358733,Jets,2020
Conor McDermott,,,,,,,,Q,,,,,,28,OT,825000,Jets,2020
Bradley McDougald,,,,,,,,O,IR,IR,IR,IR,IR,,,,Jets,2020
Connor McGovern,,,Q,,,,,,Q,,,,,27,OG,5000000,Jets,2020
Denzel Mims,O,IR,IR,IR,IR,IR,IR,,,,,,,23,WR,548235,Jets,2020
Jalin Moore,,,,IR,,,,,,,,,,,,,Jets,2020
C.J. Mosley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Jets,2020
Patrick Onwuasor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,O,IR,IR,,,,Jets,2020
La'Mical Perine,O,Q,,,,,,,,,IR,IR,IR,,,,Jets,2020
Breshad Perriman,,,O,O,D,Q,,O,,,,,,27,WR,3000000,Jets,2020
Kyle Phillips,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Jets,2020
Brian Poole,,,,,,,,,,IR,IR,IR,IR,,,,Jets,2020
Nathan Shepherd,,,,,,,,,Q,,,,,27,DT,818000,Jets,2020
Jeff Smith,IR,IR,IR,IR,,,,,,,,,,23,WR,572940,Jets,2020
Vyncint Smith,IR,IR,IR,IR,IR,IR,,,D,,,,,24,WR,661767,Jets,2020
Greg Van Roten,,,,,,,,,,,,,IR,,,,Jets,2020
Trevon Wesco,,,,,,,,,O,IR,IR,IR,IR,25,TE,542648,Jets,2020
Quinnen Williams,,,,,,Q,,,D,,,,,23,DL,675000,Jets,2020
Avery Williamson,O,Q,,,,,,,,,,,,,,,Jets,2020
Jordan Willis,,,,D,,,,,,,,,,,,,Jets,2020
Quincy Wilson,,,O,,,,,,,,,,,,,,Jets,2020
Jabari Zuniga,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,23,DL,523527,Jets,2020
