Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Isa Abdul-Quddus,,,,,,,,,Q,,,,,,,Q,26,SS,1500000,Lions,2015
Ameer Abdullah,,,,,,,,,,,,,,,,Q,22,RB,755659,Lions,2015
Ezekiel Ansah,,,P,Q,P,,,,,P,,,Q,,,,,,,Lions,2015
Joique Bell,,,,O,O,Q,P,P,,P,,,,,,,29,rb,3500000,Lions,2015
Bill Bentley,,,,,,,,,,,,,,,Q,,,,,Lions,2015
Crezdon Butler,,,,,,,,,,,P,,,,,,,,,Lions,2015
Josh Bynes,,,,,,,P,,,,,,,,Q,P,26,RLB,785000,Lions,2015
Don Carey,,,P,,,,,,,Q,Q,,,,,,,,,Lions,2015
Alex Carter,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
Eric Ebron,P,,,,O,O,P,,,,P,,,Q,,,22,TE,2783898,Lions,2015
Andre Fluellen,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
James Ihedigbo,,,P,,Q,Q,P,,P,,,P,,,,,32,SS,2000000,Lions,2015
Calvin Johnson,,,,,,,P,P,Q,P,Q,Q,Q,Q,Q,Q,,,,Lions,2015
Jason Jones,,,,P,,P,P,,,P,,,,,,D,29,LDE,3983333,Lions,2015
Darren Keyton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
Nevin Lawson,,,,,,,,,,Q,,,,,,Q,24,RCB,510146,Lions,2015
DeAndre Levy,IR,IR,IR,IR,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
Travis Lewis,,,,,P,,,,P,,,,Q,,,,,,,Lions,2015
Cornelius Lucas,,,P,,,,,,,,,,,,,,,,,Lions,2015
Sam Martin,,,,,P,,P,P,,P,,,,,,,,,,Lions,2015
Rashean Mathis,,,,,P,,,IR,O,IR,IR,IR,IR,IR,IR,IR,35,rcb,1625000,Lions,2015
Lance Moore,,,,,P,,,,,,,O,Q,P,,,32,WR,665000,Lions,2015
Haloti Ngata,,Q,,,O,O,P,,,,,,,Q,Q,Q,31,RDT,8500000,Lions,2015
Michael Ola,,,,,,,,,,,,,Q,Q,Q,Q,27,RT,,Lions,2015
Chris Owens,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Lions,2015
Brandon Pettigrew,,O,O,O,P,,O,P,,,,,,IR,IR,IR,30,TE,3800000,Lions,2015
Matt Prater,,,,,,,,,,,,Q,,,,,,,,Lions,2015
Glover Quin,,,P,,,,,,,P,,Q,Q,Q,Q,,29,FS,3572500,Lions,2015
Caraun Reid,O,Q,,,,,,,,,Q,Q,Q,,Q,,24,LDT,557220,Lions,2015
Theo Riddick,,,,,,Q,P,,,,,,,,,,24,rb,607750,Lions,2015
Corey Robinson,,,,D,P,,,,,,,,,,,,,,,Lions,2015
Darius Slay,,P,,,P,P,,,P,,Q,,,,,,24,LCB,1442537,Lions,2015
Matthew Stafford,,P,P,,,,,P,,,,,,,,,27,QB,17721250,Lions,2015
Travis Swanson,,,,,,,,,,,,Q,Q,,,O,24,C,699868,Lions,2015
Darryl Tapp,,,,,,P,,,,,,,,,,,,,,Lions,2015
Golden Tate,,P,,,,P,P,,,,,P,,,,,27,WR,3096250,Lions,2015
Stephen Tulloch,,,,,,,,P,,,,,,,,,30,MLB,5800000,Lions,2015
LaAdrian Waddle,Q,P,,,,P,,Q,,,,,,,,,24,rt,849250,Lions,2015
Tyrunn Walker,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
Larry Warford,O,P,P,Q,Q,P,,,,,,Q,,,Q,,24,RG,849250,Lions,2015
Tahir Whitehead,P,,,,,,P,,,,,,,,,,25,LLB,713000,Lions,2015
Josh Wilson,,,,Q,,,Q,,P,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
Gabe Wright,,,,,,,,,,O,Q,P,,,,,,,,Lions,2015
Zach Zenner,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Lions,2015
