Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Ameer Abdullah,,,,,,,,,,,,Q,Q,,,,24,RB,687830
Jamal Agnew,,,,,,,,,,,O,O,Q,,,,,,
Ezekiel Ansah,Q,Q,Q,Q,Q,Q,Q,Q,D,O,Q,,Q,Q,,,28,RDE,12734000
Don Barclay,,,,,,,,,,,,,,,,IR,,,
Armonty Bryant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Don Carey,,,,Q,Q,,,Q,Q,Q,,,,,,,,,
Brandon Chubb,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Emmett Cleary,,,,,,,O,,,,,,Q,Q,,,,,
Rodney Coe,,,,,,,,,,,,,,,Q,,,,
Brandon Copeland,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Dahl,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,
Jarrad Davis,,,O,Q,Q,,,,,,,,,,,,23,MLB,465000
Taylor Decker,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,24,LT,948499
Kenny Golladay,,,,Q,O,Q,O,D,Q,,,,,,,,24,wr,465000
Jordan Hill,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kerry Hyder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike James,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
T.J. Jones,,,,,,,,,,,,,,,IR,IR,25,wr,690000
Zac Kerin,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cyrus Kouandjio,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,IR,IR,,,,,
T.J. Lang,,,,,Q,Q,,,O,,,Q,Q,Q,D,,,,
DeMarcus Lawrence,,IR,IR,,,IR,,IR,,,,IR,,IR,,,,,
Des Lawrence,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nevin Lawson,,,,,,,,,,,,,,,,O,26,RCB,1797000
Tim Lelito,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Sam Martin,IR,IR,IR,IR,IR,IR,,,,,,,Q,,,,,,
Brian Mihalik,,,,,,,,,,,,,,,Q,,,,
Rolan Milligan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Haloti Ngata,,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,33,rdt,5500000
Kasey Redfern,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jalen Reeves-Maybin,,,,,,,,,O,Q,Q,,,,,,,,
Corey Robinson,Q,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,,
Greg Robinson,,,,,,,O,O,IR,IR,IR,IR,IR,IR,IR,IR,25,lt,3322377
Ryan Spadola,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matthew Stafford,,,,,,Q,,,,,,,Q,,,,29,QB,1000000
Travis Swanson,,,Q,Q,Q,,,,,,,O,Q,IR,IR,IR,26,C,1772000
Golden Tate,,,,,,,Q,,,,,,,,,,29,WR,6000000
Brandon Thomas,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ricky Wagner,,,,,Q,Q,,,,,,,O,O,Q,,28,RT,3000000
Cornelius Washington,,,,,,IR,,,,,,,Q,,,,,,
Dwayne Washington,,,O,O,O,Q,,,,O,O,,,,,,,,
Tahir Whitehead,,,,,Q,,,,,,,,,,,,27,LLB,3050000
Tavon Wilson,,,O,Q,,,,,,,,IR,IR,IR,IR,IR,,,
Paul Worrilow,,,,,O,O,Q,,,,,,,,,,27,RLB,2000000
Anthony Zettel,,,,,,,,,,,,,,,,Q,25,LDE,540000
