Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Jamal Agnew,,,,,,,,O,Q,,,,,25,CB,825000
Geronimo Allison,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Danny Amendola,Q,,,,,,,,,O,O,,,35,WR,1500000
John Atkins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Nick Bawden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,
Russell Bodine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Austin Bryant,,,,,,,,,,Q,O,,,24,EDGE,557353
Hunter Bryant,O,O,O,Q,IR,IR,IR,IR,IR,IR,IR,,,22,TE,461763
Justin Coleman,,IR,IR,IR,IR,IR,IR,,,,,,,27,CB,6950000
Jashon Cornell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Joe Dahl,,IR,IR,IR,IR,,,Q,Q,,,,,27,OG,1475000
Jarrad Davis,,,,,,,,C19,Q,Q,,,,26,ILB,1960798
Taylor Decker,,,,,,,Q,,,,,,,27,OT,6850000
Trey Flowers,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Mike Ford,IR,IR,IR,IR,IR,IR,,,,,O,,,25,CB,644120
Kenny Golladay,D,O,Q,,,,,O,O,O,O,,,27,WR,2133000
Everson Griffen,,,,,,,,,,,,,C19,,,
Da'Shawn Hand,Q,,,Q,,,,,,Q,O,,,25,DE,750000
Will Harris,,,,,,,,,,Q,,,,25,S,675000
T.J. Hockenson,,,,,,,,,Q,,,,,23,TE,675000
Christian Jones,,,,Q,,,,Q,,,,,,29,ILB,910000
Tony McRae,,,,,,,,,IR,IR,IR,IR,IR,,,
C.J. Moore,O,Q,Q,O,Q,,,,,,,,,25,DB,675000
Jeff Okudah,Q,,,,,,,,,,O,,,,,
Julian Okwara,Q,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Amani Oruwariye,,,,,,,,,,,Q,,,24,CB,675000
Reggie Ragland,,,,,,,,,,,Q,,,27,ILB,825000
Frank Ragnow,,,,,Q,,,,,,,,,24,C,1550922
Jalen Reeves-Maybin,,,,,,,Q,,,,,,,25,OLB,825000
Darryl Roberts,Q,Q,,Q,,,Q,IR,IR,IR,IR,IR,,30,CB,1000000
Bo Scarbrough,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Danny Shelton,,,,,,,,,,,,IR,IR,,,
Dan Skipper,IR,IR,,,,,,,,,,,,,,
Matthew Stafford,,,,,,,,C19,,Q,,,,32,QB,7200000
D'Andre Swift,,,,,,,,,,O,Q,,,21,RB,610000
Desmond Trufant,,O,D,Q,O,O,Q,,,,,IR,IR,,,
Halapoulivaati Vaitai,O,Q,Q,,,,,Q,Q,Q,IR,IR,IR,,,
Tracy Walker,,,,,,,,O,,,,,,25,S,750000
Nick Williams,,Q,,,,,,,Q,,,,,30,DT,2900000
