Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Davante Adams,,,D,Q,,,,,,,,,,28,WR,12000000
Montravius Adams,D,Q,,,Q,Q,,,,D,IR,IR,IR,,,
Jaire Alexander,,,,Q,,,,,D,,,,,23,CB,1575522
David Bakhtiari,,,,,,D,Q,Q,,,,,,29,OT,10500000
Krys Barnes,,,,,,,,,C19,C19,C19,,,22,LB,610000
James Burgess,,,,,,,,,,,IR,IR,IR,,,
Kenny Clark,,O,Q,Q,,,,,,,,,,25,DT,1690000
Mason Crosby,,,,,,,Q,,,,,,,36,K,1400000
Josiah Deguara,,Q,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
AJ Dillon,,,,,,,,C19,C19,C19,C19,C19,C19,22,RB,610000
Kabion Ento,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tyler Ervin,,,,Q,O,O,Q,,,O,Q,,IR,,,
Devin Funchess,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rashan Gary,,,,Q,Q,,,,,,,,,23,DL,1216696
Raven Greene,Q,Q,,,,,Q,Q,,,,,,,,
Ka'dar Hollman,,,,,,,,,,Q,,,,26,CB,675000
Josh Jackson,,,,,,,,,,,Q,,,24,CB,1048736
Elgton Jenkins,,,Q,,,,,,,,,,,25,OL,802597
Aaron Jones,,,,,,Q,O,Q,,,,,,26,RB,2133000
Kevin King,,,,,Q,D,O,O,Q,Q,Q,,,25,CB,1430575
Christian Kirksey,,,,IR,IR,IR,IR,IR,IR,,,,,28,OLB,1750000
Tyler Lancaster,,,,,,O,Q,,,,,,,26,DL,750000
Allen Lazard,,,,IR,IR,IR,IR,IR,IR,Q,,,,25,WR,469118
Marcedes Lewis,,,,D,,,,,,,,,,36,TE,1100000
Corey Linsley,,,,Q,,Q,,,,,Q,IR,IR,,,
Jordan Love,,,,,,,,C19,C19,,,,,22,QB,610000
John Lovett,,,,,,,Q,,O,IR,IR,IR,IR,,,
Kamal Martin,IR,IR,IR,IR,IR,IR,,C19,C19,,,,,22,LB,523527
Parry Nickerson,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Lucas Patrick,,Q,,,,,,,,,,,,27,G,875000
Randy Ramsey,O,O,D,,,,,,,,,,,25,LB,610000
Will Redmond,,,,,,,,O,Q,Q,,,,27,CB,750000
Darnell Savage Jr.,,,Q,,,D,Q,,,,,,,23,S,1063986
JK Scott,,,,Q,,,,,,Q,,,,25,P,750000
Vernon Scott,,,,,,,,O,Q,,,,,23,S,610000
Darrius Shepherd,,,,,,,,,Q,Q,,,,,,
Preston Smith,,,,,,Q,,,,,,,,28,DE,4350000
Za'Darius Smith,,,,Q,Q,,,,,,,,,28,DE,2000000
Equanimeous St. Brown,,O,,,,,,,Q,Q,Q,,,24,WR,616176
Simon Stepaniak,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,OL,400000
Lane Taylor,,O,,,,,,,,IR,,,,,,
Patrick Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Tonyan,,,,,,Q,,,Q,,,,,26,TE,750000
Billy Turner,D,Q,,,,,,,,,,,,29,OT,2200000
Marquez Valdes-Scantling,,,,,,,,,,,Q,,,26,WR,750000
Ricky Wagner,,,,,,,,Q,Q,,,,,31,OT,2250000
Jamaal Williams,,,,,,,,C19,C19,,,,,25,RB,2133000
Billy Winn,,,,,,,,,,,,,IR,,,
