Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Mario Addison,,,,,,,O,P,,,,O,P,,,,,,
Jared Allen,,,,,O,P,,,,P,,,P,P,,,33,RDE,823529
Kelvin Benjamin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bene Benwikere,,,,,,,,,,,,,,IR,IR,IR,,,
Brenton Bersin,,,,,,,,,,,,,D,P,,,,,
Richie Brockel,O,Q,P,,IR,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Corey Brown,,,,P,,,,,,D,Q,P,,,,,24,WR,515000
Nate Chandler,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kurt Coleman,,,,,,,,,,,,,,,,D,27,FS,1340625
Jerricho Cotchery,,,O,O,P,,,,,,,,P,P,,,,,
Thomas Davis,,,,P,,,P,,,,,,P,P,,P,,,
Ed Dickson,,,,,,,,P,P,,,,,,,,28,TE,1516666
Kony Ealy,,,,,,,,,,,,P,,,,,24,LDE,806098
Dwan Edwards,,P,,P,,O,O,O,Q,P,P,P,P,P,,,,,
Ted Ginn Jr.,,,,,,,,,,,P,,P,P,P,D,30,WR,1850000
Tyronne Green,,,,,,,,,,,,,,,,,,,
Roman Harper,,,P,,,,,,,,,,P,P,,,33,SS,1800000
Stephen Hill,,,,,,,,,,,,,,,,,,,
Wes Horton,,Q,P,,,,,,,,,,,,,,,,
J.J. Jansen,,,,,,,,,,,P,,,,,,,,
Charles Johnson,,,Q,IR,IR,IR,IR,IR,IR,IR,,,,,P,,29,LDE,20020000
Colin Jones,,,,,,,,,,,,,,D,,,,,
Ryan Kalil,P,,,,,,D,P,P,,,,P,P,,P,,,
A.J. Klein,,,,,O,P,,,,,,,,,,,24,mlb,632825
Luke Kuechly,,D,D,O,P,,,,P,,,,,,,,,,
Star Lotulelei,O,Q,P,,,,,,,,,P,,,,P,26,LDT,2619409
Kyle Love,,,P,,,,,,,,,,,,Q,,,,
David Mayo,,,,,,,,,,,,,,O,O,P,,,
Arthur Miley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cam Newton,,,,,,,,,,,,,,,P,,,,
Josh Norman,P,,,P,,,,P,,,,,,,,,,,
Andrew Norwell,,,,,,,,O,O,O,P,,,,,,24,LG,514000
Greg Olsen,,,,,,,,,,,,,P,P,,,,,
Amini Silatolu,,,,O,Q,,,,,,,,,,,,,,
Jonathan Stewart,,P,Q,P,,,,,P,,,,P,O,O,O,,,
Shaq Thompson,,,,,,O,D,P,,,,,,,,,21,LLB,1601586
Charles Tillman,,,,P,,,,,,D,D,O,D,P,,,34,LCB,1531250
Mike Tolbert,,,,P,,,P,,,,,,,,,,,,
Trai Turner,,,P,,,,,,,,,,,,,,,,
Fernando Velasco,,,,,,,,P,,,,,,,,,,,
Fozzy Whittaker,,,Q,,,,,,,P,,,,,,O,,,
Daryl Williams,,O,O,O,O,O,P,,,,,,,,,,,,
Teddy Williams,P,,,,,P,,P,,,,,,,,,,,
