Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mario Addison,,,,,Q,,,,,,,,,,Q,,30,RDE,1000000,Panthers,2017
Derek Anderson,,,,,,,,,,,,,,,,,,,,Panthers,2017
Alex Armah,,,,,,,,Q,,,,,,,,,,,,Panthers,2017
Kelvin Benjamin,,,,,,,Q,,,,,,,,,,26,WR,1000000,Panthers,2017
Brenton Bersin,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,Panthers,2017
Vernon Butler,D,,,,,,,,,,,,,,,,,,,Panthers,2017
Damiere Byrd,,,,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,,,,Panthers,2017
Jeremy Cash,,,O,O,,,,,,,,,,,,,,,,Panthers,2017
Kaelin Clay,,,,,,,,,,,,,Q,,,,,,,Panthers,2017
Kurt Coleman,,,,,O,O,Q,Q,,,,,,,,Q,29,FS,1900000,Panthers,2017
Demetrious Cox,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Thomas Davis,,,,,,,,,,,,Q,,,,,,,,Panthers,2017
Ed Dickson,,,,,,,,Q,,,,,,,,,30,TE,1950000,Panthers,2017
Travell Dixon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Corn Elder,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Dan France,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Devin Funchess,,,,,,,,,,,,,Q,Q,Q,,23,WR,836900,Panthers,2017
Graham Gano,,,,,,,Q,Q,,,,,,,,,,,,Panthers,2017
Gino Gradkowski,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Ladarius Gunter,,,,,,,,,,,,,,,,Q,,,,Panthers,2017
Daeshon Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Drew Iddings,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Charles Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,31,LDE,1000000,Panthers,2017
Charles Johnson,,,,,,,Q,,,,,IR,IR,IR,IR,,31,LDE,1000000,Panthers,2017
Matt Kalil,,,,,Q,,,,,,,,,,,,28,LT,1000000,Panthers,2017
Ryan Kalil,,,O,O,O,O,Q,O,O,O,Q,Q,Q,,,,32,c,3000000,Panthers,2017
Luke Kuechly,,,,,,,O,Q,,,,,,,,,,,,Panthers,2017
Tyler Larsen,,,,,,,,,,,Q,,Q,Q,Q,,26,C,540000,Panthers,2017
Kyle Love,Q,,,,,,,,,,,,,,,,,,,Panthers,2017
Cole Luke,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Chris Manhertz,,,,,,,,,,,,,,,,,,,,Panthers,2017
Dean Marlowe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Christian McCaffrey,,,,,,,,,,,,Q,,,,,21,RB,465000,Panthers,2017
L.J. McCray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Captain Munnerlyn,,,,,,,,,,,Q,,,,,,,,,Panthers,2017
Cam Newton,Q,,Q,,,,,,,,,,,,,,28,QB,13166666,Panthers,2017
Jared Norris,O,,,,,,,,,,,,IR,IR,IR,IR,,,,Panthers,2017
Greg Olsen,,,IR,IR,IR,IR,IR,IR,IR,IR,,Q,Q,,,,32,te,6500000,Panthers,2017
Julius Peppers,,,,,Q,,,,,,,,,,,,37,lde,1000000,Panthers,2017
Curtis Samuel,,,,O,,,,,,,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Chris Scott,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Russell Shepard,,,,,,,,,,,,,,,Q,,,,,Panthers,2017
Scott Simonson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
John Theus,,,,,,,IR,IR,IR,IR,IR,O,IR,IR,IR,IR,,,,Panthers,2017
Shaq Thompson,,,,,,,,,,,,Q,O,O,Q,,23,LLB,1235793,Panthers,2017
Trai Turner,,,,,,,,,Q,,,,,O,O,Q,,,,Panthers,2017
Greg Van Roten,,,,,,,Q,,,,,,,,,,,,,Panthers,2017
Fozzy Whittaker,,,,,,,O,O,Q,,,,,,,,,,,Panthers,2017
Teddy Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
Daryl Worley,,,,O,,,,,,,,,,,,,22,RCB,560000,Panthers,2017
David Yankey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Panthers,2017
