Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Eli Apple,IR,IR,IR,IR,O,Q,Q,,,,,,,,,
Omar Bayless,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Reggie Bonnafon,,,,,,,,,,O,IR,IR,IR,,,
Teddy Bridgewater,,,,,,,,,,,Q,,,28,QB,8000000
Derrick Brown,,,,,,,,,,,,,C19,22,DL,610000
Juston Burris,,,,,,,IR,IR,IR,IR,,,,27,CB,910000
Jeremy Chinn,,,,,,,,,Q,Q,,,,22,S,610000
Dennis Daley,O,O,D,Q,,,,,,,,O,,24,OL,675000
Rasul Douglas,,,,,,,C19,C19,C19,,Q,,,26,CB,825000
Sam Franklin,,,,,,,,,,,Q,Q,,24,OLB,610000
Yetur Gross-Matos,,O,,,,IR,IR,IR,IR,Q,Q,C19,C19,22,DL,572941
Marquis Haynes,,,,,,,,Q,Q,Q,Q,Q,,27,OLB,750000
Donte Jackson,,,,,,Q,Q,,,Q,D,D,,25,CB,917502
Zach Kerr,,,,,,Q,,Q,Q,,,,C19,,,
Keith Kirkwood,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Luke Kuechly,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,
Austin Larkin,,,,,,,,,,Q,,,,25,DE,476472
Tyler Larsen,,,,,,C19,C19,C19,C19,,,,,29,C,1300000
Greg Little,,,,,,,,,,,,,C19,23,OL,842224
Jordan Mack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Manhertz,,,,,,,,,,,Q,,,28,TE,910000
Christian McCaffrey,,,IR,IR,IR,IR,IR,IR,IR,O,O,Q,,24,RB,825000
Christian Miller,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
John Miller,,,,,,,Q,Q,,,D,Q,,27,OG,1790000
D.J. Moore,,,,,,,,,,,,,C19,,,
Efe Obada,,,,,,,,Q,,,,,,28,LB,750000
Russell Okung,,,Q,Q,,,,D,D,O,D,Q,,32,T,13000000
Michael Palardy,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,,,
Curtis Samuel,,,,,,Q,Q,,,,,,C19,24,WR,1220044
Michael Schofield,,,,,,,C19,C19,C19,,,,,30,OT,1000000
Trenton Scott,,,,,,,C19,,,,,,,26,T,750000
Kawann Short,,O,D,,,,IR,,,,,,,,,
Joey Slye,,,,,,,C19,,,,,,,24,K,675000
Adarius Taylor,,,,,,,,,,IR,IR,IR,IR,30,MLB,910000
Stantley Thomas-Oliver,Q,,,,,,,,,,,,,22,CB,610000
Shaq Thompson,,,,,,,,,,,,,C19,26,OLB,4000000
Stephen Weatherly,Q,,,,,,,,,O,IR,IR,IR,,,
Tahir Whitehead,,,,Q,,,,,,,Q,Q,,30,OLB,1050000
Brandon Zylstra,,,,,,,,,,,,Q,,27,WR,750000
