Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Danny Amendola,,O,Q,,,,,Q,Q,Q,Q,,,,,,32,WR,1250000
David Andrews,,,,,,,,,,O,O,Q,,,,,25,C,615000
Johnson Bademosi,,,,,,,Q,,,,,,,,,,,,
Martellus Bennett,,,,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,,,
Brandon Bolden,,,,,,,,,,,,,,,Q,,,,
Tom Brady,,,,,,,,,,,,,,,,,,,
Alan Branch,,,,,IR,,,,,,,,,O,O,O,33,LDT,1750000
Malcom Brown,,,,,,,,O,O,Q,Q,,,,,,,,
Rex Burkhead,,,O,D,O,Q,,,,,,,,,O,O,,,
Marcus Cannon,,Q,Q,Q,Q,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,29,RT,1350000
Patrick Chung,,,,,,,,,,,Q,,,,,,30,SS,2500000
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Phillip Dorsett,,,Q,,,,,,,,,,,,,,,,
Nate Ebner,Q,Q,Q,,,,,,,,,IR,IR,IR,IR,IR,,,
Julian Edelman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chase Farris,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cameron Fleming,Q,,,,,,,,,,,,,,,,25,rt,1797000
Marquis Flowers,,,,,,,,,,,,Q,Q,,,,,,
Trey Flowers,,,,,,,,,,,,Q,Q,Q,,,24,RDE,615000
Antonio Garcia,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike Gillislee,,,,,,,,,,,,,Q,,,O,,,
Stephon Gilmore,,,Q,,Q,,O,Q,Q,,,,Q,Q,,,27,RCB,4500000
Rob Gronkowski,,,Q,,Q,,,,,,,,,,,,,,
Lawrence Guy,,,,,,,,Q,,,,,,,,,27,LDE,900000
David Harris,,,,,,,,,,,,,,Q,,,33,RLB,1000000
Dont'a Hightower,,O,Q,Q,Q,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Chris Hogan,,,Q,,,,,,O,O,O,O,Q,Q,Q,Q,30,WR,2500000
Jacob Hollister,,,,,,,Q,,,,,,,,,,,,
Andrew Jelks,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cyrus Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jonathan Jones,,,,,,,,,,,,,,,,,,,
Brandon King,,,,Q,Q,,,,,,,,Q,Q,Q,,,,
Harvey Langi,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Eric Lee,,,,,,,,,,,,,,Q,Q,Q,,,
Matt Lengel,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,,,
Dion Lewis,,,,,,,,,,,,,Q,,,,27,RB,1200000
Cassius Marsh,,,,,,,,Q,Q,Q,,,,,,,,,
Shea McClellin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Devin McCourty,,Q,,,,,,,,,,,,,,Q,30,FS,6500000
Malcolm Mitchell,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Trevor Reilly,,,,,,,,,,,,Q,,,,,,,
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Elandon Roberts,,,Q,,Q,,Q,Q,,,,,,,,,23,MLB,540000
Eric Rowe,,,Q,Q,O,O,O,O,Q,Q,Q,Q,Q,,,,,,
Matthew Slater,Q,O,Q,Q,Q,,,,,O,Q,Q,Q,Q,Q,Q,,,
Vincent Valentine,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kyle Van Noy,,,,,,,,,,,,Q,O,Q,Q,Q,26,LLB,990741
LaAdrian Waddle,,,,,,,,,,,,Q,Q,Q,Q,Q,,,
James White,,,,,,,,,,,,,,,Q,Q,,,
