Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
David Andrews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Michael Bennett,,,,Q,,,,,,,,,,,,,,,,Patriots,2019
Ja'Whaun Bentley,,,,,,,,,,,Q,Q,Q,Q,Q,Q,,,,Patriots,2019
Brandon Bolden,,O,,,,,,,,,,,,,,,,,,Patriots,2019
Tom Brady,,,,,,,,,,,Q,,,,,,42,QB,14000000,Patriots,2019
Terrence Brooks,,,,,,,,,,,,,,,,Q,,,,Patriots,2019
Rex Burkhead,,,,Q,O,Q,Q,Q,Q,,,,,,,,,,,Patriots,2019
Yodny Cajuste,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Shilique Calhoun,,,Q,,,Q,,,,,,,,,,Q,,,,Patriots,2019
Marcus Cannon,,Q,Q,,,,,,,,Q,Q,Q,,,Q,31,RT,5500000,Patriots,2019
Patrick Chung,,,,,O,Q,Q,Q,Q,Q,Q,Q,Q,,,,32,SS,1900000,Patriots,2019
Jamie Collins,,,,,,,,,,,,Q,,,Q,Q,30,LLB,900000,Patriots,2019
Byron Cowart,,,,,,,,,,,,Q,Q,Q,,,,,,Patriots,2019
Keionta Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
James Develin,,,O,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Phillip Dorsett,,,,,,O,Q,,,,Q,Q,,,,,,,,Patriots,2019
Nate Ebner,,,Q,Q,O,Q,,,,Q,Q,Q,,,,,,,,Patriots,2019
Julian Edelman,,,,Q,Q,Q,Q,Q,Q,,Q,Q,Q,Q,Q,Q,33,WR,1000000,Patriots,2019
Jermaine Eluemunor,,,,,,,,,,,,Q,,,,,,,,Patriots,2019
Hjalte Froholdt,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Malik Gant,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Stephon Gilmore,,,,,,,,,,,,Q,,,,,,,,Patriots,2019
Josh Gordon,,,,,,Q,O,IR,IR,,,,,,,,28,WR,2025000,Patriots,2019
Stephen Gostkowski,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Damien Harris,,,,,,,,,,Q,Q,,,,,,,,,Patriots,2019
N'Keal Harry,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,22,wr,495000,Patriots,2019
Dont'a Hightower,,,,Q,Q,,,,,,,Q,,,,,,,,Patriots,2019
Ryan Izzo,,,Q,,,,O,O,Q,,,O,,,,,,,,Patriots,2019
Jakob Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,25,FB,,Patriots,2019
Jonathan Jones,,,,,,,,,,,,,,,O,Q,26,DB,3095000,Patriots,2019
Ted Karras,,,,,,,,,,,,,Q,Q,,,26,C,720000,Patriots,2019
Brandon King,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Matt LaCosse,Q,Q,Q,Q,,,O,O,O,Q,,,,,,,27,TE,700000,Patriots,2019
Shaq Mason,,,,,,,,Q,Q,,,,,,,,26,RG,4000000,Patriots,2019
Jason McCourty,,,,,,,,,,,Q,Q,Q,Q,Q,Q,32,LCB,2000000,Patriots,2019
Obi Melifonwu,Q,,,,,,,,,,,,,,,,,,,Patriots,2019
Cameron Meredith,PUP,PUP,PUP,PUP,PUP,,,,,,,,,,,,,,,Patriots,2019
Sony Michel,,,,,,,,,,,,,,,,Q,24,RB,917577,Patriots,2019
Marshall Newhouse,,,,Q,,,,,,,,,,,,,31,LT,,Patriots,2019
Gunner Olszewski,,,,,,,Q,Q,Q,Q,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Derek Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
D'Angelo Ross,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Patriots,2019
Mohamed Sanu,,,,,,,,,,,Q,Q,Q,Q,,,30,wr,,Patriots,2019
Danny Shelton,,,,,,,,,,Q,,,,Q,,,26,DT,805000,Patriots,2019
John Simon,,,,,,,,,,Q,Q,,,,,,29,RDE,900000,Patriots,2019
Matthew Slater,,,,,,,,,,,Q,Q,,,,,,,,Patriots,2019
Demaryius Thomas,Q,,,,,,,,,,,,,,,,,,,Patriots,2019
Kyle Van Noy,,,,,,,,,,,,Q,,,,,28,RLB,4250000,Patriots,2019
James White,,,,,,,,,Q,,,,,,,,,,,Patriots,2019
Joejuan Williams,,,,,,,,,,,,Q,,,,,,,,Patriots,2019
Isaiah Wynn,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,Q,,,,,24,LT,1000087,Patriots,2019
