Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Quincy Adeboyejo,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Beau Allen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
David Andrews,,,O,,,,,,,,,,,28,C,3000000
Devin Asiasi,,,,,,,,IR,IR,IR,IR,IR,IR,23,TE,610000
Michael Barnett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ja'Whaun Bentley,,,,,,,,Q,Q,Q,Q,,,24,ILB,750000
Brandon Bolden,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tashawn Bower,,,,,,,,,,,Q,,,25,OLB,397062
Terrence Brooks,,,,,,,,,Q,,,,,28,FS,910000
Rex Burkhead,,,,,,,,,,,O,IR,IR,,,
Adam Butler,,Q,Q,Q,Q,Q,,,,Q,Q,,,26,DT,3259000
Yodny Cajuste,O,,,,,,,,IR,,,,,,,
Shilique Calhoun,,,,,,,Q,Q,IR,IR,IR,IR,IR,,,
Marcus Cannon,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Patrick Chung,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Brandon Copeland,,Q,,,,,IR,IR,IR,IR,IR,IR,IR,,,
Byron Cowart,,,,,C19,C19,,,,,Q,,,24,DL,645588
Carl Davis,,,,,,O,O,Q,,,IR,IR,IR,,,
Cody Davis,,,,O,IR,IR,IR,Q,Q,,,,,31,S,1100000
Kyle Dugger,,,Q,,,Q,Q,Q,Q,,Q,,,24,S,610000
Julian Edelman,,Q,Q,Q,Q,Q,IR,IR,IR,IR,IR,C19,C19,,,
Jermaine Eluemunor,,,,,,IR,IR,IR,IR,,,,,26,OG,2133000
James Ferentz,,,,,C19,C19,C19,,,,,,,31,C,727941
Nick Folk,,,,,,,,Q,Q,Q,Q,,,36,K,988235
Stephon Gilmore,,,,,,,Q,Q,Q,Q,Q,,,30,CB,13000000
Lawrence Guy,,,,,,,Q,Q,Q,Q,,,,30,DT,3100000
Terez Hall,,,,,,,,,,Q,,,,24,LB,
Damien Harris,IR,IR,IR,IR,,,Q,Q,Q,Q,,,,23,RB,630882
N'Keal Harry,Q,Q,Q,,,,O,O,Q,Q,Q,,,23,WR,954016
Justin Herron,,,,,,,IR,IR,IR,IR,IR,,,25,OL,486468
Dont'a Hightower,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ryan Izzo,,,,,,,,Q,Q,Q,Q,,IR,,,
J.C. Jackson,,,,,,,Q,Q,,,,,,25,DB,750000
Jonathan Jones,Q,,,,,,,,Q,,,,,27,DB,3200000
Dalton Keene,Q,Q,,,,,Q,Q,IR,IR,IR,IR,,21,TE,511173
Brandon King,,,,,,,,,PUP,,,,,,,
Matt LaCosse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Marqise Lee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Cassh Maluia,Q,,,,,,,,,,,,,,,
Shaq Mason,,,,Q,C19,C19,Q,Q,Q,Q,Q,,,27,G,5000000
Sony Michel,,,,Q,IR,C19,C19,IR,IR,IR,,,,25,RB,1355154
Gunner Olszewski,IR,IR,IR,IR,,,,,,,,,,24,WR,630882
Derek Rivers,,,,,,Q,,,,,,,,,,
John Simon,,,,,,,Q,Q,Q,Q,,,,30,DE,1500000
Matthew Slater,,Q,,,,,,,,Q,Q,,,35,WR,1600000
J.J. Taylor,,,,,,,,O,,O,Q,,,22,RB,610000
Joe Thuney,,,,,,,Q,Q,Q,Q,,,,28,OG,14781000
Najee Toran,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Uche,,O,IR,IR,IR,IR,IR,,,,,,,22,LB,548235
Danny Vitale,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
James White,,,O,,,,,,,,,,,28,RB,3000000
Chase Winovich,Q,,,,,,,,,,,,,25,EDGE,681000
Deatrich Wise Jr.,,,,,,,,Q,Q,Q,,,,26,DE,2133000
Dustin Woodard,IR,IR,IR,IR,IR,IR,,,,,,,,,,
Isaiah Wynn,,,Q,Q,Q,,,Q,Q,Q,O,IR,IR,,,
