Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Nate Allen,,IR,IR,IR,IR,IR,IR,IR,,,,,O,O,O,IR,,,,Raiders,2015
Larry Asante,,,,,,,,P,,,,,,,,,,,,Raiders,2015
Denico Autry,,,,,O,O,P,,,,,,,,,,25,LDE,510000,Raiders,2015
Neiron Ball,,,,,,,IR,IR,IR,IR,IR,IR,O,IR,IR,IR,,,,Raiders,2015
Derek Carr,,P,,,,,,,,,,,,,,,24,QB,1220864,Raiders,2015
T.J. Carrie,,,,,,,P,Q,P,,,,,,,,25,FS,526741,Raiders,2015
Chimdi Chekwa,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2015
Jon Condo,,,,,,,,,,,,,,IR,IR,IR,,,,Raiders,2015
Amari Cooper,,,,,,,,,P,,,,P,P,P,P,21,WR,4120566,Raiders,2015
Michael Crabtree,,,,,P,,,,,,,,,,,,28,WR,3200000,Raiders,2015
Andre Debose,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2015
Mario Edwards,,,,,,,,,,,,,,,O,IR,21,LDE,1094029,Raiders,2015
Justin Ellis,,O,O,P,O,D,P,,,,,,,,,,25,RDT,628172,Raiders,2015
Jimmy Hall,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2015
Shelby Harris,,,,,,,,,,,,,Q,P,,,,,,Raiders,2015
D.J. Hayden,,,,,,,,,,P,,,,,,Q,25,LCB,2815554,Raiders,2015
Ben Heeney,,,,Q,P,,,,,,,,,,,,,,,Raiders,2015
Andre Holmes,P,,,,,,,,,,,,,,,,,,,Raiders,2015
Austin Howard,,,,,,,,,,,,,,O,,,28,RT,6400000,Raiders,2015
Rodney Hudson,,,,,,,,,D,Q,D,D,P,,,,26,C,13000000,Raiders,2015
Taiwan Jones,,,,Q,O,P,,,,,Q,D,Q,P,,,,,,Raiders,2015
Khalil Mack,,,,P,,,,P,,,,,P,P,P,P,24,RDE,4244773,Raiders,2015
Benson Mayowa,O,O,O,O,P,,,,,,,,,,,,,,,Raiders,2015
Taylor Mays,,,,,Q,,,P,,P,,,,,,,27,fs,550588,Raiders,2015
Keith McGill,,,,O,P,,P,,,,O,O,P,,,,,,,Raiders,2015
Latavius Murray,,,,,P,P,,,P,,,,,,,,25,RB,611550,Raiders,2015
Jamize Olawale,,O,Q,P,,,,,,,,,,,,,,,,Raiders,2015
Seth Roberts,,,,,,,,,,,,,,,P,,24,wr,435000,Raiders,2015
Lee Smith,,,,,,,,,,D,P,,,,,,28,TE,3350000,Raiders,2015
Neiko Thorpe,,,,,,,,,,,,Q,,Q,Q,Q,,,,Raiders,2015
Korey Toomer,,,,,,,,,,,,,P,,,,,,,Raiders,2015
Justin Tuck,P,,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,32,lde,4968750,Raiders,2015
Clive Walford,P,,,,,,,,P,,,,,,,,,,,Raiders,2015
Menelik Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2015
C.J. Wilson,,,,O,P,,,,,,,,,,,,,,,Raiders,2015
Charles Woodson,,Q,P,Q,P,P,P,P,P,P,P,P,P,P,P,P,,,,Raiders,2015
