Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Johnathan Abram,,,,Q,,,,,,,,,,24,S,1017509,Raiders,2020
Damon Arnette,,,,O,IR,IR,C19,IR,IR,,,,,24,CB,437058,Raiders,2020
Trent Brown,,D,O,D,Q,C19,C19,C19,C19,C19,C19,,,27,OT,21250000,Raiders,2020
Maliek Collins,,,,,Q,Q,,,,C19,,IR,IR,,,,Raiders,2020
Bryan Edwards,,,,O,O,O,Q,,,,,,,22,WR,610000,Raiders,2020
Ukeme Eligwe,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Clelin Ferrell,,,,,,,,,,C19,C19,,,23,EDGE,1920492,Raiders,2020
Rico Gafford,,,,D,Q,,,,,,,,,,,,Raiders,2020
Denzelle Good,,,Q,,,C19,,,,,,,,29,OT,1400000,Raiders,2020
Johnathan Hankins,,,,,,,,,,C19,,,,28,DT,3750000,Raiders,2020
Erik Harris,,,,,,,,,,,Q,,,,,,Raiders,2020
Jeff Heath,,,,,,,,Q,,,,,IR,,,,Raiders,2020
Rodney Hudson,,,,,,C19,,,,,,,,31,OL,1050000,Raiders,2020
Maurice Hurst Jr,,,,,,,,O,O,Q,,,,,,,Raiders,2020
Richie Incognito,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Gabe Jackson,,,,,,C19,,,Q,,,,,29,OG,9350000,Raiders,2020
Josh Jacobs,,,Q,,,,,Q,,,,,,22,RB,1037427,Raiders,2020
Isaiah Johnson,,,,,,,,,,C19,,,,,,,Raiders,2020
Lamarcus Joyner,,,,,,,,,,C19,C19,,,30,CB,4600000,Raiders,2020
Arden Key,,,,,,,D,O,,,,,,24,DE,750000,Raiders,2020
Nick Kwiatkoski,,D,O,Q,,,,,,,,,,27,ILB,7000000,Raiders,2020
Cory Littleton,,,,,,,,,C19,C19,C19,,,27,LB,910000,Raiders,2020
Marcus Mariota,IR,IR,IR,IR,IR,IR,,,,,,,,27,QB,7500000,Raiders,2020
Takkarist McKinley,,,,,,,,,,,IR,IR,IR,,,,Raiders,2020
Kolton Miller,,,,,,C19,,Q,D,,,,,25,OT,1704666,Raiders,2020
Trayvon Mullen,,,,,,,,Q,,,,,,23,CB,824961,Raiders,2020
Tanner Muse,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,C19,,,,Raiders,2020
Carl Nassib,,,,,,Q,,,,,,,,27,DE,7500000,Raiders,2020
Nick Nelson,//;90,,,,,,,,,,,,,,,,Raiders,2020
Keisean Nixon,,,,,,O,,,,,,,,23,CB,675000,Raiders,2020
Nick O'Leary,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Jalen Richard,,,,,,,,,,Q,,,,27,RB,3375000,Raiders,2020
Theo Riddick,,,,,,,,,,C19,C19,,,29,RB,481765,Raiders,2020
Daniel Ross,,,,O,IR,IR,IR,IR,,,,,,,,,Raiders,2020
Henry Ruggs ,,Q,O,D,Q,,,,,,,,,,,,Raiders,2020
John Simpson,,Q,,,,,,,,,,,,23,OL,610000,Raiders,2020
Nick Usher,//,,,,,,,,,,,,,,,,Raiders,2020
Jeremiah Valoaga,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Kendal Vickers,,,,,,,,,,C19,,,,25,DE,610000,Raiders,2020
Darren Waller,,,Q,,,,,,,,,,,28,TE,7280000,Raiders,2020
Tyrell Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Raiders,2020
Sam Young,,D,Q,,,,,,,,,,,33,T,1050000,Raiders,2020
