Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Maurice Alexander,,,Q,,,,,,,,,,,O,,,25,FS,600000
Tavon Austin,,,,Q,,,,,,,,D,,,,,26,WR,1111111
Tim Barnes,,,,,,,,,,Q,Q,Q,,,,,28,C,1250000
Michael Brockers,,Q,,,Q,Q,O,Q,Q,,,,,,,,26,RDT,6146000
Jamon Brown,,,,,,,D,Q,,,,,,,,,,,
Marqui Christian,,,,,,,,,,,,,,,IR,IR,,,
Pharoh Cooper,O,D,D,,,,,,,,,,,,,,,,
Benny Cunningham,,,,,,,,,,,,,IR,IR,IR,IR,,,
Cody Davis,,,,,Q,,,,,,,,,,,,,,
Andrew Donnal,,,,,,,,,,,,Q,,,,,,,
Dominique Easley,,,,Q,,,,,,,,,,,,,,,
Josh Forrest,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,
E.J. Gaines,O,O,Q,,,,,,,,,,Q,D,,,24,RCB,600000
Todd Gurley,,Q,,,,,,,Q,Q,,,,,,,22,RB,1063326
Bryce Hager,Q,,,,,,,,,,,,,,,,,,
Cory Harkey,,,,,,,,,,,,,,IR,IR,IR,,,
Rob Havenstein,Q,,,,,,,,,,,,,,,D,24,RT,615455
Trumaine Johnson,,,,,,O,O,Q,Q,,,,,,,,26,LCB,13952000
Lamarcus Joyner,,Q,Q,Q,,,,,Q,Q,,,,,,D,26,DB,877289
Zach Laskey,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Matt Longacre,,,,,,,,,Q,,,,,Q,,,,,
Bradley Marquez,,,,,,,,,,,,,,,IR,IR,,,
Marquez North,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Robert Quinn,,,,,Q,Q,Q,,,Q,,IR,IR,D,IR,IR,26,RDE,7777777
Brian Randolph,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Garrett Reynolds,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Rodger Saffold,,,,,,,,,,,,Q,,,,,28,LG,4500000
Eugene Sims,,,,,,,,,,Q,,,,,,,30,RDE,2250000
Nelson Spruce,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Mike Thomas,,,,,,,,,,,,,,,,Q,,,
Louis Trinca-Pasat,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Ethan Westbrooks,,,,,,,,,,,Q,,,,,,,,
Cody Wichmann,,,,,,Q,,,,,,,,,,,24,RG,525000
Darrell Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
