Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Mark Barron,D,D,D,D,Q,,,,,,,,,,,,29,RILB,6499999,Rams,2018
Malcolm Brown,,,,,,,,,,,,,IR,IR,IR,IR,,,,Rams,2018
Pharoh Cooper,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,2018
Justin Davis,,,,,,,,,,,,,,,Q,Q,,,,,2018
Ryan Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Dominique Easley,,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Morgan Fox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Todd Gurley,,,,,,,,,,,,,,,Q,O,,,,,2018
Dominique Hatfield,,,,,,,,,,,,,,IR,IR,IR,,,,,2018
Tyler Higbee,,,,,Q,,,,,,,,,,,,25,TE,630000,,2018
Lamarcus Joyner,,,,,,,,,,,,,,,,O,28,FS,11287000,,2018
Cooper Kupp,,,,,,,O,D,,,IR,IR,IR,IR,IR,IR,25,WR,640000,,2018
Ogbonnia Okoronkwo,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Marcus Peters,,,,Q,,,,,,,,,,,,,25,LCB,1741931,,2018
Kevin Peterson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Sam Shields,,,,,,,,,Q,,,,,,,,,,,,2018
Garrett Sickels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Aqib Talib,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,32,RCB,11000000,,2018
Mike Thomas,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Carlos Thompson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Kendal Thompson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,2018
Ethan Westbrooks,,,,,,,,,,,,,,,,Q,,,,,2018
Trevon Young,,,,,,,,D,,,,,,,,,,,,,2018
Greg Zuerlein,,,O,O,O,O,,,,,,,,,,,,,,,2018
