Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary
Cam Akers,,,O,O,,,,,,,,,,21,RB,610000
Brian Allen,,,,,,,,,Q,D,Q,,,25,C,750000
Chandler Brewer,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Terrell Burgess,,,,,,,,IR,IR,IR,IR,IR,IR,,,
Bobby Evans,,,,,O,,,,,,,,,23,OL,675000
Gerald Everett,,Q,,,,,,,,,,,,26,TE,1289246
Leonard Floyd,,,,,,,,,Q,,,,,28,OLB,5000000
Kai Forbath,,,,,,,,,,IR,IR,IR,IR,,,
Jordan Fuller,,,,Q,,IR,IR,IR,IR,,,,,22,S,461763
Tyler Higbee,,,,,,,Q,Q,,,Q,,,27,TE,2000000
Troy Hill,,,,,Q,,,,,,,,,29,CB,2850000
Travin Howard,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Micah Kiser,,,,,Q,Q,,,,,,,,,,
Terrell Lewis,IR,IR,IR,IR,,,,,Q,,D,,,22,LB,560587
Joseph Noteboom,,,IR,IR,IR,IR,,,,,,,,25,OT,750000
Ogbonnia Okoronkwo,,,,,,O,IR,IR,IR,IR,IR,IR,,25,DE,555884
Taylor Rapp,,,,,,,,,,IR,IR,IR,IR,,,
A'Shawn Robinson,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,25,DT,523529
Andrew Whitworth,,,,,,,,,,IR,IR,IR,IR,,,
Darious Williams,,,Q,,,,,,,,,,,27,CB,750000
