Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Javorius Allen,,,,,,,,,,,,D,,,,,,,,Ravens,2016
Kyle Arrington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Michael Campanaro,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,,,Ravens,2016
Maurice Canady,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Kaelin Clay,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Kamalei Correa,,,,,,,,O,Q,Q,,,,,IR,IR,,,,Ravens,2016
Carl Davis,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Kenneth Dixon,O,O,O,D,Q,,,,Q,,,,,,,,,,,Ravens,2016
Elvis Dumervil,O,O,Q,Q,,O,O,O,O,D,D,,,,,,,,,Ravens,2016
Matt Elam,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,,,,Ravens,2016
Joe Flacco,,,,,,,Q,,,,,,,,,,31,QB,22550000,Ravens,2016
Crockett Gillmore,,,,,,,,O,O,O,D,O,O,Q,,,25,te,726504,Ravens,2016
Willie Henry,,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Bronson Kaufusi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Anthony Levine,,,,,,,,,,,,,,Q,Q,,,,,Ravens,2016
Alex Lewis,,,,Q,,,,,,O,O,O,D,Q,Q,Q,24,LG,572974,Ravens,2016
Kendrick Lewis,,,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Cavellis Luckett,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Chris Matthews,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Albert McClellan,,,,,,Q,,,,,,,,,,,30,ROLB,1100000,Ravens,2016
C.J. Mosley,,Q,,,,D,O,Q,,Q,,,,,,,,,,Ravens,2016
Stephane Nembot,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Zach Orr,,,,,,,,,,,,,,,,O,24,RILB,601000,Ravens,2016
Breshad Perriman,,Q,,,,,,,,,,,,,,,,,,Ravens,2016
Dennis Pitta,Q,,,,,,,,,,,,,,,,31,TE,3200000,Ravens,2016
Jerraud Powers,O,Q,,,,,Q,,,,,,,Q,,,29,db,1750000,Ravens,2016
Sheldon Price,,,,D,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Jumal Rolle,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Jimmy Smith,,,,,,,Q,,,D,D,Q,,IR,IR,IR,28,RCB,5100000,Ravens,2016
Za'Darius Smith,,Q,,,,,,,,,,,,,,,,,,Ravens,2016
Ronnie Stanley,,,Q,D,D,D,Q,Q,,,,,,,,,22,LT,3724423,Ravens,2016
Terrell Suggs,,,,,,,D,Q,,,,,,,,,34,LOLB,7450000,Ravens,2016
Lorenzo Taliaferro,IR,IR,IR,IR,IR,IR,,,,D,O,O,O,IR,IR,IR,,,,Ravens,2016
Brent Urban,,,,,,,,,,,,,,,Q,,,,,Ravens,2016
John Urschel,Q,Q,Q,Q,,,,,,,,,,,,,,,,Ravens,2016
Mike Wallace,,,,,,Q,,,,,,,,,,,30,WR,3500000,Ravens,2016
Ben Watson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Lardarius Webb,,,,,,,,Q,,,,,,,,,31,FS,9500000,Ravens,2016
De'Ondre Wesley,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Brandon Williams,,,,,,,,,,,Q,,,,,,27,NT,1799750,Ravens,2016
Maxx Williams,Q,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Ravens,2016
Shareece Wright,Q,,,,,Q,D,D,O,Q,,,,,,,29,LCB,2093333,Ravens,2016
Marshal Yanda,,,,,,D,D,Q,D,Q,Q,,Q,,,,,,,Ravens,2016
Tavon Young,,,,,,,,Q,,,,,,,,,22,LCB,601282,Ravens,2016
