Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Chris Baker,,,,,,,,,,P,,P,,,,,28,LDE,2984375,WFT,2015
Will Blackmon,,,,,,,,,,,,P,,,,P,31,RCB,818823,WFT,2015
Bashaud Breeland,,,,,,P,P,Q,P,P,Q,,,,,,23,LCB,601500,WFT,2015
Derek Carrier,,,,,,,,,,,,Q,Q,IR,IR,IR,25,TE,58500,WFT,2015
Tom Compton,Q,Q,Q,,,,,,,,,,,,,,,,,WFT,2015
William Compton,,,,,,,,,,,,,P,P,P,P,26,LILB,510000,WFT,2015
Chris Culliver,,,,Q,O,O,O,Q,P,P,IR,IR,IR,IR,IR,IR,27,rcb,4073529,WFT,2015
Quinton Dunbar,,,,,,,,P,,,,Q,P,,,O,,,,WFT,2015
Deshazor Everett,,,,,,,,,,,Q,Q,P,,,,,,,WFT,2015
Junior Galette,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Pierre Garcon,,,,,P,P,,,,,,,,,,,29,WR,9700000,WFT,2015
Dashon Goldson,,,,,,,,,P,P,P,P,P,P,Q,O,31,FS,4000000,WFT,2015
Kedric Golston,,,,Q,P,P,,,,,,,,,P,,,,,WFT,2015
Ryan Grant,,,,,,,,,,,,,,P,Q,P,25,wr,563403,WFT,2015
Robert Griffin III,P,,,,,,,,,,,,,,,,,,,WFT,2015
DeAngelo Hall,,P,P,O,O,O,O,Q,Q,P,P,P,P,P,,Q,32,ss,4812500,WFT,2015
Jason Hatcher,,,,,,,Q,P,P,P,P,P,Q,Q,P,Q,33,RDE,5203125,WFT,2015
Adam Hayward,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Duke Ihenacho,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
DeSean Jackson,,O,O,O,O,Q,O,Q,,,,P,,P,P,Q,29,WR,9250000,WFT,2015
Jackson Jeffcoat,Q,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Jeron Johnson,,,,,,,,,,,P,,O,Q,P,,,,,WFT,2015
Matt Jones,,,,,,Q,P,,,,,,,,Q,D,,,,WFT,2015
Frank Kearse,P,,,,,,,,,,,,,,P,,,,,WFT,2015
Ryan Kerrigan,,,,,P,,,Q,P,P,P,,,,P,,27,ROLB,6238000,WFT,2015
Terrance Knighton,,Q,P,,,,,,Q,Q,P,P,,,,,29,NT,4000000,WFT,2015
Shawn Lauvao,,,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Josh LeRibeus,,,,Q,P,P,,P,P,P,P,P,,,Q,P,26,C,864081,WFT,2015
Kory Lichtensteiger,P,P,P,P,P,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,30,c,4300000,WFT,2015
Spencer Long,,,,,P,P,,,,P,,,,,,,25,LG,673450,WFT,2015
Colt McCoy,,,,P,,,,,,,,,,,,,,,,WFT,2015
Alfred Morris,,,,,,,,,,P,P,,,,,,27,RB,1572775,WFT,2015
Morgan Moses,,,P,P,,,,,,,,,,,Q,P,24,RT,729394,WFT,2015
Trent Murphy,,,,,P,,,,,,,,,,,,25,LOLB,1016545,WFT,2015
Stephen Paea,,,,,,Q,Q,,,,,,IR,IR,IR,IR,,,,WFT,2015
Niles Paul,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Logan Paulsen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Dashaun Phillips,,,,,,,,,,,,,,,,,,,,WFT,2015
Jordan Reed,,Q,,,O,O,Q,,,,,,,,P,,25,TE,742278,WFT,2015
Perry Riley,,,Q,O,Q,P,,P,,,,O,O,O,O,D,27,RILB,4049804,WFT,2015
Andre Roberts,,,,,,Q,P,,Q,P,P,IR,IR,IR,IR,IR,,,,WFT,2015
Keenan Robinson,,,,,,,Q,Q,Q,Q,Q,Q,Q,Q,P,P,26,LILB,765027,WFT,2015
Trent Robinson,,,,,,,P,,,O,O,,,,,,25,SS,683438,WFT,2015
Justin Rogers,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Brandon Scherff,,,,,,,,,,P,P,,,,,,24,RG,3857388,WFT,2015
Martrell Spaight,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,WFT,2015
Pierre Thomas,,,,,,,,,,,,,,,,Q,,,,WFT,2015
Chris Thompson,,,,,,P,D,P,P,,,Q,O,Q,P,P,,,,WFT,2015
Trent Williams,,P,,,,O,Q,,,,P,,,P,,Q,,,,WFT,2015
