Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Houston Bates,,,,,,,,,,,,,,,IR,IR,,,
Will Blackmon,,,,,,,,,Q,,,,O,Q,,,32,fs,900000
Kevin Bowen,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Bashaud Breeland,,,,O,O,Q,,Q,,,,Q,,,,,24,LCB,600000
Mack Brown,,,,,,,,,,,,,,Q,,,,,
David Bruton,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Derek Carrier,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Q,,,,,,
William Compton,,,,,,,,,,,,,Q,D,Q,Q,27,LILB,600000
Su'a Cravens,,Q,Q,,O,Q,,,,,,,,O,O,O,,,
Jamison Crowder,,,,,,,,Q,,,,,,,,,23,WR,525000
Steven Daniels,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Vernon Davis,,,,,,,,Q,,,,,,,,,32,TE,1350000
Reggie Diggs,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Josh Doctson,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Quinton Dunbar,,,,,,,,,,,,,,,O,O,,,
Kedric Golston,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
DeAngelo Hall,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Duke Ihenacho,,,,,,,,,Q,,,,,,,,27,FS,675000
Matt Jones,Q,,,,,,,O,,,,,,,,,23,rb,539000
Robert Kelley,,,,,,,,,,,,,,,,Q,24,RB,450000
Ryan Kerrigan,,,,,Q,,,,,,,,,Q,Q,Q,,,
Anthony Lanier,,,,,,,,,,,,IR,IR,IR,IR,IR,,,
Shawn Lauvao,,,,O,Q,,,,,,,,Q,Q,,,29,LG,4000000
Kory Lichtensteiger,,,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,IR,IR,IR,,,
Spencer Long,Q,,,,,,,Q,,,,,O,Q,,Q,26,C,600000
Keith Marshall,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Morgan Moses,,,,,,,,,Q,Q,,,,,,,25,RT,680000
Trent Murphy,,,,Q,,,,,,,,Q,,,,Q,,,
Josh Norman,,,,,,,,Q,,,,,,,,,29,RCB,5000000
Ty Nsekhe,,,Q,,,,,,,,Q,Q,Q,Q,Q,,,,
Vinston Painter,,,,,,,,,,,,,,,,O,,,
Niles Paul,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Dashaun Phillips,,,,O,O,,,,,,,,,,,,,,
Jordan Reed,,,,,,Q,O,Q,,,,O,Q,Q,Q,Q,,,
Brandon Scherff,,,,,,,,Q,,,,Q,Q,,,,,,
Preston Smith,,,,,,,,,,,,,Q,,,,24,LOLB,697698
Martrell Spaight,,O,Q,,,,,,,,,,,Q,Q,Q,,,
Nick Sundberg,,,,,,,,,,Q,O,Q,,,,,,,
Chris Thompson,,,,,,,,,,,,Q,,,,,,,
Donte Whitner,,,,,,,,,,,,,,,,IR,31,SS,985000
