Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Kiko Alonso,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,,,,,Saints,2020
Terron Armstead,,,,,,,,,,,C19,C19,C19,29,OT,1050000,Saints,2020
Johnson Bademosi,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
Drew Brees,,,,,,,,,,IR,IR,IR,IR,,QB,23650000,Saints,2020
Marquez Callaway,,,,,,,O,,,,,IR,IR,,,,Saints,2020
Jared Cook,,,,O,Q,,,,,,,,,33,TE,7000000,Saints,2020
Ken Crawley,,,,,,C19,C19,,,,,,,27,DB,695882,Saints,2020
Jalen Dalton,//,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
Marcus Davenport,O,O,Q,O,Q,,,,,,,,,24,DE,1729263,Saints,2020
Nick Easton,,,,,,O,O,,,,,,,28,C,4500000,Saints,2020
Bennie Fowler,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
Blake Gillikin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
J.T. Gray,,,,,,Q,,,,,,,,24,DB,750000,Saints,2020
Saquan Hampton,IR,IR,,,,,,,,,,,,,,,Saints,2020
Chase Hansen,,O,O,Q,,,,IR,,,,,,,,,Saints,2020
Justin Hardee,,,,,O,,,IR,IR,IR,IR,IR,IR,26,WR,1135000,Saints,2020
Deonte Harris,,,,,O,,,,,,Q,,,23,WR,675000,Saints,2020
Trey Hendrickson,,,Q,,,,,,,,,,,26,DE,825000,Saints,2020
Josh Hill,,,,,,,,,,O,,,,30,TE,1785000,Saints,2020
Janoris Jenkins,,,,O,O,,,,,,,,,32,CB,1050000,Saints,2020
Derrick Kelly,,,,,,,,,,,C19,C19,C19,25,T,610000,Saints,2020
Anthony Lanier,IR,IR,,,,,,,,,,,,,,,Saints,2020
Marshon Lattimore,,,,O,Q,,,,,Q,,,,24,CB,2559486,Saints,2020
Ty Montgomery,,,IR,IR,IR,IR,IR,IR,,,O,,,27,WR/RB,910000,Saints,2020
David Onyemata,,,Q,,,,,,,,,,,28,DT,1000000,Saints,2020
Andrus Peat,,,,O,Q,,,,,,O,,,27,OT,1000000,Saints,2020
Sheldon Rankins,,,,,Q,,,IR,IR,IR,IR,IR,,26,DT,1690000,Saints,2020
Patrick Robinson,,,,,,,,,,,,,IR,,,,Saints,2020
Cesar Ruiz,O,,,,,,,,,,,,,21,OL,610000,Saints,2020
Emmanuel Sanders,,,,,,C19,C19,C19,,,,,,33,WR,2000000,Saints,2020
Noah Spence,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
Michael Thomas,,O,O,O,Q,O,O,Q,,,,,,27,WR,1000000,Saints,2020
Jason Vander Laan,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,Saints,2020
Dwayne Washington,,,,,,,,,Q,O,,,,26,RB,910000,Saints,2020
Cole Wick,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Saints,2020
P.J. Williams,Q,,,,,,,,,,,,,27,CB,1870000,Saints,2020
