Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Ezekiel Ansah,Q,Q,,Q,,,Q,Q,,,,,Q,Q,,,,,,Seahawks,2019
Nick Bellore,,,,,,,,,,,,D,D,,,,,,,Seahawks,2019
Marquise Blair,,,,,,,,,,,,,,,,,,,,Seahawks,2019
Jeremy Boykins,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Justin Britt,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,28,C,4500000,Seahawks,2019
Duane Brown,,,,,Q,D,Q,Q,,,,,,,Q,O,34,LT,8000000,Seahawks,2019
Jaron Brown,,,,,,,,,,,,,,,,,29,wr,2750000,Seahawks,2019
Chris Carson,,,,,,,,,,,,,,,,IR,25,RB,645000,Seahawks,2019
Adam Choice,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Demarcus Christmas,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Seahawks,2019
Jadeveon Clowney,,,,,,,,,,,Q,Q,Q,Q,D,,26,DE,15967200,Seahawks,2019
L.J. Collier,O,,,,,,,,,,,,,,,,,,,Seahawks,2019
Justin Currie,IR,IR,IR,IR,IR,,,,,,,,,,,,,,,Seahawks,2019
Ed Dickson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Quandre Diggs,,,,,,,,Q,D,,,,,,D,Q,26,fs,,Seahawks,2019
Will Dissly,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,23,TE,570000,Seahawks,2019
Emmanuel Ellerbee,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
George Fant,,,,,,,,,,,,,,,,,27,lt,3095000,Seahawks,2019
Tre Flowers,,,Q,,,,,Q,,,,,,,,,24,RCB,570000,Seahawks,2019
D.J. Fluker,,,,,,D,Q,,,,,,,,,,28,RG,850000,Seahawks,2019
Poona Ford,,D,,,,,,,,,,,,,,,24,RDT,570000,Seahawks,2019
Shaquill Griffin,,,,,,,,,,,,,,Q,Q,,,,,Seahawks,2019
Phil Haynes,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,Q,,,,,,,,,,Seahawks,2019
Lano Hill,,,,,,,D,O,D,Q,,,,,,,,,,Seahawks,2019
Joey Hunt,O,O,,,,,,,,,,,,,,,25,C,645000,Seahawks,2019
Germain Ifedi,,,,,,,,Q,,,,,,,,,25,RT,1577060,Seahawks,2019
Mike Iupati,Q,,,,,,,,,,,,,,,,32,LG,1000000,Seahawks,2019
Quinton Jefferson,,,,Q,,,Q,O,D,,,,,,,,26,DT,2025000,Seahawks,2019
Justin Johnson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Nazair Jones,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Mychal Kendricks,,,,,,,,,,,,Q,D,O,Q,,29,LLB,2000000,Seahawks,2019
Demetrius Knox,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Bradley McDougald,,,,,,,Q,Q,,,,,,,,,29,SS,2900000,Seahawks,2019
David Moore,O,O,,,,,,,,,,,,,,,,,,Seahawks,2019
Rashaad Penny,,,Q,Q,,Q,,,,,,,,O,IR,IR,,,,Seahawks,2019
Ethan Pocic,,,D,D,Q,O,IR,IR,IR,IR,IR,IR,IR,IR,,Q,,,,Seahawks,2019
C.J. Prosise,,,,,,,,,,,,,,,,IR,,,,Seahawks,2019
Jarran Reed,,,,,,,,,,,,Q,,,,,27,LDT,1116769,Seahawks,2019
Kalan Reed,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Jordan Simmons,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2019
Tedric Thompson,,D,Q,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,24,FS,645000,Seahawks,2019
Neiko Thorpe,,D,D,Q,,,,,,,Q,D,O,IR,IR,IR,,,,Seahawks,2019
Malik Turner,,,,,,,,,,,,,,,,O,,,,Seahawks,2019
Luke Willson,,,,,,,,,,,D,Q,D,Q,,Q,29,te,,Seahawks,2019
Al Woods,,,,,,,,,,,,Q,,,,,32,dt,1250000,Seahawks,2019
