Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Jamal Adams,,,,O,O,O,Q,,,,,,,25,SS,825000,Seahawks,2020
Ugo Amadi,,,,,,,D,O,,,,,,23,S,675000,Seahawks,2020
Marquise Blair,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Jordyn Brooks,,,,O,Q,,,,,,,,,23,LB,610000,Seahawks,2020
Patrick Carr,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Chris Carson,,,,Q,,,Q,O,Q,Q,,,,26,RB,2133000,Seahawks,2020
Phillip Dorsett,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Quinton Dunbar,,,Q,O,Q,,,,O,O,IR,IR,IR,,,,Seahawks,2020
Tre Flowers,,,,,,,,,,,,IR,IR,,,,Seahawks,2020
Kyle Fuller,,,,,,,,,,Q,Q,,,26,C,661770,Seahawks,2020
Rasheem Green,,D,IR,IR,IR,IR,IR,IR,,,,,,23,DT,644118,Seahawks,2020
Shaquill Griffin,,,,Q,,,O,O,O,O,,,,25,DB,2133000,Seahawks,2020
Penny Hart,,,,,,,,,Q,,,,,,WR,610000,Seahawks,2020
Phil Haynes,,,,,,,,,,IR,,,,25,OL,425000,Seahawks,2020
Lano Hill,,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Travis Homer,,,,,,,Q,,,D,O,,,22,RB,675000,Seahawks,2020
Carlos Hyde,,,,Q,Q,,D,O,Q,,,,,30,RB,1500000,Seahawks,2020
Bruce Irvin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Mike Iupati,,,,,Q,Q,D,O,,,,,,33,G,1200000,Seahawks,2020
Branden Jackson,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Jamarco Jones,Q,,,,,,,,,,,,,24,OT,675000,Seahawks,2020
Damien Lewis,,,,Q,,,,,,,,,,23,OL,610000,Seahawks,2020
Tyler Lockett,,,,,,,,,,Q,,,,28,WR,8500000,Seahawks,2020
Benson Mayowa,,,Q,,,,Q,O,Q,,,,,29,DE,1050000,Seahawks,2020
Eli Mencer,IR,IR,IR,,,,,,,,,,,,,,Seahawks,2020
Bryan Mone,,,,,,,,,IR,IR,IR,IR,C19,,,,Seahawks,2020
David Moore,,,,,,,,,,,Q,,,25,WR,825000,Seahawks,2020
Ryan Neal,,,,,,,Q,,,,,,,25,DB,555882,Seahawks,2020
Cedric Ogbuehi,O,D,Q,,,,,,,,,,,28,OT,1300000,Seahawks,2020
Greg Olsen,,,,,,,,,,,IR,IR,IR,,,,Seahawks,2020
Colby Parkinson,IR,IR,IR,IR,IR,IR,IR,,,,,,,21,TE,523527,Seahawks,2020
Rashaad Penny,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,Seahawks,2020
Ethan Pocic,,,,,,,,,O,O,,,,25,C,1066231,Seahawks,2020
D.J. Reed,IR,IR,IR,IR,IR,IR,IR,,,,Q,,,24,CB,582356,Seahawks,2020
Alton Robinson,,,,,,,,,Q,,,,,22,DL,610000,Seahawks,2020
Brandon Shell,,,,,,,,,,,O,,,28,OT,1100000,Seahawks,2020
Jordan Simmons,,,,,,,,,,O,Q,,,26,G,675000,Seahawks,2020
Freddie Swain,,,,,,,,,Q,,Q,,,22,WR,610000,Seahawks,2020
Darrell Taylor,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Neiko Thorpe,,,Q,Q,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
Chance Warmack,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Seahawks,2020
K.J. Wright,,,,,,,,,Q,,,,,31,MLB,5000000,Seahawks,2020
