Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Marcus Allen,,,,O,,,,,,,,,,24,S,675000,Steelers,2020
Tyson Alualu,,,,,,,,O,,,,,,33,DT,2750000,Steelers,2020
Zach Banner,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2020
Isaiah Buggs,,,,,,,,,Q,,C19,,,24,DL,675000,Steelers,2020
Devin Bush Jr.,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Steelers,2020
James Conner,,,,,,,,,,,C19,C19,C19,25,RB,825000,Steelers,2020
Jordan Dangerfield,,,,,,,O,,,,,,,30,FS,825000,Steelers,2020
David DeCastro,O,O,,,O,,,,,,,,,30,G,1050000,Steelers,2020
Kevin Dotson,,,,,,,,,Q,C19,C19,,,24,OL,610000,Steelers,2020
Bud Dupree,,,,,,,,,,,,IR,IR,,,,Steelers,2020
Trey Edmunds,,,,,,,,,,O,IR,IR,IR,,,,Steelers,2020
Jayrone Elliott,,,,,,,,,,O,,,,29,LB,481765,Steelers,2020
Matt Feiler,,,,,,,,,,,,,,,,,Steelers,2020
Zach Gentry,,,,,,,,,,,IR,IR,IR,,,,Steelers,2020
Ulysees Gilbert,,,,,,,O,IR,,,,,,23,LB,542648,Steelers,2020
Joe Haden,,,,,,,,,,,Q,,,31,DB,1050000,Steelers,2020
Jerald Hawkins,,,,,,,,,C19,,C19,C19,,27,OT,705888,Steelers,2020
Mike Hilton,,,,,,O,Q,D,Q,,,,,26,CB,3259000,Steelers,2020
Diontae Johnson,,,,,O,,,,,,,,,24,WR,689589,Steelers,2020
Vance McDonald,,,,,,,,Q,C19,C19,C19,,,30,TE,1100000,Steelers,2020
Anthony McFarland Jr.,,,,,,,,,Q,,,,,21,RB,,Steelers,2020
Maurkice Pouncey,,,,,,,,,,,,C19,C19,31,C,1050000,Steelers,2020
Jaylen Samuels,,,,,,,,,C19,O,O,,,24,RB,750000,Steelers,2020
Robert Spillane,,,,,,,,,,,,,IR,,,,Steelers,2020
Derek Watt,,,,O,,O,Q,,,,,,,28,FB,1000000,Steelers,2020
Vince Williams,,,,,,,,,C19,,,,C19,,,,Steelers,2020
Stefen Wisniewski,,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,Steelers,2020
Chris Wormley,,,,,,,IR,IR,IR,IR,,,,27,DT,2133000,Steelers,2020
