Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary
Jeff Allen,,Q,,,,O,,,,,,,,O,,,26,RG,6250000
Stephen Anderson,,,,O,O,O,,,,,,,,,,,,,
Lonnie Ballentine,IR,IR,IR,IR,IR,IR,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Alfred Blue,,,,,,,,,,O,O,Q,,,,,,,
Duane Brown,O,O,O,O,Q,,,,,,,,,,,,31,LT,9500000
Jadeveon Clowney,,,,,,,,Q,,,,Q,Q,,,O,,,
Christian Covington,,Q,,,,,,,,,,,,,,,23,lde,547622
Brian Cushing,,O,O,Q,,,,,,,,Q,Q,,,Q,29,LILB,5000000
K.J. Dillon,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Kurtis Drummond,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tyler Ervin,,,,,,,,,,,O,O,O,Q,,,,,
Ka'imi Fairbairn,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
C.J. Fiedorowicz,,,,,,,,,,,,,,O,,,25,TE,860826
Dalton Freeman,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Will Fuller,,,,,,Q,,,Q,Q,,,,,,,22,WR,1848057
Jonathan Grimes,,,,O,O,O,,Q,Q,O,,,,,,,,,
Andre Hal,,,,,,,,,,,,Q,,,,,24,FS,617281
Kareem Jackson,,,,,Q,Q,,,,,,,,,,,28,DB,8437500
Kevin Johnson,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Johnathan Joseph,,,,,,,,,,,,,Q,Q,Q,Q,32,LCB,7000000
Nick Martin,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Whitney Mercilus,,,,,,,,,,,,,,Q,,,26,LOLB,5800000
Braxton Miller,,,O,O,,,,,,,,,IR,IR,IR,IR,24,WR,627275
Lamar Miller,,,,,,,,Q,,,,,,,Q,O,25,RB,5500000
Derek Newton,,Q,,,,Q,,IR,IR,IR,IR,IR,IR,IR,IR,IR,29,rt,5500000
Brian Peters,,,,,,O,,O,Q,,,,,,,,,,
Jay Prosch,,,,,,,,,,Q,Q,,,,,O,,,
Gerald Rivers,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tom Savage,,,,,,,,,,,,,O,,,,,,
Brennan Scarlett,,,,,,,IR,IR,IR,IR,IR,IR,IR,,IR,,,,
Devon Still,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Jaelen Strong,,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,
Soma Vainuku,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Tony Washington,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,,
J.J. Watt,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,
Vince Wilfork,,,,,,,,,Q,Q,,,,,,,35,NT,5500000
