Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Age,Pos,Salary,Team,Year
Jeff Allen,,O,O,,,,,,,,,,,,O,O,27,RT,4750000,Texans,2017
Stephen Anderson,,O,,,,,,,,,,,,,,,24,te,540000,Texans,2017
Alfred Blue,O,O,Q,,,,,,,Q,,,O,,,,,,,Texans,2017
Marcus Burley,,,,Q,,,,,,,,,,,,,,,,Texans,2017
Chris Clark,,,,,,,O,,,,,IR,IR,IR,IR,IR,32,LT,2750000,Texans,2017
Jadeveon Clowney,,,,,,,,,,,,,,Q,,,,,,Texans,2017
Dylan Cole,,,,,,,O,O,O,O,,,,,,,,,,Texans,2017
Christian Covington,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
Brian Cushing,,O,,,,,,,,,,,,,,,30,lolb,2264706,Texans,2017
Julie'n Davenport,,,,,,,,,,O,O,O,O,,,,,,,Texans,2017
Brandon Dunn,,,Q,,,,,,,,,,,,,,25,NT,690000,Texans,2017
Bruce Ellington,,O,,,,,,,,,,,IR,IR,IR,IR,26,wr,690000,Texans,2017
Tyler Ervin,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
C.J. Fiedorowicz,,IR,IR,IR,IR,IR,IR,IR,,,,,IR,IR,IR,IR,26,te,3097000,Texans,2017
D'Onta Foreman,,,,,,,,,,,IR,IR,IR,IR,IR,IR,,,,Texans,2017
Kyle Fuller,,,,,O,,,,,,,,,,,,,,,Texans,2017
Will Fuller,O,O,O,,,,,,,O,O,O,,,,,23,WR,912014,Texans,2017
Matthew Godin,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
Deante Gray,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
Ryan Griffin,,O,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,27,TE,875000,Texans,2017
Joel Heath,,,,,,,O,O,O,Q,,,,,,,24,RDE,540000,Texans,2017
Ben Heeney,,,,,O,O,,,,,,IR,IR,IR,IR,IR,,,,Texans,2017
DeAndre Hopkins,,,,,,,,,,,,,,Q,,O,,,,Texans,2017
Jelani Jenkins,,,,,,,Q,,,,,,O,O,,,,,,Texans,2017
Kevin Johnson,,,O,O,O,O,,,,,,,,,,,,,,Texans,2017
Johnathan Joseph,,,,,,,,Q,,,,,,,,,33,LCB,6500000,Texans,2017
Kendall Lamm,,,,,,,,,,,,,,O,O,Q,,,,Texans,2017
Kendall Langford,,,,,,,Q,,,,,,,,,,,,,Texans,2017
LaTroy Lewis,,,,,,,,,,,,,,,O,Q,,,,Texans,2017
Greg Mancz,,,,O,Q,Q,,,,Q,O,,,,,,25,rt,615000,Texans,2017
Nick Martin,,,,,,,,,,,,,,,IR,IR,24,C,667044,Texans,2017
Benardrick McKinney,,,,,,Q,,,,,,,,,,,25,LILB,920921,Texans,2017
Whitney Mercilus,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,27,LOLB,4500000,Texans,2017
Braxton Miller,,,,,,,,,,,,,O,O,,,,,,Texans,2017
Corey Moore,,,,,,O,,,,,,,,,,IR,,,,Texans,2017
Derek Newton,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
MyCole Pruitt,,,,,,,,,,,,,,IR,IR,IR,,,,Texans,2017
D.J. Reader,,,,,,,,,,,,,,,IR,IR,23,LDE,540000,Texans,2017
Tom Savage,,,,,,,,,,,,,,IR,IR,IR,27,QB,690000,Texans,2017
Brennan Scarlett,,,,,,,,,,,,IR,IR,IR,IR,IR,24,lolb,540000,Texans,2017
Devin Street,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Texans,2017
Xavier Su'a-Filo,,,,,,,,,,,,,Q,,,,26,LG,1177036,Texans,2017
Chris Thompson,,,,,,,,,,Q,,,,,,,,,,Texans,2017
Jordan Todman,,,,,,O,,,,,,,,,,O,,,,Texans,2017
Deshaun Watson,,,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,22,qb,465000,Texans,2017
J.J. Watt,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,28,LDE,10500000,Texans,2017
DeAndrew White,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,IR,IR,,,,Texans,2017
